GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
07f83da7-7dc1-4861-8431-2d828be96822	1	62920	1696979	211	-0.0391
07f83da7-7dc1-4861-8431-2d828be96822	1	1710664	1737717	13	-1.2118
07f83da7-7dc1-4861-8431-2d828be96822	1	1741164	2536961	264	-0.0827
07f83da7-7dc1-4861-8431-2d828be96822	1	2541819	2551482	2	-1.7643
07f83da7-7dc1-4861-8431-2d828be96822	1	2569899	4736498	1270	-0.1055
07f83da7-7dc1-4861-8431-2d828be96822	1	4737438	4737961	2	-1.8495
07f83da7-7dc1-4861-8431-2d828be96822	1	4739106	57129575	30243	-0.0838
07f83da7-7dc1-4861-8431-2d828be96822	1	57129617	72303233	10683	-0.042
07f83da7-7dc1-4861-8431-2d828be96822	1	72303253	72345465	45	-1.0146
07f83da7-7dc1-4861-8431-2d828be96822	1	72346221	105470754	20879	-0.0427
07f83da7-7dc1-4861-8431-2d828be96822	1	105476583	105479738	16	0.8106
07f83da7-7dc1-4861-8431-2d828be96822	1	105479753	112147704	4576	-0.0332
07f83da7-7dc1-4861-8431-2d828be96822	1	112153343	112163334	26	-1.1915
07f83da7-7dc1-4861-8431-2d828be96822	1	112163438	152583230	7579	-0.0527
07f83da7-7dc1-4861-8431-2d828be96822	1	152583291	152613762	30	-1.3779
07f83da7-7dc1-4861-8431-2d828be96822	1	152613802	152789447	171	-0.0393
07f83da7-7dc1-4861-8431-2d828be96822	1	152789463	152796224	36	0.522
07f83da7-7dc1-4861-8431-2d828be96822	1	152801429	185773715	22160	-0.055
07f83da7-7dc1-4861-8431-2d828be96822	1	185776329	199818613	9079	-0.0139
07f83da7-7dc1-4861-8431-2d828be96822	1	199818694	203937000	2715	-0.0703
07f83da7-7dc1-4861-8431-2d828be96822	1	203939357	203953367	12	-1.0059
07f83da7-7dc1-4861-8431-2d828be96822	1	203954065	247669188	30480	-0.0542
07f83da7-7dc1-4861-8431-2d828be96822	1	247669894	248781336	610	0.0507
07f83da7-7dc1-4861-8431-2d828be96822	1	248783608	248930189	83	-0.0892
07f83da7-7dc1-4861-8431-2d828be96822	2	12784	34466002	24027	-0.0473
07f83da7-7dc1-4861-8431-2d828be96822	2	34474248	34511990	46	0.4291
07f83da7-7dc1-4861-8431-2d828be96822	2	34512096	36193510	1225	-0.0023
07f83da7-7dc1-4861-8431-2d828be96822	2	36193628	50398885	10248	-0.0471
07f83da7-7dc1-4861-8431-2d828be96822	2	50399054	52527330	1498	0.0011
07f83da7-7dc1-4861-8431-2d828be96822	2	52527342	52563355	42	-0.4736
07f83da7-7dc1-4861-8431-2d828be96822	2	52564986	115522322	34313	-0.0415
07f83da7-7dc1-4861-8431-2d828be96822	2	115522515	130036283	9300	-0.0325
07f83da7-7dc1-4861-8431-2d828be96822	2	130036310	130116915	13	0.5482
07f83da7-7dc1-4861-8431-2d828be96822	2	130117303	146104517	9501	-0.0258
07f83da7-7dc1-4861-8431-2d828be96822	2	146106836	146120964	31	0.5665
07f83da7-7dc1-4861-8431-2d828be96822	2	146121077	200384243	32544	-0.0241
07f83da7-7dc1-4861-8431-2d828be96822	2	200384890	212316597	7321	-0.0372
07f83da7-7dc1-4861-8431-2d828be96822	2	212321824	212327101	25	-0.7675
07f83da7-7dc1-4861-8431-2d828be96822	2	212327402	242147305	18966	-0.0598
07f83da7-7dc1-4861-8431-2d828be96822	3	20930	6604856	5796	-0.019
07f83da7-7dc1-4861-8431-2d828be96822	3	6609441	6610989	17	-0.763
07f83da7-7dc1-4861-8431-2d828be96822	3	6611381	8389233	1551	-0.0372
07f83da7-7dc1-4861-8431-2d828be96822	3	8396891	15419711	4991	-0.0688
07f83da7-7dc1-4861-8431-2d828be96822	3	15422811	26384700	7478	-0.0301
