GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b401eca4-aeb5-4b20-9f1b-240a513b68c2	1	62920	3031345	622	0.054
b401eca4-aeb5-4b20-9f1b-240a513b68c2	1	3031456	15822848	7716	-0.0795
b401eca4-aeb5-4b20-9f1b-240a513b68c2	1	15823420	15827430	7	0.8743
b401eca4-aeb5-4b20-9f1b-240a513b68c2	1	15827706	25266637	5676	-0.0746
b401eca4-aeb5-4b20-9f1b-240a513b68c2	1	25269390	25319167	19	0.5973
b401eca4-aeb5-4b20-9f1b-240a513b68c2	1	25319693	27987138	1125	-0.0478
b401eca4-aeb5-4b20-9f1b-240a513b68c2	1	27987912	29112929	442	0.1384
b401eca4-aeb5-4b20-9f1b-240a513b68c2	1	29116074	29639011	295	-0.0997
b401eca4-aeb5-4b20-9f1b-240a513b68c2	1	29639841	30864446	1018	0.1171
b401eca4-aeb5-4b20-9f1b-240a513b68c2	1	30864570	31493478	302	-0.0374
b401eca4-aeb5-4b20-9f1b-240a513b68c2	1	31495473	31601624	61	0.0892
b401eca4-aeb5-4b20-9f1b-240a513b68c2	1	31602712	36253068	2444	0.1354
b401eca4-aeb5-4b20-9f1b-240a513b68c2	1	36256597	42802299	3833	0.0362
b401eca4-aeb5-4b20-9f1b-240a513b68c2	1	42802313	70839424	18339	-0.0794
b401eca4-aeb5-4b20-9f1b-240a513b68c2	1	70842277	70848774	10	-0.8266
b401eca4-aeb5-4b20-9f1b-240a513b68c2	1	70850149	72302735	868	-0.0652
b401eca4-aeb5-4b20-9f1b-240a513b68c2	1	72302815	72346221	48	0.5057
b401eca4-aeb5-4b20-9f1b-240a513b68c2	1	72346757	103560608	19995	-0.0771
b401eca4-aeb5-4b20-9f1b-240a513b68c2	1	103566616	103621165	29	0.745
b401eca4-aeb5-4b20-9f1b-240a513b68c2	1	103697067	105476748	926	-0.0602
b401eca4-aeb5-4b20-9f1b-240a513b68c2	1	105476861	105479722	11	0.9518
