GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c934faca-db82-49de-928b-439e52017390	1	62920	3409529	808	-0.0706
c934faca-db82-49de-928b-439e52017390	1	3409606	16785682	7883	-0.005
c934faca-db82-49de-928b-439e52017390	1	16787932	16955930	61	-0.4391
c934faca-db82-49de-928b-439e52017390	1	16956580	25266637	5256	-0.0055
c934faca-db82-49de-928b-439e52017390	1	25269390	25284961	13	0.6555
c934faca-db82-49de-928b-439e52017390	1	25289805	61220474	21094	0.0011
c934faca-db82-49de-928b-439e52017390	1	61220716	61223273	3	-1.179
c934faca-db82-49de-928b-439e52017390	1	61225664	72297687	7621	0.0017
c934faca-db82-49de-928b-439e52017390	1	72302735	72345465	48	-1.7052
c934faca-db82-49de-928b-439e52017390	1	72346221	88963466	10876	-0.0027
c934faca-db82-49de-928b-439e52017390	1	88966732	88969095	2	-1.4278
c934faca-db82-49de-928b-439e52017390	1	88969731	103560608	9085	0.0055
c934faca-db82-49de-928b-439e52017390	1	103566616	103760781	33	0.4843
c934faca-db82-49de-928b-439e52017390	1	103760879	105476583	913	0.0073
c934faca-db82-49de-928b-439e52017390	1	105476614	105479753	16	-0.4252
c934faca-db82-49de-928b-439e52017390	1	105481433	109690352	2631	-0.0042
c934faca-db82-49de-928b-439e52017390	1	109690415	109697556	12	1.5459
c934faca-db82-49de-928b-439e52017390	1	109702376	112153465	1949	0.0047
c934faca-db82-49de-928b-439e52017390	1	112153571	112154576	19	-0.3938
c934faca-db82-49de-928b-439e52017390	1	112154591	121547204	5135	0.0049
c934faca-db82-49de-928b-439e52017390	1	121548436	144442092	153	0.131
c934faca-db82-49de-928b-439e52017390	1	144442098	152583051	2307	-0.0033
c934faca-db82-49de-928b-439e52017390	1	152583230	152613762	31	-2.1041
c934faca-db82-49de-928b-439e52017390	1	152613802	152787202	171	-0.0342
c934faca-db82-49de-928b-439e52017390	1	152789447	152796224	37	-0.3837
c934faca-db82-49de-928b-439e52017390	1	152801429	194479104	27978	0.0051
c934faca-db82-49de-928b-439e52017390	1	194482281	194485888	2	-1.7371
c934faca-db82-49de-928b-439e52017390	1	194487886	196745743	1448	0.0119
c934faca-db82-49de-928b-439e52017390	1	196758720	196762956	4	0.9472
c934faca-db82-49de-928b-439e52017390	1	196769493	196843377	55	0.1858
c934faca-db82-49de-928b-439e52017390	1	196843400	196846661	2	-1.976
c934faca-db82-49de-928b-439e52017390	1	196847600	199142235	1370	0.0062
c934faca-db82-49de-928b-439e52017390	1	199142298	199144712	8	-2.0886
c934faca-db82-49de-928b-439e52017390	1	199145110	209897717	7395	0.0131
c934faca-db82-49de-928b-439e52017390	1	209908268	209910639	3	-2.8092
c934faca-db82-49de-928b-439e52017390	1	209913207	248458851	26786	0.002
c934faca-db82-49de-928b-439e52017390	1	248461036	248471839	5	1.0458
c934faca-db82-49de-928b-439e52017390	1	248473963	248546369	15	-0.1746
c934faca-db82-49de-928b-439e52017390	1	248550567	248633912	35	-2.7321
c934faca-db82-49de-928b-439e52017390	1	248645563	248930189	141	0.009
c934faca-db82-49de-928b-439e52017390	2	12784	34466002	24055	0.0007
c934faca-db82-49de-928b-439e52017390	2	34474248	34502800	44	-0.572
c934faca-db82-49de-928b-439e52017390	2	34511446	34775379	187	0.0283
c934faca-db82-49de-928b-439e52017390	2	34776071	34793077	19	-0.3661
c934faca-db82-49de-928b-439e52017390	2	34794620	38727277	2968	0.0046
c934faca-db82-49de-928b-439e52017390	2	38727353	38745139	9	0.9262
c934faca-db82-49de-928b-439e52017390	2	38745684	41009990	1600	0.0104
c934faca-db82-49de-928b-439e52017390	2	41010045	41010246	2	-1.3266
c934faca-db82-49de-928b-439e52017390	2	41010424	43294028	1699	0.0181
c934faca-db82-49de-928b-439e52017390	2	43298700	43305385	9	-0.94
c934faca-db82-49de-928b-439e52017390	2	43311568	86901078	28483	0.0097
c934faca-db82-49de-928b-439e52017390	2	86902080	87082140	14	-0.6598
c934faca-db82-49de-928b-439e52017390	2	87082711	130036283	21709	0.01
c934faca-db82-49de-928b-439e52017390	2	130036310	130116915	13	-0.5709
c934faca-db82-49de-928b-439e52017390	2	130117303	136463041	3440	0.0137
c934faca-db82-49de-928b-439e52017390	2	136463410	136463557	3	-1.4735
c934faca-db82-49de-928b-439e52017390	2	136463759	207490188	43017	0.0104
c934faca-db82-49de-928b-439e52017390	2	207490231	207494612	17	-0.9426
c934faca-db82-49de-928b-439e52017390	2	207494752	242147305	22059	0.0055
c934faca-db82-49de-928b-439e52017390	3	20930	26384700	19854	0.0074
c934faca-db82-49de-928b-439e52017390	3	26392633	26397852	5	-0.9761
c934faca-db82-49de-928b-439e52017390	3	26404482	36255327	6610	0.0051
c934faca-db82-49de-928b-439e52017390	3	36255331	36255333	2	-1.8993
c934faca-db82-49de-928b-439e52017390	3	36255351	52989195	9189	0.0022
c934faca-db82-49de-928b-439e52017390	3	52994359	53005201	38	-0.6633
c934faca-db82-49de-928b-439e52017390	3	53005247	68697013	12018	0.0052
c934faca-db82-49de-928b-439e52017390	3	68697108	68698262	14	-1.9343
c934faca-db82-49de-928b-439e52017390	3	68699607	99225632	15879	0.0027
c934faca-db82-49de-928b-439e52017390	3	99225667	99230457	33	0.334
c934faca-db82-49de-928b-439e52017390	3	99230464	130047743	18685	0.0054
c934faca-db82-49de-928b-439e52017390	3	130057015	130087393	36	0.5374
c934faca-db82-49de-928b-439e52017390	3	130088081	162795304	20233	0.0058
c934faca-db82-49de-928b-439e52017390	3	162795361	162908815	69	-0.4359
c934faca-db82-49de-928b-439e52017390	3	162910826	169012392	3435	0.009
c934faca-db82-49de-928b-439e52017390	3	169015614	169020840	2	-1.9378
c934faca-db82-49de-928b-439e52017390	3	169022039	193160113	15687	0.0074
c934faca-db82-49de-928b-439e52017390	3	193160173	193161217	6	1.4051
c934faca-db82-49de-928b-439e52017390	3	193162684	195663809	1495	0.0023
c934faca-db82-49de-928b-439e52017390	3	195673928	195737223	35	0.4187
c934faca-db82-49de-928b-439e52017390	3	195737253	198169247	1172	-0.0146
c934faca-db82-49de-928b-439e52017390	4	68929	9450197	5156	-0.0103
c934faca-db82-49de-928b-439e52017390	4	9455251	9477699	7	-0.7248
c934faca-db82-49de-928b-439e52017390	4	9484440	10208339	534	0.0139
c934faca-db82-49de-928b-439e52017390	4	10208489	10233644	41	0.4218
c934faca-db82-49de-928b-439e52017390	4	10234518	10389091	171	0.021
c934faca-db82-49de-928b-439e52017390	4	10390730	10399044	16	-0.4785
c934faca-db82-49de-928b-439e52017390	4	10401094	34777432	16760	0.0021
c934faca-db82-49de-928b-439e52017390	4	34784878	34823103	38	-0.6732
c934faca-db82-49de-928b-439e52017390	4	34828250	63828222	16537	0.005
c934faca-db82-49de-928b-439e52017390	4	63831751	63852325	31	-0.4462
c934faca-db82-49de-928b-439e52017390	4	63856498	64958440	663	0.0031
c934faca-db82-49de-928b-439e52017390	4	64958534	64958552	2	-1.7577
c934faca-db82-49de-928b-439e52017390	4	64958595	68378716	2176	0.0008
c934faca-db82-49de-928b-439e52017390	4	68389352	68422422	9	0.5174
c934faca-db82-49de-928b-439e52017390	4	68422424	68639397	80	-0.2158
c934faca-db82-49de-928b-439e52017390	4	68640616	69257792	312	0.0445
c934faca-db82-49de-928b-439e52017390	4	69261926	69363634	52	-0.5427
c934faca-db82-49de-928b-439e52017390	4	69363716	106710177	22611	0.0044
c934faca-db82-49de-928b-439e52017390	4	106717379	106720441	3	-1.3799
c934faca-db82-49de-928b-439e52017390	4	106720797	115244948	5298	0.0035
