GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a136d668-6723-46ff-8b31-85bf6f804dfa	1	62920	2484985	466	-0.1282
a136d668-6723-46ff-8b31-85bf6f804dfa	1	2487186	3285881	267	-0.2492
a136d668-6723-46ff-8b31-85bf6f804dfa	1	3286332	4734054	1030	-0.0948
a136d668-6723-46ff-8b31-85bf6f804dfa	1	4736498	4737438	2	-1.698
a136d668-6723-46ff-8b31-85bf6f804dfa	1	4737961	9271893	2901	-0.1005
a136d668-6723-46ff-8b31-85bf6f804dfa	1	9271914	9275686	4	-1.2214
a136d668-6723-46ff-8b31-85bf6f804dfa	1	9279146	15827002	3666	-0.0983
a136d668-6723-46ff-8b31-85bf6f804dfa	1	15827041	15827338	3	-3.1127
a136d668-6723-46ff-8b31-85bf6f804dfa	1	15827362	25256850	5669	-0.104
a136d668-6723-46ff-8b31-85bf6f804dfa	1	25266637	25320455	24	-2.1252
a136d668-6723-46ff-8b31-85bf6f804dfa	1	25336819	53124958	15038	-0.0997
a136d668-6723-46ff-8b31-85bf6f804dfa	1	53127345	53128141	2	-1.7349
a136d668-6723-46ff-8b31-85bf6f804dfa	1	53128843	72303253	13668	-0.091
a136d668-6723-46ff-8b31-85bf6f804dfa	1	72305460	72351072	47	0.5523
a136d668-6723-46ff-8b31-85bf6f804dfa	1	72351338	103556030	19975	-0.0818
a136d668-6723-46ff-8b31-85bf6f804dfa	1	103557298	103589737	22	0.5474
a136d668-6723-46ff-8b31-85bf6f804dfa	1	103613021	105470132	930	-0.0842
a136d668-6723-46ff-8b31-85bf6f804dfa	1	105470754	105479753	18	0.6713
a136d668-6723-46ff-8b31-85bf6f804dfa	1	105481433	119575395	9345	-0.0862
a136d668-6723-46ff-8b31-85bf6f804dfa	1	119575625	119580060	6	-1.1205
a136d668-6723-46ff-8b31-85bf6f804dfa	1	119580062	121413668	346	-0.0907
a136d668-6723-46ff-8b31-85bf6f804dfa	1	121426988	121601998	75	0.4788
a136d668-6723-46ff-8b31-85bf6f804dfa	1	121705338	152785214	2642	-0.0874
a136d668-6723-46ff-8b31-85bf6f804dfa	1	152787202	152796224	38	0.4343
a136d668-6723-46ff-8b31-85bf6f804dfa	1	152801429	196762480	29425	-0.0822
a136d668-6723-46ff-8b31-85bf6f804dfa	1	196762956	196843377	56	-0.5607
a136d668-6723-46ff-8b31-85bf6f804dfa	1	196843400	241949035	31285	-0.0877
a136d668-6723-46ff-8b31-85bf6f804dfa	1	241950290	241972675	7	-0.9484
a136d668-6723-46ff-8b31-85bf6f804dfa	1	241974662	246109843	2816	-0.0922
a136d668-6723-46ff-8b31-85bf6f804dfa	1	246109865	246110213	2	1.3557
a136d668-6723-46ff-8b31-85bf6f804dfa	1	246110241	248546369	1486	-0.0678
a136d668-6723-46ff-8b31-85bf6f804dfa	1	248550567	248631988	33	-0.8259
a136d668-6723-46ff-8b31-85bf6f804dfa	1	248633821	248930189	143	-0.079
a136d668-6723-46ff-8b31-85bf6f804dfa	2	12784	3197646	2242	-0.1091
a136d668-6723-46ff-8b31-85bf6f804dfa	2	3199226	3199974	2	-1.7186
a136d668-6723-46ff-8b31-85bf6f804dfa	2	3200081	4158097	737	-0.0913
a136d668-6723-46ff-8b31-85bf6f804dfa	2	4166274	4176429	42	-0.6561
a136d668-6723-46ff-8b31-85bf6f804dfa	2	4182472	14563570	8006	-0.0763
a136d668-6723-46ff-8b31-85bf6f804dfa	2	14564825	14569897	11	-1.0102
a136d668-6723-46ff-8b31-85bf6f804dfa	2	14569968	34294381	12927	-0.0768
a136d668-6723-46ff-8b31-85bf6f804dfa	2	34295406	34300513	3	1.0667
a136d668-6723-46ff-8b31-85bf6f804dfa	2	34300900	34460213	94	-0.0827
a136d668-6723-46ff-8b31-85bf6f804dfa	2	34466002	34512489	49	0.458
a136d668-6723-46ff-8b31-85bf6f804dfa	2	34512965	52527590	12989	-0.0719
a136d668-6723-46ff-8b31-85bf6f804dfa	2	52527727	52554359	32	0.8222
a136d668-6723-46ff-8b31-85bf6f804dfa	2	52554366	89936810	22759	-0.0725
a136d668-6723-46ff-8b31-85bf6f804dfa	2	89956227	90228220	120	-0.8971
a136d668-6723-46ff-8b31-85bf6f804dfa	2	90228237	117465774	12661	-0.0752
a136d668-6723-46ff-8b31-85bf6f804dfa	2	117466188	117468375	5	-1.2175
a136d668-6723-46ff-8b31-85bf6f804dfa	2	117470941	128880504	7237	-0.0774
a136d668-6723-46ff-8b31-85bf6f804dfa	2	128880904	128882741	15	-0.9221
a136d668-6723-46ff-8b31-85bf6f804dfa	2	128882755	242147305	69449	-0.0723
a136d668-6723-46ff-8b31-85bf6f804dfa	3	20930	2049117	1829	0.0763
a136d668-6723-46ff-8b31-85bf6f804dfa	3	2049153	52988877	33847	0.0114
a136d668-6723-46ff-8b31-85bf6f804dfa	3	52988908	53007503	50	-0.4967
a136d668-6723-46ff-8b31-85bf6f804dfa	3	53007838	125950205	44270	0.0124
a136d668-6723-46ff-8b31-85bf6f804dfa	3	125954540	125957120	3	-2.5364
a136d668-6723-46ff-8b31-85bf6f804dfa	3	125961657	125993496	29	-0.0601
a136d668-6723-46ff-8b31-85bf6f804dfa	3	125993720	125993872	4	0.8754
a136d668-6723-46ff-8b31-85bf6f804dfa	3	125993886	130057015	2351	0.0021
a136d668-6723-46ff-8b31-85bf6f804dfa	3	130057833	130087393	35	0.5854
a136d668-6723-46ff-8b31-85bf6f804dfa	3	130088081	136300257	4024	0.0113
a136d668-6723-46ff-8b31-85bf6f804dfa	3	136304109	136306584	2	-2.0815
a136d668-6723-46ff-8b31-85bf6f804dfa	3	136319699	143566923	4333	0.0042
a136d668-6723-46ff-8b31-85bf6f804dfa	3	143566958	143567132	4	1.1908
a136d668-6723-46ff-8b31-85bf6f804dfa	3	143567959	162790480	11880	0.0226
a136d668-6723-46ff-8b31-85bf6f804dfa	3	162794869	162898127	64	0.8596
a136d668-6723-46ff-8b31-85bf6f804dfa	3	162906054	162908815	8	-0.5611
a136d668-6723-46ff-8b31-85bf6f804dfa	3	162910826	169012392	3438	0.0296
a136d668-6723-46ff-8b31-85bf6f804dfa	3	169015614	169020840	2	-2.182
a136d668-6723-46ff-8b31-85bf6f804dfa	3	169022039	169631156	464	0.0339
a136d668-6723-46ff-8b31-85bf6f804dfa	3	169632074	169632816	2	1.4034
a136d668-6723-46ff-8b31-85bf6f804dfa	3	169634670	193160256	15250	0.0146
a136d668-6723-46ff-8b31-85bf6f804dfa	3	193160406	193165114	17	-1.3612
a136d668-6723-46ff-8b31-85bf6f804dfa	3	193168646	197561209	2404	-0.0045
a136d668-6723-46ff-8b31-85bf6f804dfa	3	197561758	197575204	12	-1.0387
a136d668-6723-46ff-8b31-85bf6f804dfa	3	197577408	198169247	273	0.0172
a136d668-6723-46ff-8b31-85bf6f804dfa	4	68929	10208766	5695	-0.1153
a136d668-6723-46ff-8b31-85bf6f804dfa	4	10221792	10229874	28	-2.1059
a136d668-6723-46ff-8b31-85bf6f804dfa	4	10232590	10233644	7	-0.6665
a136d668-6723-46ff-8b31-85bf6f804dfa	4	10234518	10389091	171	-0.1092
a136d668-6723-46ff-8b31-85bf6f804dfa	4	10390730	10399044	16	0.3678
a136d668-6723-46ff-8b31-85bf6f804dfa	4	10401094	17390175	5455	-0.0912
a136d668-6723-46ff-8b31-85bf6f804dfa	4	17395562	28228391	7282	-0.1224
a136d668-6723-46ff-8b31-85bf6f804dfa	4	28228472	34777382	4038	-0.0935
a136d668-6723-46ff-8b31-85bf6f804dfa	4	34777403	34828382	46	0.2048
a136d668-6723-46ff-8b31-85bf6f804dfa	4	34830196	36010007	766	-0.0956
a136d668-6723-46ff-8b31-85bf6f804dfa	4	36011231	36011519	2	-1.7964
a136d668-6723-46ff-8b31-85bf6f804dfa	4	36011887	63841887	15804	-0.0874
a136d668-6723-46ff-8b31-85bf6f804dfa	4	63842036	63842505	5	-1.1507
