GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	62920	16767520	8685	0.0072
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	16767532	16949746	67	0.4585
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	16951445	25256850	5254	0.0026
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	25266637	25320455	24	0.5241
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	25336819	30141148	2270	0.0064
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	30144859	30146617	5	-1.03
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	30147019	34622883	2669	0.0151
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	34625857	34652324	28	0.3046
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	34652430	105476583	44691	0.0067
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	105476614	105481515	20	0.4842
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	105482176	108187137	1927	0.0034
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	108191613	108194874	3	-0.8534
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	108196482	109690352	695	0.007
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	109690415	109697556	12	1.4993
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	109702376	112147704	1947	0.0145
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	112153343	112154591	22	-2.1698
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	112154619	112154768	3	-0.8842
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	112163334	119424869	4566	0.0028
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	119426820	145899941	832	0.0606
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	145901901	147188642	178	0.0029
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	147191235	147195146	2	-1.3193
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	147196456	152784298	2209	0.0289
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	152784330	152796224	40	0.3545
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	152801429	167796946	10158	0.0089
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	167797188	167797682	3	-1.3111
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	167799276	169247699	1110	0.0114
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	169264736	169272528	7	-3.1817
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	169273163	196762480	18148	0.003
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	196762956	196846661	58	-0.6998
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	196847600	212831113	10721	0.0067
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	212831670	212837094	7	-1.1045
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	212841111	248574146	24851	0.0049
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	248585893	248645808	34	-0.9253
6885ce05-6d41-4433-9c2c-d758b133dcc0	1	248646068	248930189	139	-0.0123
6885ce05-6d41-4433-9c2c-d758b133dcc0	2	12784	5303892	3922	0.0044
6885ce05-6d41-4433-9c2c-d758b133dcc0	2	5304307	5309501	3	-1.0897
6885ce05-6d41-4433-9c2c-d758b133dcc0	2	5310518	9152422	3184	-0.0001
6885ce05-6d41-4433-9c2c-d758b133dcc0	2	9157328	9158917	3	0.9436
6885ce05-6d41-4433-9c2c-d758b133dcc0	2	9160936	24376380	10783	0.0062
6885ce05-6d41-4433-9c2c-d758b133dcc0	2	24378642	24388259	19	-0.9783
6885ce05-6d41-4433-9c2c-d758b133dcc0	2	24388858	34450400	6129	0.0092
6885ce05-6d41-4433-9c2c-d758b133dcc0	2	34456427	34512096	51	0.2976
6885ce05-6d41-4433-9c2c-d758b133dcc0	2	34512489	35750907	867	0.0068
6885ce05-6d41-4433-9c2c-d758b133dcc0	2	35752724	35762850	6	-2.149
6885ce05-6d41-4433-9c2c-d758b133dcc0	2	35762881	35884868	111	0.0868
6885ce05-6d41-4433-9c2c-d758b133dcc0	2	35887212	37373650	1169	-0.0014
6885ce05-6d41-4433-9c2c-d758b133dcc0	2	37376801	38429266	826	0.0728
6885ce05-6d41-4433-9c2c-d758b133dcc0	2	38429722	38429813	2	1.7717
6885ce05-6d41-4433-9c2c-d758b133dcc0	2	38430453	48672011	7239	0.0147
6885ce05-6d41-4433-9c2c-d758b133dcc0	2	48678817	48679702	2	-1.8417
