GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
37f69715-2728-4096-b069-b1b50aaad1f4	1	62920	846869	39	0.0115
37f69715-2728-4096-b069-b1b50aaad1f4	1	850545	3301765	697	-0.1745
37f69715-2728-4096-b069-b1b50aaad1f4	1	3302046	15822848	7589	-0.029
37f69715-2728-4096-b069-b1b50aaad1f4	1	15823420	15828515	11	-0.7
37f69715-2728-4096-b069-b1b50aaad1f4	1	15839166	25256850	5663	-0.0371
37f69715-2728-4096-b069-b1b50aaad1f4	1	25266637	25320455	24	-2.1644
37f69715-2728-4096-b069-b1b50aaad1f4	1	25336819	30678605	2737	-0.0301
37f69715-2728-4096-b069-b1b50aaad1f4	1	30680834	30867774	137	-0.1962
37f69715-2728-4096-b069-b1b50aaad1f4	1	30868159	34626073	2071	-0.0276
37f69715-2728-4096-b069-b1b50aaad1f4	1	34637053	34637435	6	-3.3595
37f69715-2728-4096-b069-b1b50aaad1f4	1	34637541	34638226	5	-0.7863
37f69715-2728-4096-b069-b1b50aaad1f4	1	34638263	34638878	8	-4.0643
37f69715-2728-4096-b069-b1b50aaad1f4	1	34638890	109684695	47322	-0.032
37f69715-2728-4096-b069-b1b50aaad1f4	1	109684893	109707613	18	-0.6911
37f69715-2728-4096-b069-b1b50aaad1f4	1	109707614	112147704	1943	-0.028
37f69715-2728-4096-b069-b1b50aaad1f4	1	112153343	112154768	25	-0.4299
37f69715-2728-4096-b069-b1b50aaad1f4	1	112163334	119605804	4755	-0.0233
37f69715-2728-4096-b069-b1b50aaad1f4	1	119606894	119608326	3	-1.0493
37f69715-2728-4096-b069-b1b50aaad1f4	1	119608965	146062439	701	-0.0477
37f69715-2728-4096-b069-b1b50aaad1f4	1	146150530	146174153	3	-1.2946
37f69715-2728-4096-b069-b1b50aaad1f4	1	146250588	152583051	2124	-0.0377
37f69715-2728-4096-b069-b1b50aaad1f4	1	152583230	152614064	33	-2.14
37f69715-2728-4096-b069-b1b50aaad1f4	1	152614100	152782154	161	-0.0362
37f69715-2728-4096-b069-b1b50aaad1f4	1	152783832	152796224	44	-0.3522
37f69715-2728-4096-b069-b1b50aaad1f4	1	152801429	174827267	14779	-0.0247
37f69715-2728-4096-b069-b1b50aaad1f4	1	174827418	174832782	19	-0.8058
37f69715-2728-4096-b069-b1b50aaad1f4	1	174832869	193186662	12218	-0.0372
37f69715-2728-4096-b069-b1b50aaad1f4	1	193187149	193187218	4	-1.3172
