GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fba529c2-4474-439a-8540-647e934c2db0	1	62920	15822848	8331	0.012
fba529c2-4474-439a-8540-647e934c2db0	1	15823420	15827706	8	-0.7312
fba529c2-4474-439a-8540-647e934c2db0	1	15827744	16617327	312	0.0392
fba529c2-4474-439a-8540-647e934c2db0	1	16627347	16643961	19	-0.5175
fba529c2-4474-439a-8540-647e934c2db0	1	16679239	16721984	12	0.1243
fba529c2-4474-439a-8540-647e934c2db0	1	16766762	16788139	13	-1.5649
fba529c2-4474-439a-8540-647e934c2db0	1	16855942	16935737	55	0.5604
fba529c2-4474-439a-8540-647e934c2db0	1	16935752	17492580	391	0.0266
fba529c2-4474-439a-8540-647e934c2db0	1	17492593	17496341	2	-1.0177
fba529c2-4474-439a-8540-647e934c2db0	1	17497381	18915410	1067	0.0097
fba529c2-4474-439a-8540-647e934c2db0	1	18915849	18922622	4	-1.1286
fba529c2-4474-439a-8540-647e934c2db0	1	18923932	25256850	3793	0.0069
fba529c2-4474-439a-8540-647e934c2db0	1	25266637	25320455	24	0.578
fba529c2-4474-439a-8540-647e934c2db0	1	25336819	105470754	49642	0.0027
fba529c2-4474-439a-8540-647e934c2db0	1	105476583	105479753	17	-0.6807
fba529c2-4474-439a-8540-647e934c2db0	1	105481433	109690352	2629	-0.0061
fba529c2-4474-439a-8540-647e934c2db0	1	109690415	109697556	12	2.035
fba529c2-4474-439a-8540-647e934c2db0	1	109702376	114151650	3167	-0.0036
fba529c2-4474-439a-8540-647e934c2db0	1	114154398	114154411	2	-1.6291
fba529c2-4474-439a-8540-647e934c2db0	1	114155472	121598439	3950	0.0027
fba529c2-4474-439a-8540-647e934c2db0	1	121601998	143734438	99	0.2331
fba529c2-4474-439a-8540-647e934c2db0	1	143748012	143751676	12	0.7886
fba529c2-4474-439a-8540-647e934c2db0	1	143751730	145642976	36	0.2931
fba529c2-4474-439a-8540-647e934c2db0	1	145642990	152787202	2492	0.0218
fba529c2-4474-439a-8540-647e934c2db0	1	152789447	152796224	37	-0.488
fba529c2-4474-439a-8540-647e934c2db0	1	152801429	174827267	14786	-0.0002
fba529c2-4474-439a-8540-647e934c2db0	1	174827418	174832702	16	-0.9001
fba529c2-4474-439a-8540-647e934c2db0	1	174832716	175468144	431	-0.0004
fba529c2-4474-439a-8540-647e934c2db0	1	175469575	175783051	287	0.1118
fba529c2-4474-439a-8540-647e934c2db0	1	175783601	194479104	12448	-0.0027
fba529c2-4474-439a-8540-647e934c2db0	1	194482281	194485888	2	-2.2696
fba529c2-4474-439a-8540-647e934c2db0	1	194487886	196745743	1448	0.0096
fba529c2-4474-439a-8540-647e934c2db0	1	196758720	196762956	4	0.931
fba529c2-4474-439a-8540-647e934c2db0	1	196769493	196843377	55	0.0984
fba529c2-4474-439a-8540-647e934c2db0	1	196843400	196846661	2	-1.9135
fba529c2-4474-439a-8540-647e934c2db0	1	196847600	229675422	21784	0.0014
fba529c2-4474-439a-8540-647e934c2db0	1	229681109	229684449	3	-3.4084
fba529c2-4474-439a-8540-647e934c2db0	1	229684709	234772540	4032	0.0095
fba529c2-4474-439a-8540-647e934c2db0	1	234776541	234780167	3	-1.3662
fba529c2-4474-439a-8540-647e934c2db0	1	234794424	242960635	6171	-0.0003
fba529c2-4474-439a-8540-647e934c2db0	1	242966050	243105657	24	0.3496
fba529c2-4474-439a-8540-647e934c2db0	1	243111228	248930189	3722	0.0007
fba529c2-4474-439a-8540-647e934c2db0	2	12784	4166610	2984	0.0118
fba529c2-4474-439a-8540-647e934c2db0	2	4168820	4176429	40	0.3059
fba529c2-4474-439a-8540-647e934c2db0	2	4182472	9037075	4003	0.0081
fba529c2-4474-439a-8540-647e934c2db0	2	9045183	9045247	2	-1.3353
fba529c2-4474-439a-8540-647e934c2db0	2	9048359	14560559	3986	0.0087
fba529c2-4474-439a-8540-647e934c2db0	2	14562225	14569897	16	0.3879
fba529c2-4474-439a-8540-647e934c2db0	2	14569968	27216883	8288	0.005
fba529c2-4474-439a-8540-647e934c2db0	2	27218434	27218632	3	-1.2121
fba529c2-4474-439a-8540-647e934c2db0	2	27219036	33535209	3989	0.0188
fba529c2-4474-439a-8540-647e934c2db0	2	33535877	33547586	12	-0.4614
fba529c2-4474-439a-8540-647e934c2db0	2	33547684	35750907	1636	0.014
fba529c2-4474-439a-8540-647e934c2db0	2	35752724	35762881	7	0.8718
fba529c2-4474-439a-8540-647e934c2db0	2	35772407	52516787	12106	0.0104
fba529c2-4474-439a-8540-647e934c2db0	2	52527330	52554404	40	0.7951
fba529c2-4474-439a-8540-647e934c2db0	2	52560811	242147305	112179	0.006
fba529c2-4474-439a-8540-647e934c2db0	3	20930	182919	153	0.0593
fba529c2-4474-439a-8540-647e934c2db0	3	188339	193347	6	-0.8484
fba529c2-4474-439a-8540-647e934c2db0	3	193922	4235682	3643	0.0502
fba529c2-4474-439a-8540-647e934c2db0	3	4237773	59667814	36344	0.0085
fba529c2-4474-439a-8540-647e934c2db0	3	59669804	60974492	1492	0.0914
fba529c2-4474-439a-8540-647e934c2db0	3	60974673	62951706	1672	0.0087
fba529c2-4474-439a-8540-647e934c2db0	3	62953762	63022185	49	0.6719
fba529c2-4474-439a-8540-647e934c2db0	3	63035098	75315279	9176	0.0059
fba529c2-4474-439a-8540-647e934c2db0	3	75315329	75483280	74	0.2288
fba529c2-4474-439a-8540-647e934c2db0	3	75489692	75547095	22	0.6981
fba529c2-4474-439a-8540-647e934c2db0	3	75559488	75853758	66	0.2362
fba529c2-4474-439a-8540-647e934c2db0	3	75863200	80011199	2451	0.0085
fba529c2-4474-439a-8540-647e934c2db0	3	80011227	80014572	3	-1.512
fba529c2-4474-439a-8540-647e934c2db0	3	80021657	99204123	8425	-0.0021
fba529c2-4474-439a-8540-647e934c2db0	3	99205206	99232539	48	0.258
fba529c2-4474-439a-8540-647e934c2db0	3	99232990	103271406	2245	-0.0082
fba529c2-4474-439a-8540-647e934c2db0	3	103272420	103273801	3	-1.0642
fba529c2-4474-439a-8540-647e934c2db0	3	103275533	128680378	15797	0.005
fba529c2-4474-439a-8540-647e934c2db0	3	128686328	128693488	7	0.7974
fba529c2-4474-439a-8540-647e934c2db0	3	128695318	136300257	4675	0.0051
fba529c2-4474-439a-8540-647e934c2db0	3	136304109	136306584	2	-2.8292
fba529c2-4474-439a-8540-647e934c2db0	3	136319699	162795304	16206	0.0055
fba529c2-4474-439a-8540-647e934c2db0	3	162795361	162807070	9	0.6409
fba529c2-4474-439a-8540-647e934c2db0	3	162810842	162813082	3	-0.3399
fba529c2-4474-439a-8540-647e934c2db0	3	162815162	162822702	7	-1.1438
