GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6ab06495-924c-45c5-a80f-bc45391b1280	1	62920	9848424	4943	0.0171
6ab06495-924c-45c5-a80f-bc45391b1280	1	9855797	9882620	21	-0.954
6ab06495-924c-45c5-a80f-bc45391b1280	1	9885523	12832455	1555	0.0015
6ab06495-924c-45c5-a80f-bc45391b1280	1	12850124	12867264	6	-1.0178
6ab06495-924c-45c5-a80f-bc45391b1280	1	12868035	16643683	2153	0.0103
6ab06495-924c-45c5-a80f-bc45391b1280	1	16643816	16951445	87	0.4254
6ab06495-924c-45c5-a80f-bc45391b1280	1	16955930	25256850	5264	0.0138
6ab06495-924c-45c5-a80f-bc45391b1280	1	25266637	25320198	22	-2.5062
6ab06495-924c-45c5-a80f-bc45391b1280	1	25320253	32435247	3588	0.0075
6ab06495-924c-45c5-a80f-bc45391b1280	1	32435639	32440206	3	-1.0913
6ab06495-924c-45c5-a80f-bc45391b1280	1	32449043	72284670	25153	0.0068
6ab06495-924c-45c5-a80f-bc45391b1280	1	72290430	72297687	9	-1.0044
6ab06495-924c-45c5-a80f-bc45391b1280	1	72302735	72345465	48	0.3522
6ab06495-924c-45c5-a80f-bc45391b1280	1	72346221	74721817	1446	0.0062
6ab06495-924c-45c5-a80f-bc45391b1280	1	74723534	74733606	5	0.8605
6ab06495-924c-45c5-a80f-bc45391b1280	1	74734100	75585159	481	0.0138
6ab06495-924c-45c5-a80f-bc45391b1280	1	75589078	75589169	2	1.3004
6ab06495-924c-45c5-a80f-bc45391b1280	1	75593824	103560608	18081	0.0003
6ab06495-924c-45c5-a80f-bc45391b1280	1	103566616	103760781	34	0.7764
6ab06495-924c-45c5-a80f-bc45391b1280	1	103760879	105476688	920	0.002
6ab06495-924c-45c5-a80f-bc45391b1280	1	105476748	105479753	14	-0.4313
6ab06495-924c-45c5-a80f-bc45391b1280	1	105481433	105591623	90	0.0191
6ab06495-924c-45c5-a80f-bc45391b1280	1	105593022	105594291	6	-1.2303
6ab06495-924c-45c5-a80f-bc45391b1280	1	105596841	109663865	2534	0.0102
6ab06495-924c-45c5-a80f-bc45391b1280	1	109664699	109684893	8	-0.5381
6ab06495-924c-45c5-a80f-bc45391b1280	1	109690352	109697556	13	-1.7349
6ab06495-924c-45c5-a80f-bc45391b1280	1	109702376	110788378	802	0.0131
6ab06495-924c-45c5-a80f-bc45391b1280	1	110789023	110859267	95	0.2291
6ab06495-924c-45c5-a80f-bc45391b1280	1	110860873	112147704	1054	0.0133
6ab06495-924c-45c5-a80f-bc45391b1280	1	112153343	112163460	29	0.7089
6ab06495-924c-45c5-a80f-bc45391b1280	1	112163496	143494500	5162	0.0077
6ab06495-924c-45c5-a80f-bc45391b1280	1	143541857	143710047	82	-0.9172
6ab06495-924c-45c5-a80f-bc45391b1280	1	143710159	143714499	10	-0.3214
6ab06495-924c-45c5-a80f-bc45391b1280	1	143714665	143748012	4	-0.9308
6ab06495-924c-45c5-a80f-bc45391b1280	1	143748074	143754798	18	-0.0616
6ab06495-924c-45c5-a80f-bc45391b1280	1	143759680	143928045	11	-0.86
6ab06495-924c-45c5-a80f-bc45391b1280	1	143942271	152582700	2316	0.0286
6ab06495-924c-45c5-a80f-bc45391b1280	1	152583051	152614100	35	-0.7332
6ab06495-924c-45c5-a80f-bc45391b1280	1	152614118	152787202	168	-0.0172
6ab06495-924c-45c5-a80f-bc45391b1280	1	152789447	152796224	37	0.7635
6ab06495-924c-45c5-a80f-bc45391b1280	1	152801429	167736395	10129	-0.001
6ab06495-924c-45c5-a80f-bc45391b1280	1	167743841	167744279	2	-2.0048
6ab06495-924c-45c5-a80f-bc45391b1280	1	167745689	169981212	1727	0.0067
6ab06495-924c-45c5-a80f-bc45391b1280	1	169985650	169986410	2	-1.4104
6ab06495-924c-45c5-a80f-bc45391b1280	1	169987309	178696898	5508	0.0108
6ab06495-924c-45c5-a80f-bc45391b1280	1	178696995	178704939	31	0.3008
6ab06495-924c-45c5-a80f-bc45391b1280	1	178705053	179361393	511	-0.0138
6ab06495-924c-45c5-a80f-bc45391b1280	1	179362247	179364180	3	-1.0139
6ab06495-924c-45c5-a80f-bc45391b1280	1	179370071	189283727	6570	0.0003
6ab06495-924c-45c5-a80f-bc45391b1280	1	189287661	189292547	5	0.7252
6ab06495-924c-45c5-a80f-bc45391b1280	1	189295447	193244080	2701	0.0164
6ab06495-924c-45c5-a80f-bc45391b1280	1	193244261	193244344	4	1.271
6ab06495-924c-45c5-a80f-bc45391b1280	1	193252785	196729112	2273	0.0037
6ab06495-924c-45c5-a80f-bc45391b1280	1	196729142	196843377	78	0.3232
6ab06495-924c-45c5-a80f-bc45391b1280	1	196843400	199142298	1379	0.0061
6ab06495-924c-45c5-a80f-bc45391b1280	1	199142393	199145110	8	0.8036
6ab06495-924c-45c5-a80f-bc45391b1280	1	199145262	209897717	7406	0.0054
6ab06495-924c-45c5-a80f-bc45391b1280	1	209908268	209910639	3	-1.8875
6ab06495-924c-45c5-a80f-bc45391b1280	1	209913207	229675422	13053	0.003
6ab06495-924c-45c5-a80f-bc45391b1280	1	229681109	229684449	3	-4.0204
6ab06495-924c-45c5-a80f-bc45391b1280	1	229684709	229685464	6	-0.732
6ab06495-924c-45c5-a80f-bc45391b1280	1	229686006	240228440	8111	-0.0003
6ab06495-924c-45c5-a80f-bc45391b1280	1	240230715	240234728	8	0.7302
6ab06495-924c-45c5-a80f-bc45391b1280	1	240239568	241567795	1062	-0.002
6ab06495-924c-45c5-a80f-bc45391b1280	1	241571821	241586760	7	-0.7741
6ab06495-924c-45c5-a80f-bc45391b1280	1	241586983	248930189	4792	0.012
6ab06495-924c-45c5-a80f-bc45391b1280	2	12784	14563570	11046	0.0063
6ab06495-924c-45c5-a80f-bc45391b1280	2	14564825	14569968	12	-0.9194
6ab06495-924c-45c5-a80f-bc45391b1280	2	14570240	32438863	11552	0.0086
6ab06495-924c-45c5-a80f-bc45391b1280	2	32441753	32513434	37	0.2973
6ab06495-924c-45c5-a80f-bc45391b1280	2	32514122	34491962	1477	0.0152
6ab06495-924c-45c5-a80f-bc45391b1280	2	34492013	34511990	26	-0.6323
6ab06495-924c-45c5-a80f-bc45391b1280	2	34512096	37793689	2487	0.0196
6ab06495-924c-45c5-a80f-bc45391b1280	2	37794355	37794632	2	-1.5207
6ab06495-924c-45c5-a80f-bc45391b1280	2	37795069	52527743	10529	0.0137
6ab06495-924c-45c5-a80f-bc45391b1280	2	52531615	52554404	33	0.4876
6ab06495-924c-45c5-a80f-bc45391b1280	2	52560811	87134049	22020	0.0126
6ab06495-924c-45c5-a80f-bc45391b1280	2	87146770	87674944	112	-0.7025
6ab06495-924c-45c5-a80f-bc45391b1280	2	87695122	89928014	662	0.0191
6ab06495-924c-45c5-a80f-bc45391b1280	2	89933871	90235899	126	-0.9027
