GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c592f1d1-bd70-4036-95db-77e6d915555d	1	62920	805477	27	-0.3246
c592f1d1-bd70-4036-95db-77e6d915555d	1	806913	1696979	185	0.1026
c592f1d1-bd70-4036-95db-77e6d915555d	1	1710664	1741164	14	0.6849
c592f1d1-bd70-4036-95db-77e6d915555d	1	1756148	3210510	470	0.0887
c592f1d1-bd70-4036-95db-77e6d915555d	1	3210573	15681259	7563	0.008
c592f1d1-bd70-4036-95db-77e6d915555d	1	15685529	15823420	79	0.083
c592f1d1-bd70-4036-95db-77e6d915555d	1	15827002	15827430	6	-2.0709
c592f1d1-bd70-4036-95db-77e6d915555d	1	15827706	16041638	90	-0.001
c592f1d1-bd70-4036-95db-77e6d915555d	1	16041908	16052921	5	0.7973
c592f1d1-bd70-4036-95db-77e6d915555d	1	16063071	25266637	5582	0.0074
c592f1d1-bd70-4036-95db-77e6d915555d	1	25269390	25320455	23	0.7118
c592f1d1-bd70-4036-95db-77e6d915555d	1	25336819	40555364	8155	0.0074
c592f1d1-bd70-4036-95db-77e6d915555d	1	40556404	40562538	4	-1.6212
c592f1d1-bd70-4036-95db-77e6d915555d	1	40563254	72303233	20584	0.0061
c592f1d1-bd70-4036-95db-77e6d915555d	1	72303253	72345450	44	0.7087
c592f1d1-bd70-4036-95db-77e6d915555d	1	72345465	74725098	1449	0.0024
c592f1d1-bd70-4036-95db-77e6d915555d	1	74727351	74733606	3	-1.3469
c592f1d1-bd70-4036-95db-77e6d915555d	1	74734100	75584489	479	0.002
c592f1d1-bd70-4036-95db-77e6d915555d	1	75585130	75589169	4	0.8104
c592f1d1-bd70-4036-95db-77e6d915555d	1	75593824	105470132	19019	-0.0013
c592f1d1-bd70-4036-95db-77e6d915555d	1	105470754	105479753	18	0.5292
c592f1d1-bd70-4036-95db-77e6d915555d	1	105481433	109684893	2636	-0.0018
c592f1d1-bd70-4036-95db-77e6d915555d	1	109690352	109702376	14	1.3472
c592f1d1-bd70-4036-95db-77e6d915555d	1	109703504	112153465	1952	0.0095
c592f1d1-bd70-4036-95db-77e6d915555d	1	112153571	112154768	23	0.5068
c592f1d1-bd70-4036-95db-77e6d915555d	1	112163334	116476992	2809	0.0068
c592f1d1-bd70-4036-95db-77e6d915555d	1	116478566	116478615	2	-1.191
