GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f0ca98f0-aec2-4150-8034-85116914c0cd	1	62920	98588	12	-0.841
f0ca98f0-aec2-4150-8034-85116914c0cd	1	98602	10483779	5257	0.0251
f0ca98f0-aec2-4150-8034-85116914c0cd	1	10484490	10484989	4	-1.1402
f0ca98f0-aec2-4150-8034-85116914c0cd	1	10488805	25244778	8749	0.0166
f0ca98f0-aec2-4150-8034-85116914c0cd	1	25247980	25320455	31	0.5334
f0ca98f0-aec2-4150-8034-85116914c0cd	1	25336819	54624527	16014	0.0208
f0ca98f0-aec2-4150-8034-85116914c0cd	1	54627618	54628716	2	-1.7512
f0ca98f0-aec2-4150-8034-85116914c0cd	1	54630777	72290430	12727	0.0225
f0ca98f0-aec2-4150-8034-85116914c0cd	1	72290459	72297687	8	-1.0939
f0ca98f0-aec2-4150-8034-85116914c0cd	1	72302735	103560166	20061	0.02
f0ca98f0-aec2-4150-8034-85116914c0cd	1	103560435	103616725	28	0.4094
f0ca98f0-aec2-4150-8034-85116914c0cd	1	103616762	105476614	927	-0.0164
f0ca98f0-aec2-4150-8034-85116914c0cd	1	105476688	105482176	20	0.7299
f0ca98f0-aec2-4150-8034-85116914c0cd	1	105486052	112147704	4597	0.0241
f0ca98f0-aec2-4150-8034-85116914c0cd	1	112153343	112154768	25	-0.4648
f0ca98f0-aec2-4150-8034-85116914c0cd	1	112163334	120414592	5066	0.0127
f0ca98f0-aec2-4150-8034-85116914c0cd	1	120885464	120954128	3	1.5144
f0ca98f0-aec2-4150-8034-85116914c0cd	1	120954165	145837617	308	-0.0235
f0ca98f0-aec2-4150-8034-85116914c0cd	1	145837889	145837994	2	-1.802
f0ca98f0-aec2-4150-8034-85116914c0cd	1	145845138	152580278	2225	0.0145
f0ca98f0-aec2-4150-8034-85116914c0cd	1	152580343	152614118	39	-0.5988
f0ca98f0-aec2-4150-8034-85116914c0cd	1	152618018	152787202	167	-0.0179
f0ca98f0-aec2-4150-8034-85116914c0cd	1	152789447	152796094	36	-1.8753
f0ca98f0-aec2-4150-8034-85116914c0cd	1	152796224	196854187	29549	0.0216
f0ca98f0-aec2-4150-8034-85116914c0cd	1	196854483	196936029	61	-1.0162
f0ca98f0-aec2-4150-8034-85116914c0cd	1	196940515	248930189	35773	0.0202
f0ca98f0-aec2-4150-8034-85116914c0cd	2	12784	34456427	24101	0.0248
f0ca98f0-aec2-4150-8034-85116914c0cd	2	34458223	34512489	51	0.3234
f0ca98f0-aec2-4150-8034-85116914c0cd	2	34512965	86901078	35047	0.0276
f0ca98f0-aec2-4150-8034-85116914c0cd	2	86902080	86910262	2	-2.7557
f0ca98f0-aec2-4150-8034-85116914c0cd	2	86934730	207490231	68303	0.0186
f0ca98f0-aec2-4150-8034-85116914c0cd	2	207490454	207491392	9	-1.1051
f0ca98f0-aec2-4150-8034-85116914c0cd	2	207493563	207496875	15	-0.4128
