GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
08b3033c-393b-43c8-921f-411a1a132859	1	62920	1575421	210	0.0777
08b3033c-393b-43c8-921f-411a1a132859	1	1696479	1741164	16	-0.549
08b3033c-393b-43c8-921f-411a1a132859	1	1756148	12779433	6265	0.0908
08b3033c-393b-43c8-921f-411a1a132859	1	12792599	12822696	23	-0.4893
08b3033c-393b-43c8-921f-411a1a132859	1	12823233	16627347	2146	0.0991
08b3033c-393b-43c8-921f-411a1a132859	1	16627800	16863509	45	-0.2053
08b3033c-393b-43c8-921f-411a1a132859	1	16864367	16955930	57	0.4872
08b3033c-393b-43c8-921f-411a1a132859	1	16956580	25256850	5257	0.0972
08b3033c-393b-43c8-921f-411a1a132859	1	25266637	25319693	21	0.7365
08b3033c-393b-43c8-921f-411a1a132859	1	25320198	47441990	12016	0.0895
08b3033c-393b-43c8-921f-411a1a132859	1	47442107	48962812	1127	0.1338
08b3033c-393b-43c8-921f-411a1a132859	1	48963753	48963765	2	-0.9619
08b3033c-393b-43c8-921f-411a1a132859	1	48964233	50114161	464	0.1477
08b3033c-393b-43c8-921f-411a1a132859	1	50114394	54997413	2696	0.0988
08b3033c-393b-43c8-921f-411a1a132859	1	54997897	63683182	6529	0.1307
08b3033c-393b-43c8-921f-411a1a132859	1	63684304	63690119	3	-0.7531
08b3033c-393b-43c8-921f-411a1a132859	1	63691526	72284670	5883	0.1147
08b3033c-393b-43c8-921f-411a1a132859	1	72290430	72297687	9	-0.7762
08b3033c-393b-43c8-921f-411a1a132859	1	72302735	75585159	1980	0.1244
08b3033c-393b-43c8-921f-411a1a132859	1	75589078	75589169	2	-2.5976
08b3033c-393b-43c8-921f-411a1a132859	1	75593824	105476583	19018	0.1244
08b3033c-393b-43c8-921f-411a1a132859	1	105476614	105479753	16	-2.3104
08b3033c-393b-43c8-921f-411a1a132859	1	105481433	109690949	2640	0.1237
08b3033c-393b-43c8-921f-411a1a132859	1	109691609	109691788	2	2.0601
08b3033c-393b-43c8-921f-411a1a132859	1	109691933	112147704	1954	0.095
08b3033c-393b-43c8-921f-411a1a132859	1	112153343	112163440	28	-0.3077
08b3033c-393b-43c8-921f-411a1a132859	1	112163460	119758152	4885	0.1232
08b3033c-393b-43c8-921f-411a1a132859	1	119762883	119762902	2	-0.9638
08b3033c-393b-43c8-921f-411a1a132859	1	119763366	121705338	272	0.132
08b3033c-393b-43c8-921f-411a1a132859	1	143459641	149914031	1051	0.402
08b3033c-393b-43c8-921f-411a1a132859	1	149918981	151364223	638	0.3151
08b3033c-393b-43c8-921f-411a1a132859	1	151364239	152583051	753	0.3813
08b3033c-393b-43c8-921f-411a1a132859	1	152583230	152613762	31	-1.8572
08b3033c-393b-43c8-921f-411a1a132859	1	152613802	152614118	4	-0.4991
08b3033c-393b-43c8-921f-411a1a132859	1	152618018	158989785	3882	0.361
08b3033c-393b-43c8-921f-411a1a132859	1	158992249	158993006	2	-4.2731
