GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4477485b-acf6-4957-8dd9-93c8b6974973	1	62920	86341	11	1.3079
4477485b-acf6-4957-8dd9-93c8b6974973	1	98588	1575421	199	-0.1331
4477485b-acf6-4957-8dd9-93c8b6974973	1	1696479	1741164	16	-0.8875
4477485b-acf6-4957-8dd9-93c8b6974973	1	1756148	1862347	74	-0.0626
4477485b-acf6-4957-8dd9-93c8b6974973	1	1864463	3248703	416	-0.1996
4477485b-acf6-4957-8dd9-93c8b6974973	1	3249525	15163303	7201	-0.0912
4477485b-acf6-4957-8dd9-93c8b6974973	1	15163366	15163532	3	-1.6782
4477485b-acf6-4957-8dd9-93c8b6974973	1	15163548	53968937	21744	-0.0889
4477485b-acf6-4957-8dd9-93c8b6974973	1	53969370	53974555	3	-1.3841
4477485b-acf6-4957-8dd9-93c8b6974973	1	53982416	72303233	13103	-0.0753
4477485b-acf6-4957-8dd9-93c8b6974973	1	72303253	72345450	44	-1.334
4477485b-acf6-4957-8dd9-93c8b6974973	1	72345465	103697067	20022	-0.0672
4477485b-acf6-4957-8dd9-93c8b6974973	1	103697364	103760781	4	0.8595
4477485b-acf6-4957-8dd9-93c8b6974973	1	103760879	105470754	917	-0.0683
4477485b-acf6-4957-8dd9-93c8b6974973	1	105476583	105479753	17	-2.2013
4477485b-acf6-4957-8dd9-93c8b6974973	1	105481433	109679105	2633	-0.0633
4477485b-acf6-4957-8dd9-93c8b6974973	1	109684695	109697556	15	1.1003
4477485b-acf6-4957-8dd9-93c8b6974973	1	109702376	110837128	854	-0.0778
4477485b-acf6-4957-8dd9-93c8b6974973	1	110837143	110841290	16	0.3533
4477485b-acf6-4957-8dd9-93c8b6974973	1	110841313	111769532	715	-0.0722
4477485b-acf6-4957-8dd9-93c8b6974973	1	111769589	111769929	3	0.8643
4477485b-acf6-4957-8dd9-93c8b6974973	1	111770456	112147704	363	-0.0352
4477485b-acf6-4957-8dd9-93c8b6974973	1	112153343	112154768	25	0.3412
4477485b-acf6-4957-8dd9-93c8b6974973	1	112163334	147732310	5958	-0.069
4477485b-acf6-4957-8dd9-93c8b6974973	1	147733603	147733635	2	-1.5577
