GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c324efb1-cf8d-4f05-8dba-085409054b2d	1	62920	72303233	42807	-0.2002
c324efb1-cf8d-4f05-8dba-085409054b2d	1	72303253	72345450	44	-1.8796
c324efb1-cf8d-4f05-8dba-085409054b2d	1	72345465	103616762	20043	-0.1981
c324efb1-cf8d-4f05-8dba-085409054b2d	1	103620877	103717410	5	-1.5383
c324efb1-cf8d-4f05-8dba-085409054b2d	1	103717617	109684893	3574	-0.1924
c324efb1-cf8d-4f05-8dba-085409054b2d	1	109690352	109697556	13	-1.6986
c324efb1-cf8d-4f05-8dba-085409054b2d	1	109702376	110834746	837	-0.1987
c324efb1-cf8d-4f05-8dba-085409054b2d	1	110834943	110836273	5	-2.1265
c324efb1-cf8d-4f05-8dba-085409054b2d	1	110836443	110836704	6	-4.8794
c324efb1-cf8d-4f05-8dba-085409054b2d	1	110836709	110845604	27	-2.6849
c324efb1-cf8d-4f05-8dba-085409054b2d	1	110849445	112147704	1076	-0.1958
c324efb1-cf8d-4f05-8dba-085409054b2d	1	112153343	112163518	32	0.3174
c324efb1-cf8d-4f05-8dba-085409054b2d	1	112163527	143546851	5163	-0.2012
c324efb1-cf8d-4f05-8dba-085409054b2d	1	143547055	143811517	115	-1.0949
c324efb1-cf8d-4f05-8dba-085409054b2d	1	143890323	169247699	13852	-0.1979
c324efb1-cf8d-4f05-8dba-085409054b2d	1	169264736	169269507	6	-3.7141
c324efb1-cf8d-4f05-8dba-085409054b2d	1	169272528	174827267	3522	-0.2028
c324efb1-cf8d-4f05-8dba-085409054b2d	1	174827418	174832702	16	-1.0529
c324efb1-cf8d-4f05-8dba-085409054b2d	1	174832716	188948555	9419	-0.2069
c324efb1-cf8d-4f05-8dba-085409054b2d	1	188949261	189989976	737	-0.1176
c324efb1-cf8d-4f05-8dba-085409054b2d	1	189990138	193244025	2197	-0.1947
c324efb1-cf8d-4f05-8dba-085409054b2d	1	193244038	193244344	6	0.8685
c324efb1-cf8d-4f05-8dba-085409054b2d	1	193252785	193271262	7	-0.998
c324efb1-cf8d-4f05-8dba-085409054b2d	1	193276783	196729112	2266	-0.1793
c324efb1-cf8d-4f05-8dba-085409054b2d	1	196729142	196789029	56	0.1397
c324efb1-cf8d-4f05-8dba-085409054b2d	1	196790144	228667018	21164	-0.2019
c324efb1-cf8d-4f05-8dba-085409054b2d	1	228671781	228671795	2	-1.916
c324efb1-cf8d-4f05-8dba-085409054b2d	1	228672619	240228440	8825	-0.2086
c324efb1-cf8d-4f05-8dba-085409054b2d	1	240230715	240230839	6	0.7819
c324efb1-cf8d-4f05-8dba-085409054b2d	1	240232805	248930189	5863	-0.1858
c324efb1-cf8d-4f05-8dba-085409054b2d	2	12784	4158097	2988	0.3381
c324efb1-cf8d-4f05-8dba-085409054b2d	2	4166274	4175922	37	-0.9035
c324efb1-cf8d-4f05-8dba-085409054b2d	2	4175977	50624444	32832	0.3249
c324efb1-cf8d-4f05-8dba-085409054b2d	2	50633010	52531615	1312	0.3822
c324efb1-cf8d-4f05-8dba-085409054b2d	2	52531630	52554404	32	0.7284
c324efb1-cf8d-4f05-8dba-085409054b2d	2	52560811	52921208	323	0.3741
c324efb1-cf8d-4f05-8dba-085409054b2d	2	52921273	56737437	2746	0.3198
c324efb1-cf8d-4f05-8dba-085409054b2d	2	56741106	58252404	983	0.3795
c324efb1-cf8d-4f05-8dba-085409054b2d	2	58265210	76212302	11206	0.3129
c324efb1-cf8d-4f05-8dba-085409054b2d	2	76217039	79678849	2393	0.3751
c324efb1-cf8d-4f05-8dba-085409054b2d	2	79678940	106258266	11793	0.3263
c324efb1-cf8d-4f05-8dba-085409054b2d	2	106263639	106268901	12	-2.6386
c324efb1-cf8d-4f05-8dba-085409054b2d	2	106270799	128880504	13398	0.3335
c324efb1-cf8d-4f05-8dba-085409054b2d	2	128880904	128882723	14	-0.6714
c324efb1-cf8d-4f05-8dba-085409054b2d	2	128882741	129330245	372	0.3426
c324efb1-cf8d-4f05-8dba-085409054b2d	2	129330727	129330777	2	-1.104
c324efb1-cf8d-4f05-8dba-085409054b2d	2	129334596	146104517	10049	0.3258
c324efb1-cf8d-4f05-8dba-085409054b2d	2	146106836	146120842	27	-0.4842
c324efb1-cf8d-4f05-8dba-085409054b2d	2	146120874	150174288	2263	0.3213
c324efb1-cf8d-4f05-8dba-085409054b2d	2	150174937	150181218	5	-1.0729
c324efb1-cf8d-4f05-8dba-085409054b2d	2	150182694	183390900	20695	0.3202
c324efb1-cf8d-4f05-8dba-085409054b2d	2	183393566	186008821	1551	0.3972
c324efb1-cf8d-4f05-8dba-085409054b2d	2	186008946	192335775	3662	0.3356
c324efb1-cf8d-4f05-8dba-085409054b2d	2	192336179	195370461	1569	0.3825
c324efb1-cf8d-4f05-8dba-085409054b2d	2	195370792	242147305	29353	0.3204
c324efb1-cf8d-4f05-8dba-085409054b2d	3	20930	6604856	5821	0.3702
c324efb1-cf8d-4f05-8dba-085409054b2d	3	6609441	6611645	23	-0.8546
c324efb1-cf8d-4f05-8dba-085409054b2d	3	6613391	16197556	7060	0.3462
c324efb1-cf8d-4f05-8dba-085409054b2d	3	16199049	16199818	7	-0.5872
c324efb1-cf8d-4f05-8dba-085409054b2d	3	16199877	22439855	4061	0.374
c324efb1-cf8d-4f05-8dba-085409054b2d	3	22440598	22440614	2	-1.4953
c324efb1-cf8d-4f05-8dba-085409054b2d	3	22441277	81545929	39198	0.3492
c324efb1-cf8d-4f05-8dba-085409054b2d	3	81546941	81548156	3	-1.5895
c324efb1-cf8d-4f05-8dba-085409054b2d	3	81551646	84053071	1276	0.3678
c324efb1-cf8d-4f05-8dba-085409054b2d	3	84056282	84057015	2	-1.4358
c324efb1-cf8d-4f05-8dba-085409054b2d	3	84061816	89337951	3015	0.3759
c324efb1-cf8d-4f05-8dba-085409054b2d	3	89345442	89357937	18	0.9274
c324efb1-cf8d-4f05-8dba-085409054b2d	3	89358106	162795304	42340	0.3507
c324efb1-cf8d-4f05-8dba-085409054b2d	3	162795361	162807070	9	1.2878
c324efb1-cf8d-4f05-8dba-085409054b2d	3	162810842	162822702	10	-0.3582
c324efb1-cf8d-4f05-8dba-085409054b2d	3	162827928	162906109	46	0.9464
c324efb1-cf8d-4f05-8dba-085409054b2d	3	162908192	162996729	74	0.385
c324efb1-cf8d-4f05-8dba-085409054b2d	3	162999939	163001774	2	-3.1149
c324efb1-cf8d-4f05-8dba-085409054b2d	3	163008371	165304048	1231	0.4006
c324efb1-cf8d-4f05-8dba-085409054b2d	3	165304486	165305126	2	-1.2296
c324efb1-cf8d-4f05-8dba-085409054b2d	3	165312891	175362822	6352	0.363
c324efb1-cf8d-4f05-8dba-085409054b2d	3	175362958	175363437	4	-3.8174
c324efb1-cf8d-4f05-8dba-085409054b2d	3	175363536	176216825	550	0.4245
c324efb1-cf8d-4f05-8dba-085409054b2d	3	176217366	192994797	10853	0.3495
c324efb1-cf8d-4f05-8dba-085409054b2d	3	192995623	193156958	113	0.4699
c324efb1-cf8d-4f05-8dba-085409054b2d	3	193160113	193165114	20	1.4261
c324efb1-cf8d-4f05-8dba-085409054b2d	3	193168646	194913859	1160	0.3579
c324efb1-cf8d-4f05-8dba-085409054b2d	3	194920587	194921116	5	-0.8877
c324efb1-cf8d-4f05-8dba-085409054b2d	3	194921751	195934679	443	0.3521
c324efb1-cf8d-4f05-8dba-085409054b2d	3	195963975	195974292	4	1.4126
c324efb1-cf8d-4f05-8dba-085409054b2d	3	195974457	197065775	526	0.3742
c324efb1-cf8d-4f05-8dba-085409054b2d	3	197068068	197235035	87	0.5851
c324efb1-cf8d-4f05-8dba-085409054b2d	3	197236741	198107849	443	0.3713
c324efb1-cf8d-4f05-8dba-085409054b2d	3	198107931	198111566	9	0.0493
c324efb1-cf8d-4f05-8dba-085409054b2d	3	198118345	198124354	10	-0.6457
c324efb1-cf8d-4f05-8dba-085409054b2d	3	198124600	198169247	7	0.2487
c324efb1-cf8d-4f05-8dba-085409054b2d	4	68929	10212536	5709	-0.208
c324efb1-cf8d-4f05-8dba-085409054b2d	4	10221792	10232984	31	0.2675
c324efb1-cf8d-4f05-8dba-085409054b2d	4	10233383	10388498	174	-0.2351
c324efb1-cf8d-4f05-8dba-085409054b2d	4	10389091	10399044	17	-0.8637
c324efb1-cf8d-4f05-8dba-085409054b2d	4	10401094	27535744	12306	-0.2057
c324efb1-cf8d-4f05-8dba-085409054b2d	4	27536233	27537073	2	-2.0749
c324efb1-cf8d-4f05-8dba-085409054b2d	4	27537263	34777432	4488	-0.175
c324efb1-cf8d-4f05-8dba-085409054b2d	4	34784878	34823103	38	-3.0708
c324efb1-cf8d-4f05-8dba-085409054b2d	4	34828250	68418873	19457	-0.1965
c324efb1-cf8d-4f05-8dba-085409054b2d	4	68422420	68461345	8	-1.1633
c324efb1-cf8d-4f05-8dba-085409054b2d	4	68468423	68674307	79	0.4523
c324efb1-cf8d-4f05-8dba-085409054b2d	4	68686026	105303103	22223	-0.2022
c324efb1-cf8d-4f05-8dba-085409054b2d	4	105305492	105305590	2	-5.3607
c324efb1-cf8d-4f05-8dba-085409054b2d	4	105306855	114252544	5479	-0.2126
c324efb1-cf8d-4f05-8dba-085409054b2d	4	114254167	114263234	30	0.7467
c324efb1-cf8d-4f05-8dba-085409054b2d	4	114264667	137163953	13236	-0.1943
c324efb1-cf8d-4f05-8dba-085409054b2d	4	137168393	137172260	17	-0.9619
c324efb1-cf8d-4f05-8dba-085409054b2d	4	137173804	144536210	4752	-0.1974
c324efb1-cf8d-4f05-8dba-085409054b2d	4	144536667	154460956	5773	-0.2275
c324efb1-cf8d-4f05-8dba-085409054b2d	4	154462710	171448195	10885	-0.1947
c324efb1-cf8d-4f05-8dba-085409054b2d	4	171453733	171466542	19	0.2912
c324efb1-cf8d-4f05-8dba-085409054b2d	4	171467330	172066777	390	-0.1779
c324efb1-cf8d-4f05-8dba-085409054b2d	4	172067997	172068382	12	-1.7457
c324efb1-cf8d-4f05-8dba-085409054b2d	4	172074828	172501156	227	-0.1413
c324efb1-cf8d-4f05-8dba-085409054b2d	4	172501171	172519981	12	0.4882
c324efb1-cf8d-4f05-8dba-085409054b2d	4	172532557	188300104	10704	-0.1877
c324efb1-cf8d-4f05-8dba-085409054b2d	4	188300206	188300285	4	2.5719
c324efb1-cf8d-4f05-8dba-085409054b2d	4	188301659	190106768	1142	-0.1841
c324efb1-cf8d-4f05-8dba-085409054b2d	5	15532	717264	310	-0.2168
c324efb1-cf8d-4f05-8dba-085409054b2d	5	717410	761010	19	-0.7446
c324efb1-cf8d-4f05-8dba-085409054b2d	5	772967	8390255	6341	-0.2015
c324efb1-cf8d-4f05-8dba-085409054b2d	5	8396348	8396772	3	-1.4508
c324efb1-cf8d-4f05-8dba-085409054b2d	5	8398273	34700599	17267	-0.1994
c324efb1-cf8d-4f05-8dba-085409054b2d	5	34700960	34701084	2	-3.503
c324efb1-cf8d-4f05-8dba-085409054b2d	5	34703258	129533215	55502	-0.2114
c324efb1-cf8d-4f05-8dba-085409054b2d	5	129536139	129538298	2	-2.043
c324efb1-cf8d-4f05-8dba-085409054b2d	5	129539814	166389815	23539	-0.2152
c324efb1-cf8d-4f05-8dba-085409054b2d	5	166392817	166393024	2	-1.8656
c324efb1-cf8d-4f05-8dba-085409054b2d	5	166394330	179678022	9037	-0.2162
c324efb1-cf8d-4f05-8dba-085409054b2d	5	179678136	179678327	4	1.2168
c324efb1-cf8d-4f05-8dba-085409054b2d	5	179681196	181363319	906	-0.2252
c324efb1-cf8d-4f05-8dba-085409054b2d	6	149661	254283	101	-0.1959
c324efb1-cf8d-4f05-8dba-085409054b2d	6	257353	277360	11	-0.9191
c324efb1-cf8d-4f05-8dba-085409054b2d	6	278146	380821	89	-1.7862
c324efb1-cf8d-4f05-8dba-085409054b2d	6	381149	6025978	4648	-0.2151
c324efb1-cf8d-4f05-8dba-085409054b2d	6	6033698	6034203	3	-2.7768
c324efb1-cf8d-4f05-8dba-085409054b2d	6	6036812	29869295	16815	-0.2097
c324efb1-cf8d-4f05-8dba-085409054b2d	6	29869410	29933799	36	0.9841
c324efb1-cf8d-4f05-8dba-085409054b2d	6	29940692	31319445	649	-0.1674
c324efb1-cf8d-4f05-8dba-085409054b2d	6	31319724	31327629	2	2.7413
c324efb1-cf8d-4f05-8dba-085409054b2d	6	31328176	31380423	51	-0.2351
c324efb1-cf8d-4f05-8dba-085409054b2d	6	31380693	31380871	3	1.4574
c324efb1-cf8d-4f05-8dba-085409054b2d	6	31383258	33346316	882	-0.1368
c324efb1-cf8d-4f05-8dba-085409054b2d	6	33356750	57246064	15269	-0.2121
c324efb1-cf8d-4f05-8dba-085409054b2d	6	57248892	66301114	3415	-0.1783
c324efb1-cf8d-4f05-8dba-085409054b2d	6	66301485	66344634	57	0.0771
c324efb1-cf8d-4f05-8dba-085409054b2d	6	66344991	73880782	4995	-0.2018
c324efb1-cf8d-4f05-8dba-085409054b2d	6	73880906	73891694	13	-0.737
c324efb1-cf8d-4f05-8dba-085409054b2d	6	73893839	76307183	1473	-0.2149
c324efb1-cf8d-4f05-8dba-085409054b2d	6	76307194	76307209	2	-1.6847
c324efb1-cf8d-4f05-8dba-085409054b2d	6	76307276	76726815	296	-0.2204
c324efb1-cf8d-4f05-8dba-085409054b2d	6	76730151	76743040	21	0.4066
c324efb1-cf8d-4f05-8dba-085409054b2d	6	76751356	78253172	977	-0.1838
c324efb1-cf8d-4f05-8dba-085409054b2d	6	78259348	78325468	113	-2.7854
c324efb1-cf8d-4f05-8dba-085409054b2d	6	78329517	80575042	1436	-0.2066
c324efb1-cf8d-4f05-8dba-085409054b2d	6	80575241	80579817	27	-1.1117
c324efb1-cf8d-4f05-8dba-085409054b2d	6	80584624	103286954	14020	-0.1975
c324efb1-cf8d-4f05-8dba-085409054b2d	6	103290101	103314186	46	0.6738
c324efb1-cf8d-4f05-8dba-085409054b2d	6	103317795	157358463	34795	-0.2106
c324efb1-cf8d-4f05-8dba-085409054b2d	6	157360232	157375044	3	1.1079
c324efb1-cf8d-4f05-8dba-085409054b2d	6	157375962	170741917	9398	-0.2003
c324efb1-cf8d-4f05-8dba-085409054b2d	7	43355	65765	29	0.7532
c324efb1-cf8d-4f05-8dba-085409054b2d	7	68316	4117015	2055	0.3558
c324efb1-cf8d-4f05-8dba-085409054b2d	7	4118722	4118921	2	-1.1239
c324efb1-cf8d-4f05-8dba-085409054b2d	7	4121739	8256965	2541	0.3529
c324efb1-cf8d-4f05-8dba-085409054b2d	7	8258943	19738449	9411	0.3891
c324efb1-cf8d-4f05-8dba-085409054b2d	7	19738463	38251092	13344	0.3429
c324efb1-cf8d-4f05-8dba-085409054b2d	7	38251113	38368878	133	0.5767
c324efb1-cf8d-4f05-8dba-085409054b2d	7	38370089	53249136	10236	0.3543
c324efb1-cf8d-4f05-8dba-085409054b2d	7	53250694	53251092	2	-1.2504
c324efb1-cf8d-4f05-8dba-085409054b2d	7	53253990	54305455	750	0.3805
c324efb1-cf8d-4f05-8dba-085409054b2d	7	54318812	54318824	6	-1.9862
c324efb1-cf8d-4f05-8dba-085409054b2d	7	54325795	97766148	21834	0.3561
c324efb1-cf8d-4f05-8dba-085409054b2d	7	97766150	97773163	15	-2.3701
c324efb1-cf8d-4f05-8dba-085409054b2d	7	97774928	142063324	26618	0.3503
c324efb1-cf8d-4f05-8dba-085409054b2d	7	142069843	142092108	33	-0.9402
c324efb1-cf8d-4f05-8dba-085409054b2d	7	142092307	144207186	1204	0.3842
c324efb1-cf8d-4f05-8dba-085409054b2d	7	144249785	144264193	7	1.6091
c324efb1-cf8d-4f05-8dba-085409054b2d	7	144295437	153450553	5565	0.3631
c324efb1-cf8d-4f05-8dba-085409054b2d	7	153450560	153450627	2	-3.1771
c324efb1-cf8d-4f05-8dba-085409054b2d	7	153450630	154598185	852	0.3958
c324efb1-cf8d-4f05-8dba-085409054b2d	7	154601461	154607903	4	-2.3746
c324efb1-cf8d-4f05-8dba-085409054b2d	7	154609120	159334314	3236	0.3498
c324efb1-cf8d-4f05-8dba-085409054b2d	8	81254	4048687	3561	0.3615
c324efb1-cf8d-4f05-8dba-085409054b2d	8	4050285	4050928	5	-1.6828
c324efb1-cf8d-4f05-8dba-085409054b2d	8	4052574	5736745	2438	0.3916
c324efb1-cf8d-4f05-8dba-085409054b2d	8	5741204	5746973	27	-0.7591
c324efb1-cf8d-4f05-8dba-085409054b2d	8	5749566	6982775	1613	0.3641
c324efb1-cf8d-4f05-8dba-085409054b2d	8	7001884	7018620	3	1.5307
c324efb1-cf8d-4f05-8dba-085409054b2d	8	7020666	7167045	79	0.3895
c324efb1-cf8d-4f05-8dba-085409054b2d	8	7172468	7312952	7	-0.6606
