GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7adb4f16-f343-4bf1-bed6-00cf07085515	1	62920	259407	14	-0.9045
7adb4f16-f343-4bf1-bed6-00cf07085515	1	259422	462894	5	0.7433
7adb4f16-f343-4bf1-bed6-00cf07085515	1	599171	16679483	8650	0.0024
7adb4f16-f343-4bf1-bed6-00cf07085515	1	16685961	16935302	75	0.2623
7adb4f16-f343-4bf1-bed6-00cf07085515	1	16935393	72345255	33977	0.0024
7adb4f16-f343-4bf1-bed6-00cf07085515	1	72345393	72345465	3	1.4139
7adb4f16-f343-4bf1-bed6-00cf07085515	1	72346221	75585159	1921	0.0153
7adb4f16-f343-4bf1-bed6-00cf07085515	1	75589078	75589169	2	-2.4179
7adb4f16-f343-4bf1-bed6-00cf07085515	1	75593824	105476583	18950	-0.0023
7adb4f16-f343-4bf1-bed6-00cf07085515	1	105476614	105479722	14	0.7826
7adb4f16-f343-4bf1-bed6-00cf07085515	1	105479738	109684893	2619	0.0008
7adb4f16-f343-4bf1-bed6-00cf07085515	1	109690352	109697556	12	1.9979
7adb4f16-f343-4bf1-bed6-00cf07085515	1	109702376	146150530	7420	0.0069
7adb4f16-f343-4bf1-bed6-00cf07085515	1	146161924	146250588	3	-2.9034
7adb4f16-f343-4bf1-bed6-00cf07085515	1	146716041	152583230	2124	-0.0027
7adb4f16-f343-4bf1-bed6-00cf07085515	1	152583291	152613762	30	-1.4542
7adb4f16-f343-4bf1-bed6-00cf07085515	1	152613802	152789447	171	-0.0049
7adb4f16-f343-4bf1-bed6-00cf07085515	1	152789463	152796224	36	-1.7091
7adb4f16-f343-4bf1-bed6-00cf07085515	1	152801429	153699771	622	-0.0136
7adb4f16-f343-4bf1-bed6-00cf07085515	1	153701198	153720772	8	0.5166
7adb4f16-f343-4bf1-bed6-00cf07085515	1	153722864	157508748	1859	0.0063
7adb4f16-f343-4bf1-bed6-00cf07085515	1	157512664	157513157	2	-1.958
7adb4f16-f343-4bf1-bed6-00cf07085515	1	157513483	169247699	8751	0.0025
7adb4f16-f343-4bf1-bed6-00cf07085515	1	169264736	169272528	6	-1.9431
7adb4f16-f343-4bf1-bed6-00cf07085515	1	169273163	174827267	3510	0.0159
7adb4f16-f343-4bf1-bed6-00cf07085515	1	174827418	174832702	16	-0.6656
7adb4f16-f343-4bf1-bed6-00cf07085515	1	174832716	248930189	50355	0.0016
7adb4f16-f343-4bf1-bed6-00cf07085515	2	12784	34427512	24013	0.0051
7adb4f16-f343-4bf1-bed6-00cf07085515	2	34427804	34512489	60	0.4557
7adb4f16-f343-4bf1-bed6-00cf07085515	2	34512965	41011095	4779	-0.0008
7adb4f16-f343-4bf1-bed6-00cf07085515	2	41011303	41024093	23	-0.5029
7adb4f16-f343-4bf1-bed6-00cf07085515	2	41024125	50693734	6917	0.0094
7adb4f16-f343-4bf1-bed6-00cf07085515	2	50694332	50696595	4	-1.4099
7adb4f16-f343-4bf1-bed6-00cf07085515	2	50696712	128880504	43993	0.0048
7adb4f16-f343-4bf1-bed6-00cf07085515	2	128880904	128882741	15	-0.6874
7adb4f16-f343-4bf1-bed6-00cf07085515	2	128882755	146106875	10381	0.0045
7adb4f16-f343-4bf1-bed6-00cf07085515	2	146106889	146109366	21	-1.6589
7adb4f16-f343-4bf1-bed6-00cf07085515	2	146120238	242147305	58851	0.005
7adb4f16-f343-4bf1-bed6-00cf07085515	3	20930	5493206	4810	-0.0031
