GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a397a68c-21d7-45a0-b523-75e0c289f641	1	62920	969227	67	-0.085
a397a68c-21d7-45a0-b523-75e0c289f641	1	983193	3259896	654	-0.2739
a397a68c-21d7-45a0-b523-75e0c289f641	1	3260916	16037445	7696	-0.1777
a397a68c-21d7-45a0-b523-75e0c289f641	1	16041908	16042482	2	-3.2214
a397a68c-21d7-45a0-b523-75e0c289f641	1	16047835	16542868	210	-0.1653
a397a68c-21d7-45a0-b523-75e0c289f641	1	16544783	16637228	17	-0.4814
a397a68c-21d7-45a0-b523-75e0c289f641	1	16641630	16641879	5	0.1317
a397a68c-21d7-45a0-b523-75e0c289f641	1	16641978	16643864	6	-0.3608
a397a68c-21d7-45a0-b523-75e0c289f641	1	16643897	16679483	5	0.0339
a397a68c-21d7-45a0-b523-75e0c289f641	1	16685961	16721984	9	-0.8051
a397a68c-21d7-45a0-b523-75e0c289f641	1	16766762	16864367	16	-0.1532
a397a68c-21d7-45a0-b523-75e0c289f641	1	16868660	16898872	13	-0.7372
a397a68c-21d7-45a0-b523-75e0c289f641	1	16899035	16909189	3	0.088
a397a68c-21d7-45a0-b523-75e0c289f641	1	16909203	16956580	41	-0.6928
a397a68c-21d7-45a0-b523-75e0c289f641	1	16958425	21361264	2969	-0.1758
a397a68c-21d7-45a0-b523-75e0c289f641	1	21361361	21361441	2	-1.5292
a397a68c-21d7-45a0-b523-75e0c289f641	1	21361648	22175223	465	-0.1917
a397a68c-21d7-45a0-b523-75e0c289f641	1	22177283	22177779	2	-1.7297
a397a68c-21d7-45a0-b523-75e0c289f641	1	22180930	25244778	1806	-0.1738
a397a68c-21d7-45a0-b523-75e0c289f641	1	25247980	25320455	31	-0.6334
a397a68c-21d7-45a0-b523-75e0c289f641	1	25336819	29745789	1959	-0.1644
a397a68c-21d7-45a0-b523-75e0c289f641	1	29746577	29748056	2	-1.6159
a397a68c-21d7-45a0-b523-75e0c289f641	1	29748214	32435247	1619	-0.1812
a397a68c-21d7-45a0-b523-75e0c289f641	1	32435639	32440206	3	-1.3857
a397a68c-21d7-45a0-b523-75e0c289f641	1	32449043	34637053	1362	-0.1668
a397a68c-21d7-45a0-b523-75e0c289f641	1	34637069	34648667	20	-0.6241
a397a68c-21d7-45a0-b523-75e0c289f641	1	34649941	36300311	738	-0.1719
a397a68c-21d7-45a0-b523-75e0c289f641	1	36300537	40555364	2445	0.0024
a397a68c-21d7-45a0-b523-75e0c289f641	1	40556404	40562538	4	-1.3473
a397a68c-21d7-45a0-b523-75e0c289f641	1	40563254	61647430	13270	0.0068
a397a68c-21d7-45a0-b523-75e0c289f641	1	61648334	61649279	2	-2.3669
a397a68c-21d7-45a0-b523-75e0c289f641	1	61652515	72297687	7296	-0.0018
a397a68c-21d7-45a0-b523-75e0c289f641	1	72302735	72345465	48	-1.8733
a397a68c-21d7-45a0-b523-75e0c289f641	1	72346221	74725098	1448	0.0057
a397a68c-21d7-45a0-b523-75e0c289f641	1	74727351	74733606	3	-1.1879
a397a68c-21d7-45a0-b523-75e0c289f641	1	74734100	75585159	481	0.004
a397a68c-21d7-45a0-b523-75e0c289f641	1	75589078	75589169	2	-2.9702
a397a68c-21d7-45a0-b523-75e0c289f641	1	75593824	112147704	23622	0.0074
a397a68c-21d7-45a0-b523-75e0c289f641	1	112153343	112154768	25	-2.2338
a397a68c-21d7-45a0-b523-75e0c289f641	1	112163334	121705338	5159	0.0045
a397a68c-21d7-45a0-b523-75e0c289f641	1	143459641	143748012	98	-0.8432
a397a68c-21d7-45a0-b523-75e0c289f641	1	143748074	143751676	11	0.1995
a397a68c-21d7-45a0-b523-75e0c289f641	1	143751730	144442342	24	-0.324
a397a68c-21d7-45a0-b523-75e0c289f641	1	144445555	152583051	2308	0.1544
a397a68c-21d7-45a0-b523-75e0c289f641	1	152583230	152613762	31	-2.4585
a397a68c-21d7-45a0-b523-75e0c289f641	1	152613802	152614118	4	-0.961
a397a68c-21d7-45a0-b523-75e0c289f641	1	152618018	152787202	167	0.1798
a397a68c-21d7-45a0-b523-75e0c289f641	1	152789447	152796224	37	-1.9465
a397a68c-21d7-45a0-b523-75e0c289f641	1	152801429	185444970	22013	0.1622
a397a68c-21d7-45a0-b523-75e0c289f641	1	185447538	185447580	2	-1.1706
a397a68c-21d7-45a0-b523-75e0c289f641	1	185451592	193186662	5046	0.1611
a397a68c-21d7-45a0-b523-75e0c289f641	1	193187149	193187202	3	-1.4399
a397a68c-21d7-45a0-b523-75e0c289f641	1	193187218	194479104	944	0.155
a397a68c-21d7-45a0-b523-75e0c289f641	1	194482281	194485888	2	1.4662
a397a68c-21d7-45a0-b523-75e0c289f641	1	194487886	196745743	1449	0.1741
a397a68c-21d7-45a0-b523-75e0c289f641	1	196758720	196832720	58	0.557
a397a68c-21d7-45a0-b523-75e0c289f641	1	196843377	199138574	1378	0.1619
a397a68c-21d7-45a0-b523-75e0c289f641	1	199142235	199144712	9	0.9529
a397a68c-21d7-45a0-b523-75e0c289f641	1	199145110	204229134	3385	0.1623
a397a68c-21d7-45a0-b523-75e0c289f641	1	204230882	204231132	2	-1.3335
a397a68c-21d7-45a0-b523-75e0c289f641	1	204232147	209897717	4018	0.1657
a397a68c-21d7-45a0-b523-75e0c289f641	1	209908268	209908720	2	-2.3949
a397a68c-21d7-45a0-b523-75e0c289f641	1	209910639	248574146	26854	0.1614
a397a68c-21d7-45a0-b523-75e0c289f641	1	248585893	248626987	28	0.6935
a397a68c-21d7-45a0-b523-75e0c289f641	1	248631163	248930189	144	0.1452
a397a68c-21d7-45a0-b523-75e0c289f641	2	12784	30392017	21399	0.0044
a397a68c-21d7-45a0-b523-75e0c289f641	2	30392785	30404788	9	-1.171
a397a68c-21d7-45a0-b523-75e0c289f641	2	30407010	34466002	2669	0.0095
a397a68c-21d7-45a0-b523-75e0c289f641	2	34474248	34512096	47	-0.6538
a397a68c-21d7-45a0-b523-75e0c289f641	2	34512489	35750907	871	0.022
a397a68c-21d7-45a0-b523-75e0c289f641	2	35752724	35762850	6	-1.9074
a397a68c-21d7-45a0-b523-75e0c289f641	2	35762881	52527423	12125	0.012
a397a68c-21d7-45a0-b523-75e0c289f641	2	52527590	52527743	3	-2.5893
a397a68c-21d7-45a0-b523-75e0c289f641	2	52531615	97359885	23871	0.0062
a397a68c-21d7-45a0-b523-75e0c289f641	2	97524284	97545247	8	-1.5758
a397a68c-21d7-45a0-b523-75e0c289f641	2	97545726	106263639	5563	0.004
a397a68c-21d7-45a0-b523-75e0c289f641	2	106264257	106268901	11	0.9505
a397a68c-21d7-45a0-b523-75e0c289f641	2	106270799	207490231	60815	0.0041
a397a68c-21d7-45a0-b523-75e0c289f641	2	207490454	207494612	16	-1.048
a397a68c-21d7-45a0-b523-75e0c289f641	2	207494752	208041155	296	-0.0003
a397a68c-21d7-45a0-b523-75e0c289f641	2	208044458	208045294	7	-0.8911
