GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	62920	98588	12	-0.738
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	98602	1719488	206	0.0133
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	1720956	1731499	2	-1.4045
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	1731897	15035860	7608	0.0146
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	15036048	15039744	2	-1.1567
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	15040194	16679483	847	0.0118
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	16685961	16971203	88	0.3195
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	16972001	25256850	5253	0.0197
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	25266637	25320455	24	-1.8323
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	25336819	28223937	1232	0.0198
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	28226080	28226601	2	-1.234
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	28228915	40323289	6799	0.0104
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	40325006	40326906	2	1.4195
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	40329956	55025942	8296	0.0133
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	55030071	55030503	5	-0.8848
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	55031629	61648509	5103	0.0155
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	61649279	61652515	2	-3.34
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	61654137	72302735	7295	0.0154
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	72302815	72345465	47	0.5715
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	72346221	89009572	10936	0.0134
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	89012275	89012522	2	-2.923
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	89015841	99190064	6306	0.0176
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	99192790	99192804	2	-1.2265
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	99193049	99904217	523	0.0159
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	99906499	99906514	2	-1.344
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	99906686	109679105	5827	0.0136
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	109684695	109697556	15	1.2804
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	109702376	112153343	1951	0.0089
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	112153465	112154754	23	0.3515
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	112154768	143734438	5262	0.015
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	143748012	143760271	21	0.5191
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	143762042	152583051	2322	0.0204
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	152583230	152614118	35	-1.5891
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	152618018	152778761	158	0.053
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	152782154	152796224	45	-0.3306
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	152801429	153699771	624	0.0173
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	153701198	153715580	6	0.8735
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	153719014	161647641	4632	0.0138
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	161647657	161649268	8	-0.6056
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	161678447	169247699	6007	0.013
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	169264736	169272528	7	-2.0501
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	169273163	196745743	18169	0.0133
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	196758720	196847600	62	0.3438
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	196854187	199142298	1376	0.0164
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	199142393	199144712	7	-0.7886
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	199145110	237602770	26465	0.0172
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	237603453	237609695	3	-1.3219
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	237610040	248574146	7783	0.0214
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	248585893	248633912	32	-0.4882
9a644711-3d2a-4f3f-ab65-b6b0560a9357	1	248645563	248930189	141	0.0059
9a644711-3d2a-4f3f-ab65-b6b0560a9357	2	12784	41011095	28936	0.0123
9a644711-3d2a-4f3f-ab65-b6b0560a9357	2	41011303	41018747	22	-0.7554
9a644711-3d2a-4f3f-ab65-b6b0560a9357	2	41024093	46765452	4321	0.0126
9a644711-3d2a-4f3f-ab65-b6b0560a9357	2	46770296	46771278	3	-1.0036
9a644711-3d2a-4f3f-ab65-b6b0560a9357	2	46775979	52527743	3862	0.0159
9a644711-3d2a-4f3f-ab65-b6b0560a9357	2	52531615	52554384	32	-0.5301
