GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
15991668-8ff0-41d4-abdd-55854a33b7e5	1	62920	16480729	8628	-0.0191
15991668-8ff0-41d4-abdd-55854a33b7e5	1	16482199	16679281	45	-0.2847
15991668-8ff0-41d4-abdd-55854a33b7e5	1	16679483	34622883	10299	-0.0179
15991668-8ff0-41d4-abdd-55854a33b7e5	1	34625857	34638890	24	-0.5146
15991668-8ff0-41d4-abdd-55854a33b7e5	1	34648667	62186114	16874	-0.0192
15991668-8ff0-41d4-abdd-55854a33b7e5	1	62190512	62190838	2	-1.7248
15991668-8ff0-41d4-abdd-55854a33b7e5	1	62196120	75585159	8848	-0.0265
15991668-8ff0-41d4-abdd-55854a33b7e5	1	75589078	75589169	2	-2.3013
15991668-8ff0-41d4-abdd-55854a33b7e5	1	75593824	103613021	18076	-0.0326
15991668-8ff0-41d4-abdd-55854a33b7e5	1	103613109	103760781	15	-0.8556
15991668-8ff0-41d4-abdd-55854a33b7e5	1	103760879	105470132	915	-0.0331
15991668-8ff0-41d4-abdd-55854a33b7e5	1	105470754	105479738	17	0.5415
15991668-8ff0-41d4-abdd-55854a33b7e5	1	105479753	109679105	2632	-0.0193
15991668-8ff0-41d4-abdd-55854a33b7e5	1	109684695	109697556	15	-0.6626
15991668-8ff0-41d4-abdd-55854a33b7e5	1	109702376	109707968	8	-0.2069
15991668-8ff0-41d4-abdd-55854a33b7e5	1	109708520	109819060	77	0.0074
15991668-8ff0-41d4-abdd-55854a33b7e5	1	109819099	109820397	2	-1.1679
15991668-8ff0-41d4-abdd-55854a33b7e5	1	109821314	110833598	748	-0.003
15991668-8ff0-41d4-abdd-55854a33b7e5	1	110834746	110845604	39	-0.5915
15991668-8ff0-41d4-abdd-55854a33b7e5	1	110849445	112147626	1074	-0.0301
15991668-8ff0-41d4-abdd-55854a33b7e5	1	112147704	112154591	23	0.5093
15991668-8ff0-41d4-abdd-55854a33b7e5	1	112154619	152583230	7602	-0.023
15991668-8ff0-41d4-abdd-55854a33b7e5	1	152583291	152613762	30	-1.8154
15991668-8ff0-41d4-abdd-55854a33b7e5	1	152613802	152789781	175	-0.0233
15991668-8ff0-41d4-abdd-55854a33b7e5	1	152789809	152796224	31	0.5542
15991668-8ff0-41d4-abdd-55854a33b7e5	1	152801429	196758720	29452	-0.0256
15991668-8ff0-41d4-abdd-55854a33b7e5	1	196761905	196832298	54	-0.5081
15991668-8ff0-41d4-abdd-55854a33b7e5	1	196832312	227237600	20449	-0.0273
15991668-8ff0-41d4-abdd-55854a33b7e5	1	227238371	227238705	3	-1.42
15991668-8ff0-41d4-abdd-55854a33b7e5	1	227241477	229675422	1376	-0.0368
15991668-8ff0-41d4-abdd-55854a33b7e5	1	229681109	229684449	3	-2.3665
15991668-8ff0-41d4-abdd-55854a33b7e5	1	229684709	248550567	13795	-0.0285
15991668-8ff0-41d4-abdd-55854a33b7e5	1	248572774	248633821	33	-0.4442
15991668-8ff0-41d4-abdd-55854a33b7e5	1	248633912	248930189	141	0.0173
15991668-8ff0-41d4-abdd-55854a33b7e5	2	12784	27216883	19344	-0.0436
15991668-8ff0-41d4-abdd-55854a33b7e5	2	27218434	27218632	3	-1.3214
15991668-8ff0-41d4-abdd-55854a33b7e5	2	27219036	34476327	4732	-0.0381
15991668-8ff0-41d4-abdd-55854a33b7e5	2	34476516	34512096	45	-0.3428
15991668-8ff0-41d4-abdd-55854a33b7e5	2	34512489	52527743	12999	-0.0323
15991668-8ff0-41d4-abdd-55854a33b7e5	2	52531615	52554404	33	0.6151
15991668-8ff0-41d4-abdd-55854a33b7e5	2	52560811	97211069	23819	-0.0414
15991668-8ff0-41d4-abdd-55854a33b7e5	2	97211264	106258266	5587	0.2717
15991668-8ff0-41d4-abdd-55854a33b7e5	2	106263639	106266890	7	-0.4072
15991668-8ff0-41d4-abdd-55854a33b7e5	2	106266905	107824280	997	0.2733
15991668-8ff0-41d4-abdd-55854a33b7e5	2	107830513	107864451	2	-1.0788
15991668-8ff0-41d4-abdd-55854a33b7e5	2	107875632	130036283	13280	0.2791
15991668-8ff0-41d4-abdd-55854a33b7e5	2	130036310	130116915	13	-0.5337
15991668-8ff0-41d4-abdd-55854a33b7e5	2	130117303	140677504	6198	0.2675
15991668-8ff0-41d4-abdd-55854a33b7e5	2	140682144	140682243	2	-1.114
15991668-8ff0-41d4-abdd-55854a33b7e5	2	140682269	146104517	3324	0.2611
15991668-8ff0-41d4-abdd-55854a33b7e5	2	146106836	146109366	24	-1.696
15991668-8ff0-41d4-abdd-55854a33b7e5	2	146120238	150172420	2264	0.2634
15991668-8ff0-41d4-abdd-55854a33b7e5	2	150174288	150181218	6	-0.7972
15991668-8ff0-41d4-abdd-55854a33b7e5	2	150182694	229022287	48673	0.2599
15991668-8ff0-41d4-abdd-55854a33b7e5	2	229022843	241234947	7758	0.2843
15991668-8ff0-41d4-abdd-55854a33b7e5	2	241237291	242147305	355	0.2323
15991668-8ff0-41d4-abdd-55854a33b7e5	3	20930	68697013	47771	-0.0264
15991668-8ff0-41d4-abdd-55854a33b7e5	3	68697108	68698262	14	0.9782
15991668-8ff0-41d4-abdd-55854a33b7e5	3	68699607	99218119	15899	-0.0361
15991668-8ff0-41d4-abdd-55854a33b7e5	3	99218940	99232539	41	-0.6127
15991668-8ff0-41d4-abdd-55854a33b7e5	3	99232990	149245189	30626	-0.0356
15991668-8ff0-41d4-abdd-55854a33b7e5	3	149245608	149250334	25	-0.7463
15991668-8ff0-41d4-abdd-55854a33b7e5	3	149253293	162815162	8350	-0.0388
15991668-8ff0-41d4-abdd-55854a33b7e5	3	162816942	162822702	6	-1.817
15991668-8ff0-41d4-abdd-55854a33b7e5	3	162827928	193156958	19202	-0.0357
15991668-8ff0-41d4-abdd-55854a33b7e5	3	193160113	193165114	20	1.0475
15991668-8ff0-41d4-abdd-55854a33b7e5	3	193168646	198169247	2694	-0.0274
15991668-8ff0-41d4-abdd-55854a33b7e5	4	68929	10208766	5703	-0.0231
15991668-8ff0-41d4-abdd-55854a33b7e5	4	10212536	10232642	31	-1.9871
15991668-8ff0-41d4-abdd-55854a33b7e5	4	10232984	15983430	4554	-0.0301
15991668-8ff0-41d4-abdd-55854a33b7e5	4	15983831	15985025	2	-1.3643
15991668-8ff0-41d4-abdd-55854a33b7e5	4	15986874	34777353	12413	-0.0371
15991668-8ff0-41d4-abdd-55854a33b7e5	4	34777382	34828291	44	0.3054
15991668-8ff0-41d4-abdd-55854a33b7e5	4	34828306	68354665	19424	-0.0354
15991668-8ff0-41d4-abdd-55854a33b7e5	4	68361130	68618331	85	-0.3659
15991668-8ff0-41d4-abdd-55854a33b7e5	4	68618369	190106768	74822	-0.0395
15991668-8ff0-41d4-abdd-55854a33b7e5	5	15532	698256	306	0.0052
15991668-8ff0-41d4-abdd-55854a33b7e5	5	698357	800724	28	-0.3683
15991668-8ff0-41d4-abdd-55854a33b7e5	5	801456	7169363	5382	-0.0278
15991668-8ff0-41d4-abdd-55854a33b7e5	5	7177225	7189812	26	-0.817
15991668-8ff0-41d4-abdd-55854a33b7e5	5	7202522	21449167	9961	-0.0314
15991668-8ff0-41d4-abdd-55854a33b7e5	5	21451091	21451889	4	-1.7454
15991668-8ff0-41d4-abdd-55854a33b7e5	5	21452329	82122944	34254	-0.0383
15991668-8ff0-41d4-abdd-55854a33b7e5	5	82123459	82131663	3	-1.7393
15991668-8ff0-41d4-abdd-55854a33b7e5	5	82132219	177771448	60866	-0.0365
15991668-8ff0-41d4-abdd-55854a33b7e5	5	177800550	177805604	3	2.1229
15991668-8ff0-41d4-abdd-55854a33b7e5	5	177827964	181363319	1985	-0.0248
15991668-8ff0-41d4-abdd-55854a33b7e5	6	149661	14838212	11647	-0.0342
15991668-8ff0-41d4-abdd-55854a33b7e5	6	14839819	14840206	2	-2.3256
15991668-8ff0-41d4-abdd-55854a33b7e5	6	14841727	31261685	10619	-0.0403
15991668-8ff0-41d4-abdd-55854a33b7e5	6	31261775	31366700	72	0.2241
15991668-8ff0-41d4-abdd-55854a33b7e5	6	31367168	32463515	484	-0.0151
15991668-8ff0-41d4-abdd-55854a33b7e5	6	32463775	32606604	39	1.2221
15991668-8ff0-41d4-abdd-55854a33b7e5	6	32610305	32722250	71	0.2509
15991668-8ff0-41d4-abdd-55854a33b7e5	6	32723020	32723053	3	2.67
15991668-8ff0-41d4-abdd-55854a33b7e5	6	32732907	54066582	13646	-0.0371
15991668-8ff0-41d4-abdd-55854a33b7e5	6	54066621	54067057	3	1.6974
15991668-8ff0-41d4-abdd-55854a33b7e5	6	54070550	66328153	5363	-0.0476
15991668-8ff0-41d4-abdd-55854a33b7e5	6	66331020	66333299	7	-1.4006
15991668-8ff0-41d4-abdd-55854a33b7e5	6	66333342	73882509	5013	-0.041
15991668-8ff0-41d4-abdd-55854a33b7e5	6	73882741	73891694	9	-2.4414
15991668-8ff0-41d4-abdd-55854a33b7e5	6	73893839	78253172	2764	-0.0462
15991668-8ff0-41d4-abdd-55854a33b7e5	6	78259348	78325468	112	-1.0538
