GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	62920	82170	5	0.5559
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	82315	2536604	482	-0.0002
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	2536626	16488499	8143	-0.0751
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	16489035	16679281	42	0.1524
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	16679483	16719266	7	-0.5689
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	16721701	16868660	20	0.0622
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	16877002	16958425	57	-0.3493
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	16959715	21378885	2985	-0.0837
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	21378959	21378982	2	-1.5894
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	21380362	25266637	2268	-0.0838
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	25269390	25319167	19	0.6256
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	25319693	34622883	4949	-0.0712
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	34625857	34649941	26	0.3022
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	34650960	72290459	23730	-0.0631
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	72290491	72345255	52	0.2374
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	72345393	75585159	1929	-0.042
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	75589078	75589169	2	-3.3017
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	75593824	83659601	5329	-0.0516
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	83660647	83661409	3	-1.1608
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	83666331	85784211	1483	-0.0588
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	85784228	85785989	2	-1.2303
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	85786153	103560166	11214	-0.0551
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	103560435	103760781	35	0.7315
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	103760879	105470754	912	-0.0477
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	105476583	105479753	17	0.5399
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	105481433	108201269	1941	-0.0524
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	108201890	108274557	14	0.3788
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	108310648	109684893	675	-0.0568
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	109690352	109691788	8	-0.6674
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	109691933	112147704	1952	-0.0436
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	112153343	112154768	25	0.4536
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	112163334	119758152	4877	-0.057
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	119762883	119762902	2	-1.2456
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	119763366	121556564	257	-0.0254
4a5882ff-cc3d-4cf8-a5aa-679ef3a32755	1	121558757	144442092	146	0.1419
