GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	62920	3087793	652	-0.0108
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	3093405	3094022	2	-1.8695
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	3109148	72302735	42067	-0.035
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	72302815	72345465	47	-1.2058
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	72346221	112147704	25547	-0.0397
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	112153343	112154591	22	-0.578
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	112154619	143713930	5255	-0.0378
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	143714499	143760271	25	0.3459
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	143762042	152582700	2320	-0.0264
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	152583051	152614100	35	-1.154
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	152614118	152787202	167	-0.0668
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	152789447	152796224	37	-1.4494
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	152801429	164852545	7755	-0.0396
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	164853962	164855770	2	-1.4696
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	164857517	169247699	3508	-0.0409
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	169264736	169272528	7	-2.5043
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	169273163	188735948	12828	-0.0385
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	188736626	188737539	2	-1.7932
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	188740318	194479104	3873	-0.0359
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	194482281	194485888	2	-1.6692
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	194487886	196758720	1451	-0.0394
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	196761905	196832312	55	0.2554
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	196832525	209897717	8774	-0.035
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	209908268	209910639	3	1.1255
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	209913207	220588265	7432	-0.0407
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	220589182	220592537	3	-1.5795
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	220602179	245258894	17187	-0.0365
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	245259275	245259486	2	-1.6235
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	245259539	246768490	1095	-0.0362
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	246768522	246768556	2	-1.5722
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	246768623	248550567	1091	-0.0119
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	248572774	248633821	33	-0.6247
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	1	248633912	248930189	142	-0.0378
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	12784	4168879	2988	-0.0177
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	4169315	4176429	36	0.3041
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	4182472	27216883	16311	-0.0254
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	27218434	27218632	3	-1.1441
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	27219036	34466002	4728	-0.0185
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	34474248	34512096	47	0.5741
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	34512489	52527727	12998	-0.0233
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	52527743	52554236	28	-0.5166
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	52554259	88836615	22571	-0.0254
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	88836630	97819465	1384	0.021
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	97822371	106265083	5444	-0.0269
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	106265177	106268901	9	0.7338
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	106270799	107191071	599	-0.0313
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	107191287	109499652	1417	0.027
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	109504103	117465774	4109	-0.0209
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	117466188	117468375	5	-0.8898
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	117470941	122718842	3345	-0.0281
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	122719438	122724665	9	-0.84
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	122726077	128880504	3886	-0.0227
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	128880904	128882755	16	-0.5231
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	128888874	150174288	12685	-0.0264
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	150174937	150181218	5	-1.2277
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	150182694	176945671	16639	-0.0341
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	176948605	177525790	343	0.2545
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	177526050	183220725	3584	-0.0294
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	183221060	183222940	6	-1.0282
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	183223386	241841244	36048	-0.0243
40d44ad7-21d1-4e5b-9f4e-5a46363e6cf4	2	241973315	242092368	104	-0.7659
