GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	62920	668210	21	0.0521
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	771719	3410905	791	-0.2265
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	3417031	16605031	7825	-0.118
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	16609512	16855942	50	0.143
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	16863509	25276440	5318	-0.1157
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	25277975	25284961	4	-1.847
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	25289805	53968937	15627	-0.1187
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	53969370	53974555	3	-1.4478
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	53982416	54300633	200	-0.1309
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	54304194	54304751	2	-1.6087
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	54304768	65432064	8402	-0.1008
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	65432186	65432268	2	-1.5056
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	65432318	65904181	338	-0.1182
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	65904433	65907223	6	-0.747
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	65909986	72302735	4153	-0.1104
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	72302815	72343689	41	0.1719
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	72343748	89009572	10933	-0.1022
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	89012275	89012522	2	-3.1858
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	89015841	103616762	9083	-0.1138
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	103620877	103717410	5	-1.8234
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	103717617	104497098	414	-0.1045
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	104503262	104508392	4	-1.0519
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	104512295	105476583	502	-0.0947
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	105476614	105479753	16	-2.1704
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	105481433	109684893	2632	-0.1091
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	109690352	109702376	14	-1.0414
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	109703504	146161924	7440	-0.1154
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	146174153	146250588	2	-3.767
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	146716041	152789447	2331	-0.1186
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	152789463	152796224	36	-0.631
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	152801429	169247699	11272	-0.1118
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	169264736	169272528	7	-0.8868
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	169273163	196745743	18172	-0.1089
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	196758720	196762956	4	0.8563
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	196769493	196788675	27	-0.0523
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	196788723	196843377	28	0.2185
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	196843400	229675422	21819	-0.1114
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	229681109	229684449	3	-3.5033
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	229684709	243690894	10604	-0.1104
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	243697622	243697759	5	-1.4245
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	1	243699806	248930189	3357	-0.1126
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	12784	776552	540	0.2554
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	776693	777471	2	-1.8978
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	778704	4158097	2446	0.2531
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	4166274	4175577	36	-0.7887
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	4175922	34466002	21058	0.2685
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	34474248	34502800	44	-0.0828
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	34511446	41172185	4937	0.278
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	41172765	41395107	173	0.4012
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	41395506	50344593	6361	0.262
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	50349090	51143808	599	0.3394
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	51148343	52527330	938	0.2814
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	52527342	52554404	39	0.7947
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	52560811	78473831	16762	0.2634
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	78474950	78498405	15	-0.5286
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	78500405	82047492	2464	0.2884
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	82049073	82086888	20	0.6113
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	82087496	86821579	2690	0.2665
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	86824177	128880504	20863	0.1744
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	128880904	128882723	14	-0.5853
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	128882741	130526595	988	0.1525
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	130539652	130560478	3	-0.9872
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	130720375	140677504	6098	0.1715
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	140682144	140682243	2	-1.14
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	140682269	146106861	3327	0.1648
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	146106875	146109366	22	1.294
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	146120238	179553661	20502	0.1627
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	179553763	179557161	24	-0.7324
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	179557179	183220725	2321	0.1651
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	183221060	183224417	8	-0.7151
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	183224996	194755786	6507	0.1768
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	194758953	195351205	356	0.2709
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	2	195352602	242147305	29341	0.1666
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	20930	6604856	5814	0.3147
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	6609441	6611645	23	-0.9247
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	6613391	35756418	20260	0.282
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	35759275	35905882	85	0.4744
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	35907150	37935926	1442	0.2806
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	37940617	37945437	18	-1.2521
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	37945615	52989195	8077	0.271
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	52994359	53007328	44	-0.2579
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	53007467	55752512	2084	0.2848
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	55756001	55756736	2	-1.0217
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	55761498	59505692	2240	0.2732
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	59505753	61019591	1665	0.3572
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	61025737	68697013	6034	0.2852
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	68697108	68698262	14	3.2299
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	68699607	80617640	7816	0.2822
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	80624897	80637474	9	-0.9434
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	80643527	83915951	1722	0.2905
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	83916314	83921137	6	-1.1265
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	83932025	114936935	15848	0.2829
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	114941745	114942097	6	-1.1731
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	114950103	140552987	15815	0.2786
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	140559887	140560160	4	-1.0333
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	140563242	143566923	1822	0.2795
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	143566958	143567132	4	1.2747
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	143567959	144621751	697	0.2744
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	144621773	144675803	36	0.5246
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	144675833	146661402	1291	0.2822
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	146665207	146668345	4	2.1068
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	146674197	147817499	611	0.3533
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	147819332	161677039	8499	0.2781
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	161678020	162795361	761	0.3162
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	162795671	162812527	10	0.5929
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	162813082	162822702	8	-1.0189
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	162827928	175378757	7730	0.292
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	175379493	176023677	391	0.3731
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	176029158	193156958	11099	0.2825
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	193160113	193165114	20	-0.8043
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	193168646	194913859	1159	0.2774
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	194920587	194921116	5	-0.5766
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	194921751	194939881	21	0.2902
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	194941224	194948867	2	-1.0551
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	194952897	195685341	300	0.2668
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	195691392	195720051	20	0.8205
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	3	195728637	198169247	1182	0.2573
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	68929	5319207	2527	-0.1285
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	5321568	5323715	6	-1.2063
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	5328588	5618788	276	-0.1086
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	5620093	5620315	2	-2.0336
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	5624920	10208766	2883	-0.116
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	10221792	10232642	30	-2.081
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	10232984	10497588	261	-0.1136
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	10500710	10502128	5	-0.906
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	10505085	34786399	16716	-0.1054
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	34788894	34823103	32	0.2663
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	34828250	39750291	3358	-0.117
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	39757984	39810399	23	0.327
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	39816535	63280986	12861	-0.1024
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	63281375	63286195	3	-1.2161
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	63288849	63831891	312	-0.0897
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	63832015	63842540	24	-0.5224
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	63850713	68418873	2858	-0.1024
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	68422420	68422424	3	1.004
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	68429081	68478894	9	-0.1063
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	68494770	68620261	68	-1.7952
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	68623617	68746789	21	-0.2021
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	68747216	69414814	371	-0.0041
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	69415349	114252544	27301	-0.1118
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	114254167	114261019	23	0.7842
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	114263073	137171085	13236	-0.1038
fa3aa5ac-f70a-49d2-82f0-5075aa5b2461	4	137171266	137172260	13	-0.8852
