GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	62920	8823459	4403	-0.555
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	8830735	12822696	2114	0.086
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	12823233	13110913	12	0.7232
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	13114062	15822848	1814	0.1038
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	15823420	15828515	11	0.6802
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	15839166	15910290	31	0.0717
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	15911167	16909357	343	-0.5291
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	16909373	16934716	28	-1.1479
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	16934753	25219106	5257	-0.5437
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	25223246	25256800	15	-1.043
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	25256850	25354292	33	0.0679
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	25359224	30957585	2912	-0.5604
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	30958329	34626073	2033	0.0976
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	34637053	34638890	20	-0.7081
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	34648667	72297687	23778	0.0824
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	72302735	72345465	48	1.2727
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	72346221	110792420	24440	0.0683
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	110796338	110860873	92	0.2923
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	110860935	112153571	1056	0.0821
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	112153651	112154619	20	0.9785
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	112154754	119744791	4873	0.0862
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	119745840	119752645	12	-0.4991
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	119754672	152583051	2725	0.0723
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	152583230	152613762	31	4.5544
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	152613802	189114902	24573	0.0717
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	189115234	189116241	5	-1.9499
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	189116278	189117869	7	-0.6504
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	189120286	189128018	16	-0.0074
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	189128037	189129685	9	-0.9743
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	189129888	189300100	89	0.0788
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	189301309	189307859	5	-0.6415
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	189308148	189447191	85	0.1654
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	189448449	189463694	11	-0.8113
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	189468293	193186662	2492	0.0687
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	193187149	193187218	4	1.8752
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	193190593	194479104	943	0.0627
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	194482281	194485888	2	2.0371
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	194487886	196745743	1452	0.0682
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	196758720	196843377	59	-0.6364
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	196843400	246204669	34237	0.0702
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	246206297	246219668	14	-1.0624
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	246221612	248546369	1411	0.0548
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	248550567	248645808	37	-0.7924
a28c2e97-79d6-4e2e-a879-85a521ae89b6	1	248646068	248930189	139	0.0472
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	12784	29418334	20662	0.0747
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	29419008	29423558	12	-0.6751
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	29425689	34474248	3431	0.0798
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	34476327	34502547	40	0.683
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	34502718	35750907	877	0.0721
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	35752724	35762850	6	1.2137
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	35762881	41011095	3929	0.0568
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	41011303	41018747	22	-2.6575
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	41024093	52509476	8170	0.0683
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	52509498	52554404	52	0.4905
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	52560811	86710564	21933	0.0718
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	86725947	86726731	2	-2.6797
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	86743283	87211079	106	0.0009
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	87218694	87218834	2	-3.0478
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	87221597	97181113	1791	0.0721
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	97181150	97211436	18	-0.9644
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	97310327	97359885	13	0.1513
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	97524284	97545247	8	1.065
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	97545726	106263639	5572	0.0746
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	106264257	106268901	11	-2.5774
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	106270799	107817583	988	0.0836
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	107819855	107903920	13	0.7247
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	107909583	108156111	209	0.0819
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	108161015	108161117	2	-2.5694
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	108163275	113604438	2575	0.0688
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	113604837	113604839	2	-2.3012
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	113623244	117019180	2074	0.0664
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	117021263	117021749	2	-1.4285
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	117028005	128880504	7533	0.0685
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	128880904	128882741	15	0.6065
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	128882755	130036283	876	0.094
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	130036310	130116915	13	-0.6066
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	130117303	131974077	617	0.0666
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	131985208	132051740	26	-0.4491
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	132055162	146104517	8890	0.0587
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	146106836	146109366	24	0.7763
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	146120238	188703060	25930	0.0607
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	188703229	188715812	26	-0.5686
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	188715816	202428368	7860	0.0525
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	202431052	202448774	43	-0.6605
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	202448792	232862772	19309	0.0601
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	232865754	232866343	2	-2.0319
a28c2e97-79d6-4e2e-a879-85a521ae89b6	2	232866534	242147305	5931	0.0837
a28c2e97-79d6-4e2e-a879-85a521ae89b6	3	20930	182919	154	-0.0053
a28c2e97-79d6-4e2e-a879-85a521ae89b6	3	188339	190956	3	-3.9253
a28c2e97-79d6-4e2e-a879-85a521ae89b6	3	191117	46751887	33049	0.0605
a28c2e97-79d6-4e2e-a879-85a521ae89b6	3	46760327	46808099	41	-3.2705
a28c2e97-79d6-4e2e-a879-85a521ae89b6	3	46817989	68682877	14572	0.0694
a28c2e97-79d6-4e2e-a879-85a521ae89b6	3	68697013	68698262	15	-1.7085
a28c2e97-79d6-4e2e-a879-85a521ae89b6	3	68699607	78423988	6565	0.0633
a28c2e97-79d6-4e2e-a879-85a521ae89b6	3	78424174	78424795	2	-1.669
a28c2e97-79d6-4e2e-a879-85a521ae89b6	3	78424803	89345576	6074	0.0639
a28c2e97-79d6-4e2e-a879-85a521ae89b6	3	89345592	89355952	3	1.5098
a28c2e97-79d6-4e2e-a879-85a521ae89b6	3	89355954	89360696	17	0.4055
a28c2e97-79d6-4e2e-a879-85a521ae89b6	3	89360887	89965955	284	0.0505
a28c2e97-79d6-4e2e-a879-85a521ae89b6	3	89966343	125650989	19226	0.1248
a28c2e97-79d6-4e2e-a879-85a521ae89b6	3	125656751	125662452	7	-1.0342
a28c2e97-79d6-4e2e-a879-85a521ae89b6	3	125666096	125993370	136	0.0811
a28c2e97-79d6-4e2e-a879-85a521ae89b6	3	125993427	126003019	28	-0.8294
a28c2e97-79d6-4e2e-a879-85a521ae89b6	3	126003489	162794869	22648	0.1264
a28c2e97-79d6-4e2e-a879-85a521ae89b6	3	162794951	162908207	69	1.0489
a28c2e97-79d6-4e2e-a879-85a521ae89b6	3	162908784	193162684	19187	0.1293
a28c2e97-79d6-4e2e-a879-85a521ae89b6	3	193162798	193165114	12	1.2219
a28c2e97-79d6-4e2e-a879-85a521ae89b6	3	193168646	198169247	2694	0.1323
a28c2e97-79d6-4e2e-a879-85a521ae89b6	4	68929	9430125	5147	0.0836
a28c2e97-79d6-4e2e-a879-85a521ae89b6	4	9430168	9435283	8	-0.7539
a28c2e97-79d6-4e2e-a879-85a521ae89b6	4	9435284	10208766	553	0.0727
a28c2e97-79d6-4e2e-a879-85a521ae89b6	4	10212536	10232642	31	1.7674
a28c2e97-79d6-4e2e-a879-85a521ae89b6	4	10232984	12377262	1802	0.0788
a28c2e97-79d6-4e2e-a879-85a521ae89b6	4	12377308	12385300	34	0.39
a28c2e97-79d6-4e2e-a879-85a521ae89b6	4	12389386	12545737	81	0.071
a28c2e97-79d6-4e2e-a879-85a521ae89b6	4	12546091	12546292	2	-1.9144
a28c2e97-79d6-4e2e-a879-85a521ae89b6	4	12547178	23278352	7592	0.0567
a28c2e97-79d6-4e2e-a879-85a521ae89b6	4	23278490	23278497	2	-3.0437
a28c2e97-79d6-4e2e-a879-85a521ae89b6	4	23278812	34777418	7474	0.0664
