GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	62920	98602	13	0.7174
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	259407	3477686	826	-0.2216
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	3484226	16604834	7815	-0.0993
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	16605031	16721984	37	0.3563
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	16766762	16788139	13	-1.8165
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	16855942	21992508	3400	-0.1056
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	21996664	22010750	5	-1.4869
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	22011632	25319167	1936	-0.1012
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	25319693	25376228	23	0.3968
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	25376293	30254028	2362	-0.0911
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	30258675	30258730	2	1.5204
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	30258851	30750546	409	-0.1057
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	30750740	30778417	18	-0.5803
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	30778851	34637053	2139	-0.0846
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	34637069	34648667	20	-0.9205
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	34649941	46039637	6331	-0.0836
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	46040372	46048154	5	1.0783
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	46053881	54769610	4805	-0.0785
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	54769918	54795717	11	-0.869
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	54796493	55524759	602	-0.085
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	55527066	70958755	11209	-0.0491
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	70960577	70964183	2	1.4419
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	70967301	72303233	788	-0.0194
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	72303253	72345465	45	-1.2613
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	72346221	76923119	2988	-0.0317
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	76926015	76974835	36	0.9501
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	76978650	81422771	2749	-0.0304
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	81422917	81422920	2	1.8933
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	81422982	83375306	1316	-0.0153
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	83384675	83384707	2	1.3632
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	83387968	101929664	11999	-0.0475
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	101936192	101946322	19	-0.8428
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	101951095	109684695	4481	-0.0269
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	109684893	109697556	13	0.9306
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	109702376	119560261	6698	-0.0609
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	119565514	119568996	4	-2.6027
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	119569432	152583051	2879	-0.0615
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	152583230	152614064	33	1.1132
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	152614100	152789532	172	-0.0715
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	152789570	152795862	30	0.3092
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	152795883	161871226	5431	-0.0732
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	161872158	161872417	3	1.3313
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	161874316	174826800	9372	-0.0463
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	174827128	174835841	34	0.4366
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	174835884	178563088	2408	-0.0655
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	178563349	178564641	2	-1.6204
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	178564697	179361393	648	-0.0482
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	179362247	179364180	3	-1.3541
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	179370071	189198792	6519	-0.0522
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	189199110	189583741	234	0.1566
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	189584937	193186662	2412	-0.0184
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	193187149	193187218	4	1.8948
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	193190593	196772186	2410	-0.0184
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	196772237	196780691	12	-0.8751
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	196780705	199142235	1409	-0.0148
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	199142298	199144712	8	-1.6911
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	1	199145110	248930189	34422	-0.0581
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	12784	1318101	871	-0.0938
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	1323864	1908099	361	-0.2307
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	1908136	7498587	4690	-0.0579
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	7499242	7506841	3	1.6078
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	7506876	34474248	18162	-0.0508
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	34476327	34515732	51	0.4205
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	34515960	35742970	865	-0.0181
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	35750907	35762850	7	1.0914
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	35762881	41010869	3916	-0.0388
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	41010908	41018747	28	-0.5923
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	41024093	41718211	554	0.0095
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	41718316	49475243	5475	-0.065
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	49475407	52527330	2151	-0.0123
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	52527342	52563002	41	0.6471
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	52563355	127094445	41780	-0.0471
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	127099470	127100370	3	1.721
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	127101070	131458124	2356	-0.0655
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	131464435	131468795	3	-1.8264
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	131472229	132523759	396	-0.0543
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	132523784	132545002	43	0.3984
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	132556272	137047646	3063	-0.058
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	137047827	207490231	42578	-0.0266
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	207490454	207494836	19	-1.0046
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	207495072	215780519	5296	-0.015
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	215780957	239052747	15100	-0.0549
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	239056454	239090034	20	-0.6055
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	239090914	242090275	1636	-0.1
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	242092213	242101834	7	0.7304
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	2	242101984	242147305	19	-0.2392
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	3	20930	8605392	7580	-0.0379
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	3	8605522	16197556	5315	-0.0882
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	3	16199049	16199877	8	-1.0138
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	3	16202089	16234417	41	-0.1067
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	3	16234429	31570358	10663	-0.0305
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	3	31578630	46761427	9572	-0.0618
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	3	46761844	46808099	34	-1.0692
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	3	46817989	60635351	8146	-0.0728
0437dfdd-a6fe-4be3-a2ae-86e6e3819e44	3	60638982	60708618	70	0.1831
