GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	62920	1575421	210	-0.0552
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	1696479	1741164	16	-0.6741
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	1756148	9255788	4432	-0.048
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	9266599	9342344	57	0.5685
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	9344634	10396090	516	-0.0589
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	10398321	10398382	2	-2.7881
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	10408661	10610834	122	-0.0715
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	10611363	10619664	3	-1.5296
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	10621749	15823420	2973	-0.0542
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	15827002	15828515	10	0.432
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	15839166	16477281	280	-0.0633
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	16477846	16898475	86	0.2337
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	16898730	25256850	5297	-0.0564
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	25266637	25320455	24	0.632
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	25336819	72284670	28694	-0.0528
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	72290430	72297687	9	-1.1993
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	72302735	72345465	48	1.5725
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	72346221	76661137	2764	-0.0445
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	76662744	76662933	2	-1.4515
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	76664545	86307363	6364	-0.043
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	86311139	86312583	2	-1.2495
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	86314399	103614714	10867	-0.0506
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	103615687	103616762	3	-1.2535
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	103620877	103717410	5	0.8945
50ea57d8-f3c5-4ee4-a186-f2236b31d6f9	1	103717617	105476583	920	-0.0466
