GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	62920	3301765	738	0.2142
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	3302046	5051997	1324	-0.075
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	5054493	5069166	10	-0.8997
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	5074571	5292949	191	-0.0575
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	5297111	5332020	38	0.1899
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	5333430	5954503	489	-0.062
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	5958331	5999262	24	0.2226
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	6001588	8883906	1637	-0.1125
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	8884295	8923709	13	0.3534
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	8924977	9160512	142	-0.2021
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	9163101	9207841	30	0.0538
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	9209806	9244672	23	-0.1811
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	9247978	9344921	61	0.2638
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	9346920	12714696	1717	-0.1286
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	12715848	13475857	128	0.0746
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	13475969	14180200	581	-0.093
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	14181034	14194378	11	-0.7571
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	14196685	15151570	744	-0.1102
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	15152313	15193186	48	0.149
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	15194505	15455589	187	-0.1208
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	15455815	15476039	14	0.3012
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	15479619	15827430	194	-0.1297
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	15827706	15844541	10	0.4299
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	15850269	16241695	167	-0.1313
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	16246309	16266874	12	0.301
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	16268499	16470247	94	-0.199
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	16471261	16505368	16	0.2124
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	16518437	16570326	6	-0.448
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	16583114	16999460	131	0.2153
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	17003142	21362410	2959	-0.0929
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	21365404	21385928	16	-0.7397
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	21389842	21815733	250	-0.1487
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	21820584	21837671	7	0.5942
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	21838233	21971792	78	-0.1926
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	21974705	22085630	58	0.2847
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	22085730	25074321	1728	-0.111
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	25077271	25361785	180	0.0793
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	25371978	27022452	705	-0.1098
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	27034728	27072223	21	0.3328
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	27072293	29898253	1339	-0.1137
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	29903845	30181334	217	-0.0181
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	30182365	30193293	16	0.2592
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	30193910	30240079	40	-0.0764
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	30240629	30272363	42	0.2335
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	30274729	30483565	173	0.0134
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	30484258	30666733	158	-0.0826
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	30667100	30778417	83	0.239
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	30778851	33380639	1179	-0.1116
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	33385289	34696018	1030	-0.0395
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	34696669	36270237	677	-0.143
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	36270454	38796204	1576	-0.0702
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	38797978	39638789	399	-0.1288
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	39638912	39689516	28	0.2936
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	39693156	45903822	3523	-0.0795
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	45905111	45950603	31	0.2074
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	45950676	45961746	6	-0.4256
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	45962206	46137676	83	0.1395
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	46137728	49448451	2021	-0.0691
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	49449260	49522138	24	-0.5782
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	49527566	49949454	155	-0.0006
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	49952286	49954729	3	-1.9499
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	49958226	49971238	6	-0.5339
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	49974597	50122993	65	-0.0044
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	50124848	50133523	12	-0.6225
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	50135578	50850914	362	-0.0228
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	50851614	50860679	4	-1.2351
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	50868570	54733339	2094	-0.1019
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	54741821	54809662	57	0.191
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	54809957	55779716	795	-0.0293
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	55779931	55852621	50	-0.1836
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	55853584	55862923	18	-0.9384
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	55863730	56745726	641	-0.0896
55e35257-e43f-4c5a-84c1-76e4de4c2981	1	56746303	56785614	41	-0.6471
