GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	62920	16570326	8644	0.0085
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	16583114	16935752	108	0.3336
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	16949746	25256850	5259	0.0076
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	25266637	25336853	26	0.6109
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	25346663	61647430	21421	0.0028
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	61648334	61652515	4	-0.9803
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	61654137	72303233	7290	0.0043
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	72303253	72351072	48	0.4984
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	72351338	105470754	20926	-0.0004
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	105476583	105479722	15	-0.5338
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	105479738	110834746	3482	0.0034
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	110834943	110836443	6	-2.7128
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	110836516	110836709	6	-4.3974
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	110836717	110845604	26	-2.2539
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	110849445	112147704	1076	-0.0042
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	112153343	112154768	25	0.3411
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	112163334	143494500	5162	0.0006
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	143541857	143928045	125	-0.6645
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	143942271	152583051	2313	0.0066
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	152583230	152614100	34	-1.7655
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	152614118	152789570	173	-0.0207
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	152789781	152796224	32	-0.5674
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	152801429	169247699	11268	0.0022
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	169264736	169272528	7	-4.0821
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	169273163	196762956	18159	-0.0024
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	196769493	196843377	55	0.3932
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	196843400	196846661	2	4.7481
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	196847600	213643968	11204	0.0031
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	213651067	213657482	4	-1.135
2a3ae97b-0af5-4d65-943a-72d5a68c917f	1	213657558	248930189	24551	0.0046
