GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	62920	3306063	748	0.12
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	3306087	15822848	7570	0.0064
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	15823420	15828515	11	0.7204
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	15839166	16788139	352	-0.0343
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	16855942	16935393	54	-0.4928
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	16935737	38965465	12625	0.0023
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	38970964	38973330	3	-1.679
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	38973866	64459577	16017	-0.0024
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	64460208	64460862	3	-1.6685
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	64462151	72303233	5297	0.0022
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	72303253	72345465	41	3.1746
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	72346221	88599961	10652	0.0038
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	88602632	88603340	3	-1.3536
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	88603482	103560608	9294	-0.0028
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	103566616	103616762	27	0.9658
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	103620877	108951525	3224	-0.0054
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	108954232	108962290	16	-0.8084
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	108966266	109690352	328	0.0251
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	109690415	109702376	13	-1.2443
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	109703504	110834746	833	-0.0029
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	110834943	110845604	38	-0.7672
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	110849445	112147704	1070	0.022
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	112153343	112154768	25	0.4651
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	112163334	147770492	5983	0.0044
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	147772142	147772337	2	1.8351
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	147774791	155691436	3383	0.0052
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	155692180	155693566	2	-2.5587
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	155697170	161647641	3693	-0.007
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	161647657	161649268	8	-1.1736
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	161678447	174827561	9511	0.0024
c5b4c7df-ee2a-4176-ad49-e42b3115fe1a	1	174827576	174832716	15	0.5581
