GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
899803f1-4b0e-4415-bff1-b37abafe8d26	1	62920	266187	17	0.015
899803f1-4b0e-4415-bff1-b37abafe8d26	1	462795	462894	2	1.9132
899803f1-4b0e-4415-bff1-b37abafe8d26	1	599171	16883108	8694	0.0068
899803f1-4b0e-4415-bff1-b37abafe8d26	1	16884157	16935752	50	0.4432
899803f1-4b0e-4415-bff1-b37abafe8d26	1	16949746	105470132	55054	0.0038
899803f1-4b0e-4415-bff1-b37abafe8d26	1	105470754	105481515	22	0.5624
899803f1-4b0e-4415-bff1-b37abafe8d26	1	105482176	106859331	913	0.0262
899803f1-4b0e-4415-bff1-b37abafe8d26	1	106859442	106860406	6	-0.6744
899803f1-4b0e-4415-bff1-b37abafe8d26	1	106860447	107672688	629	0.0038
899803f1-4b0e-4415-bff1-b37abafe8d26	1	107675635	107675654	2	-1.2025
899803f1-4b0e-4415-bff1-b37abafe8d26	1	107676065	108187137	386	0.0289
899803f1-4b0e-4415-bff1-b37abafe8d26	1	108191613	108194874	3	-0.9688
899803f1-4b0e-4415-bff1-b37abafe8d26	1	108196482	110817180	1527	0.0006
899803f1-4b0e-4415-bff1-b37abafe8d26	1	110817262	110853446	67	0.2458
899803f1-4b0e-4415-bff1-b37abafe8d26	1	110857543	112147704	1065	-0.0002
899803f1-4b0e-4415-bff1-b37abafe8d26	1	112153343	112154552	19	-0.3845
899803f1-4b0e-4415-bff1-b37abafe8d26	1	112154566	112154768	6	-0.1345
899803f1-4b0e-4415-bff1-b37abafe8d26	1	112163334	112163572	9	0.5026
899803f1-4b0e-4415-bff1-b37abafe8d26	1	112163576	114289343	1318	-0.0022
899803f1-4b0e-4415-bff1-b37abafe8d26	1	114291004	114291088	2	-1.2927
899803f1-4b0e-4415-bff1-b37abafe8d26	1	114291180	143459641	3836	0.0051
899803f1-4b0e-4415-bff1-b37abafe8d26	1	143494500	143942271	127	-0.9156
899803f1-4b0e-4415-bff1-b37abafe8d26	1	144432083	150135947	1018	0.0347
899803f1-4b0e-4415-bff1-b37abafe8d26	1	150136668	150139821	2	-1.3308
899803f1-4b0e-4415-bff1-b37abafe8d26	1	150141905	152582700	1295	0.0131
899803f1-4b0e-4415-bff1-b37abafe8d26	1	152583051	152614118	36	-0.7306
899803f1-4b0e-4415-bff1-b37abafe8d26	1	152618018	152785214	166	0.0422
899803f1-4b0e-4415-bff1-b37abafe8d26	1	152787202	152796224	38	0.7106
899803f1-4b0e-4415-bff1-b37abafe8d26	1	152801429	187746723	23510	0.0039
899803f1-4b0e-4415-bff1-b37abafe8d26	1	187748429	187752238	2	-1.7618
899803f1-4b0e-4415-bff1-b37abafe8d26	1	187755479	193186662	3572	0.0006
899803f1-4b0e-4415-bff1-b37abafe8d26	1	193187149	193187218	4	1.2147
899803f1-4b0e-4415-bff1-b37abafe8d26	1	193190593	196745743	2397	0.0093
899803f1-4b0e-4415-bff1-b37abafe8d26	1	196758720	196779899	24	-0.8264
899803f1-4b0e-4415-bff1-b37abafe8d26	1	196780051	196802150	19	-0.3029
899803f1-4b0e-4415-bff1-b37abafe8d26	1	196820098	196832525	14	-0.9424
899803f1-4b0e-4415-bff1-b37abafe8d26	1	196832720	222843064	17746	0.0028
899803f1-4b0e-4415-bff1-b37abafe8d26	1	222843983	222850427	6	-1.4453
899803f1-4b0e-4415-bff1-b37abafe8d26	1	222853375	234521174	7913	0.0074
