GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	62920	825988	35	-0.0101
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	826738	16583114	8588	-0.5735
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	16604834	16617118	4	-1.8479
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	16617143	16689764	28	-1.0534
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	16718963	16721984	6	-2.2406
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	16766762	72297687	34004	-0.5619
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	72302735	72345465	48	0.4313
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	72346221	108187137	22829	-0.5577
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	108191613	108194874	3	-3.6366
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	108196482	110833598	1539	-0.5629
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	110834746	110845604	39	-1.8165
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	110849445	112147626	1069	-0.5594
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	112147704	112154576	22	0.0614
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	112154591	119579180	4717	-0.5609
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	119579315	119580513	6	0.5243
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	119580703	144432083	549	-0.5635
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	144432313	152789781	2516	0.1285
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	152789809	152801429	32	0.5766
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	152804279	194479104	27969	0.1364
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	194482281	194485888	2	-2.2635
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	194487886	196843377	1506	0.1375
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	196843400	196846661	2	-2.6456
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	196847600	198335144	815	0.1378
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	198335406	198337802	3	-1.0504
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	198338649	209897717	7955	0.1375
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	209908268	209908720	2	-2.1589
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	209910639	222843983	8917	0.1373
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	222846561	222850427	5	-1.558
3b40f660-5267-44cf-999b-ad01f68c3ddd	1	222853375	248930189	18058	0.1297
3b40f660-5267-44cf-999b-ad01f68c3ddd	2	12784	4158097	2984	0.111
3b40f660-5267-44cf-999b-ad01f68c3ddd	2	4166274	4176429	42	-0.6504
3b40f660-5267-44cf-999b-ad01f68c3ddd	2	4182472	34466002	21030	0.1299
3b40f660-5267-44cf-999b-ad01f68c3ddd	2	34474248	34511446	45	-0.4246
3b40f660-5267-44cf-999b-ad01f68c3ddd	2	34511990	52514599	12981	0.1239
3b40f660-5267-44cf-999b-ad01f68c3ddd	2	52527330	52554404	40	0.7899
3b40f660-5267-44cf-999b-ad01f68c3ddd	2	52560811	97359380	23815	0.1254
3b40f660-5267-44cf-999b-ad01f68c3ddd	2	97359885	97560849	16	-0.6965
3b40f660-5267-44cf-999b-ad01f68c3ddd	2	97562741	113604438	9353	0.1243
3b40f660-5267-44cf-999b-ad01f68c3ddd	2	113604837	113604839	2	-1.8331
3b40f660-5267-44cf-999b-ad01f68c3ddd	2	113623244	146104517	20014	0.1312
3b40f660-5267-44cf-999b-ad01f68c3ddd	2	146106836	146109366	24	1.0487
3b40f660-5267-44cf-999b-ad01f68c3ddd	2	146120238	242147305	58992	0.1275
3b40f660-5267-44cf-999b-ad01f68c3ddd	3	20930	1740119	1536	0.1297
3b40f660-5267-44cf-999b-ad01f68c3ddd	3	1740840	1745897	6	-0.8993
3b40f660-5267-44cf-999b-ad01f68c3ddd	3	1747474	67251905	45208	0.1324
3b40f660-5267-44cf-999b-ad01f68c3ddd	3	67258531	67258910	2	-1.7755
3b40f660-5267-44cf-999b-ad01f68c3ddd	3	67259689	99218940	16851	0.134
3b40f660-5267-44cf-999b-ad01f68c3ddd	3	99225614	99230470	37	-0.5105
3b40f660-5267-44cf-999b-ad01f68c3ddd	3	99230577	130044855	18681	0.1258
3b40f660-5267-44cf-999b-ad01f68c3ddd	3	130047743	130088081	38	0.5411
3b40f660-5267-44cf-999b-ad01f68c3ddd	3	130088155	162795304	20231	0.1298
3b40f660-5267-44cf-999b-ad01f68c3ddd	3	162795361	162807070	9	0.8366
3b40f660-5267-44cf-999b-ad01f68c3ddd	3	162810842	162822702	10	-0.9897
3b40f660-5267-44cf-999b-ad01f68c3ddd	3	162827928	162846267	9	0.9549
3b40f660-5267-44cf-999b-ad01f68c3ddd	3	162849883	162897779	31	0.46
3b40f660-5267-44cf-999b-ad01f68c3ddd	3	162897919	162908207	8	1.0581
3b40f660-5267-44cf-999b-ad01f68c3ddd	3	162908784	167113455	2360	0.1211
3b40f660-5267-44cf-999b-ad01f68c3ddd	3	167117151	167120252	3	-1.3536
3b40f660-5267-44cf-999b-ad01f68c3ddd	3	167120433	193160113	16762	0.1264
3b40f660-5267-44cf-999b-ad01f68c3ddd	3	193160173	193165114	19	-1.3226
3b40f660-5267-44cf-999b-ad01f68c3ddd	3	193168646	198169247	2688	0.1115
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	68929	9455251	5157	0.1224
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	9459504	9477699	6	-1.0615
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	9484440	10208766	539	0.1656
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	10212536	10229433	26	0.8614
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	10229469	49091769	25945	0.1405
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	49112078	49289338	13	-0.4028
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	49295203	61071220	6070	0.135
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	61075217	61076234	2	-1.1549
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	61079968	63265451	1185	0.1577
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	63265520	63286195	7	-0.509
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	63288849	63828222	307	0.1463
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	63831751	63840033	20	-0.2344
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	63841863	63842490	6	-1.2595
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	63842505	68378716	2845	0.1398
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	68389352	68422424	10	-1.1315
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	68429081	69254981	388	0.0599
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	69255175	69374271	63	0.3796
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	69376311	86055238	10415	0.1327
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	86055291	86058791	17	-0.6925
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	86058936	171448195	51452	0.1311
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	171453733	171456625	12	-1.0788
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	171459220	172501371	639	0.1327
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	172503796	172507320	5	0.5023
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	172507437	172507492	2	1.8687
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	172519981	184810786	8305	0.1281
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	184813435	184823247	7	-0.7183
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	184823666	188300104	2369	0.1245
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	188300206	188300221	2	-2.0289
3b40f660-5267-44cf-999b-ad01f68c3ddd	4	188300270	190106768	1141	0.0872
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	15532	17504068	13345	0.1401
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	17504168	17625524	18	-0.5371
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	17629411	28635718	6473	0.1406
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	28635768	28719574	62	-0.1263
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	28719987	46271828	10723	0.1381
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	46272419	46273400	5	-1.9788
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	46278110	58036448	5088	0.138
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	58036464	58036817	6	0.9336
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	58037089	63451319	3549	0.1439
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	63451440	63454021	4	1.0425
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	63455791	69571467	3732	0.1269
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	69779150	69822308	4	-1.0469
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	69937600	80348869	5865	0.1367
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	80350100	80350567	4	-1.0043
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	80355812	118050922	23008	0.1383
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	118052727	118053390	11	-0.5233
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	118068645	140839137	13808	0.1335
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	140844251	140852254	10	-0.9933
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	140861442	152134610	7532	0.1349
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	152135825	152138739	13	-0.7801
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	152138790	163422096	7566	0.1472
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	163430396	163435536	4	-0.9367
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	163439542	173775504	7482	0.1476
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	173778055	173778869	6	1.1758
3b40f660-5267-44cf-999b-ad01f68c3ddd	5	173779213	181363319	4383	0.1203
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	149661	253861	99	0.1293
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	254267	381149	103	-0.2837
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	382559	2701830	1917	0.1196
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	2701887	2701901	2	-1.3745
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	2704200	16375021	10607	0.1332
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	16376393	16377416	4	1.1781
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	16380656	29869295	8893	0.129
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	29869410	29947692	40	0.5261
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	29947974	32463515	1145	0.1638
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	32463775	32533522	19	1.8829
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	32540699	32722250	91	0.4479
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	32723020	32723053	3	2.79
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	32732907	54066286	13634	0.1296
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	54066353	54067057	7	-1.4782
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	54070550	66328153	5355	0.1395
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	66331020	66333299	7	-0.6924
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	66333342	73882142	5004	0.1381
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	73882509	73891694	10	0.8916
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	73893839	76305231	1469	0.1245
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	76307183	76307209	3	1.1928
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	76307276	76720013	294	0.1351
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	76726442	76739852	15	0.6319
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	76742553	78261995	988	0.1443
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	78262064	78325457	108	-0.3627
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	78325468	103286954	15459	0.1374
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	103290101	103314186	46	-1.322
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	103317795	157360232	34719	0.1335
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	157366396	157375044	2	-1.8734
3b40f660-5267-44cf-999b-ad01f68c3ddd	6	157375962	170741917	9371	0.134
3b40f660-5267-44cf-999b-ad01f68c3ddd	7	43355	16130033	10976	0.1303
3b40f660-5267-44cf-999b-ad01f68c3ddd	7	16131935	16132634	2	-1.9743
3b40f660-5267-44cf-999b-ad01f68c3ddd	7	16137216	38271497	16352	0.1355
3b40f660-5267-44cf-999b-ad01f68c3ddd	7	38271765	38347190	109	0.4982
3b40f660-5267-44cf-999b-ad01f68c3ddd	7	38347211	126405597	49423	0.1321
3b40f660-5267-44cf-999b-ad01f68c3ddd	7	126405632	126406822	10	1.5352
