GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	62920	822089	33	-0.1422
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	822543	3298168	703	-0.4319
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	3301765	15822848	7584	-0.3043
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	15823420	15827430	7	-2.2895
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	15827706	15891098	26	-0.4324
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	15891708	16617143	284	-0.2566
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	16617312	16679483	24	-0.5863
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	16685961	16935737	77	0.181
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	16935752	47541226	17349	-0.2866
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	47544014	72284670	16598	-0.3098
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	72290430	72297687	9	-1.2279
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	72302735	105470754	20935	-0.3113
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	105476583	105479753	17	-0.8466
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	105481433	106047551	355	-0.2904
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	106053201	106054202	2	-2.021
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	106055905	108819177	1844	-0.3167
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	108822074	109679105	423	-0.2582
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	109684695	109697556	15	1.2671
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	109702376	110834746	834	-0.2877
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	110834943	110845604	38	-0.9824
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	110849445	112147704	1072	-0.2929
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	112153343	112163334	26	-0.7614
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	112163438	121593055	5138	-0.3085
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	121593930	145670653	153	0.0233
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	145674253	152583051	2287	-0.2773
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	152583230	152614118	35	0.8129
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	152618018	152782154	159	-0.2583
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	152783832	152804279	46	0.0936
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	152805967	161539001	5248	-0.2913
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	161539085	161678831	14	0.2968
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	161680585	165647644	3270	-0.3053
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	165648684	165648735	2	-2.0591
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	165650475	193839040	18989	-0.3077
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	193839650	193839741	2	-2.1823
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	193840293	194479104	424	-0.3216
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	194482281	194485888	2	-2.7156
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	194487886	194681301	98	-0.2927
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	194681316	194686224	3	0.7389
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	194686264	196745743	1347	-0.2973
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	196758720	196843377	59	0.021
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	196843400	248574146	35546	-0.3123
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	248585893	248633821	31	-1.11
bd89cd03-e38d-4745-8409-1f477f60e1f7	1	248633912	248930189	142	-0.2843
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	12784	4151151	2975	0.1651
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	4151431	4176429	48	0.4582
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	4182472	32642970	19630	0.1765
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	32648071	33134223	359	0.2726
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	33134390	34439683	1029	0.1556
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	34450400	34512965	53	0.5284
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	34515572	34782909	187	0.1878
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	34783180	34783502	4	-1.4539
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	34783581	35750907	674	0.2056
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	35752724	35762881	7	1.0881
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	35772407	41011095	3921	0.1843
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	41011303	41018747	22	-0.7814
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	41024093	41131927	84	0.1547
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	41135596	41352787	171	0.2823
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	41355332	41638978	220	0.168
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	41639259	41639274	2	1.4812
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	41648378	52527423	7690	0.1799
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	52527590	52554384	35	-0.4048
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	52554404	54163976	1211	0.1596
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	54164330	54346352	131	0.3224
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	54347005	78756922	15528	0.1682
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	78765743	79461920	572	0.2566
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	79461940	87462096	4591	0.1746
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	87463778	87465499	2	-1.6738
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	87466706	97188422	1747	0.1907
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	97192190	97211436	15	0.6711
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	97310327	97359885	13	0.178
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	97524284	97545247	8	-0.9717
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	97545726	106263639	5562	0.1698
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	106264257	106268901	11	-0.8537
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	106270799	110790058	2238	0.1632
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	110790410	110795938	3	-0.8761
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	110796604	117568893	3953	0.182
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	117569759	117571885	2	-1.2151
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	117574253	124262582	4381	0.1716
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	124264575	125696367	867	0.275
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	125696461	131956771	3447	0.1702
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	131962142	132516017	203	0.2873
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	132516148	137632679	3494	0.1656
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	137633381	138339430	428	0.2727
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	138346205	146103878	4777	0.1733
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	146104517	146109139	22	0.5338
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	146109230	151578311	3284	0.1551
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	151608986	151608999	2	-1.1999
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	151609811	176394114	15119	0.1678
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	176402448	176407805	2	-1.3792
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	176410410	184255581	5048	0.1644
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	184256037	184276306	48	0.4219
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	184282902	185503739	722	0.1602
bd89cd03-e38d-4745-8409-1f477f60e1f7	2	185505370	185831097	151	0.3226
