GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	62920	817186	32	0.0459
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	822089	3291811	702	0.2242
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	3296382	16570326	7892	0.0179
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	16583114	16643683	23	-0.395
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	16643816	16785682	27	-0.1102
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	16787932	16863509	4	-0.6907
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	16864367	25118369	5201	0.0188
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	25118529	25133084	32	0.3397
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	25133189	25256850	74	0.0389
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	25266637	25320455	24	-0.4842
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	25336819	34626073	4947	0.007
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	34637053	34638890	20	-0.5456
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	34648667	72303233	23737	0.0068
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	72303253	72339279	33	0.4401
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	72339814	101587035	18811	0.006
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	101587401	102168554	413	-0.9811
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	102169628	105476614	1695	-0.0195
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	105476688	105479468	12	-0.5275
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	105479722	109028555	2345	-0.0047
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	109031904	109032025	2	-1.2738
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	109061619	112153651	2253	0.0143
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	112153686	112163438	23	-0.4059
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	112163440	143541857	5156	0.0144
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	143545399	143748826	101	0.2273
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	143748872	152583230	2330	0.0147
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	152583291	152614100	33	1.146
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	152614118	152787202	168	0.0153
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	152789447	152806050	41	-0.3204
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	152806082	174827267	14791	0.0073
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	174827418	174828454	12	-0.871
755f7d2f-7391-4c31-b8a5-e27d9448a67d	1	174828472	248930189	50456	0.0001
755f7d2f-7391-4c31-b8a5-e27d9448a67d	2	12784	24818	7	-0.7993
755f7d2f-7391-4c31-b8a5-e27d9448a67d	2	29443	1484462	996	0.0271
755f7d2f-7391-4c31-b8a5-e27d9448a67d	2	1484825	1928719	252	0.1611
755f7d2f-7391-4c31-b8a5-e27d9448a67d	2	1929876	3135789	920	0.0007
755f7d2f-7391-4c31-b8a5-e27d9448a67d	2	3138728	3220789	93	0.186
755f7d2f-7391-4c31-b8a5-e27d9448a67d	2	3222058	4158097	720	0.0126
755f7d2f-7391-4c31-b8a5-e27d9448a67d	2	4166274	4175577	36	-2.4033
755f7d2f-7391-4c31-b8a5-e27d9448a67d	2	4175922	34427804	21026	0.0068
