GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	62920	16544783	8638	0.0115
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	16569132	16583114	3	-1.7006
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	16604834	16718963	33	-0.2204
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	16719082	16788139	18	-0.8732
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	16855942	72297687	34040	0.0151
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	72302735	72345450	47	-1.0886
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	72345465	105479005	20946	0.0141
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	105479101	105479753	8	0.8709
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	105481433	109642611	2618	0.0194
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	109644606	109679105	12	-0.0381
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	109684695	109692006	12	-0.644
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	109696900	111385715	1324	0.0273
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	111385772	111390609	6	-0.8338
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	111393046	112147589	620	0.0032
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	112147626	112154754	26	-0.3911
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	112154768	121705338	5157	0.0163
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	143459641	144442092	131	-0.7261
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	144442098	152583051	2305	0.0104
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	152583230	152614064	33	1.5755
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	152614100	152789447	169	-0.0228
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	152789463	152795388	26	0.6249
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	152795408	222193326	46859	0.0153
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	222201492	222203662	2	-3.5818
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	222208792	222847162	336	-0.011
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	222849581	222850262	2	-2.0463
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	222850427	245473108	15861	0.0151
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	245473737	245483602	11	-0.734
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	1	245486349	248930189	2185	0.0117
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	2	12784	34466002	24061	0.0203
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	2	34474248	34511990	46	0.5689
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	2	34512096	52516787	12994	0.0258
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	2	52527330	52554404	40	-0.4273
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	2	52560811	75453806	14681	0.0249
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	2	75454336	75465497	7	-0.894
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	2	75466192	81719737	4325	0.0246
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	2	81722839	81723371	2	-1.6127
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	2	81726408	87286164	2999	0.0218
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	2	87287256	87295819	3	-1.6758
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	2	87299357	105519180	6718	0.0137
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	2	105521668	105522355	2	-2.5581
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	2	105522759	134440453	17245	0.019
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	2	134445908	134461968	28	0.5974
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	2	134464856	137701069	1993	0.021
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	2	137701120	137710813	13	-0.4489
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	2	137711200	146106875	5163	0.0192
c74f7833-ca3c-402e-9f77-b2fe02cdb43e	2	146106889	146109366	21	0.6894
