GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9d995418-ace7-4475-94c3-9e013654d595	1	62920	98588	12	-0.7041
9d995418-ace7-4475-94c3-9e013654d595	1	98602	462894	7	0.6061
9d995418-ace7-4475-94c3-9e013654d595	1	599171	12777697	6428	0.0129
9d995418-ace7-4475-94c3-9e013654d595	1	12778601	13114062	37	-0.5753
9d995418-ace7-4475-94c3-9e013654d595	1	13118266	16863509	2163	-0.0017
9d995418-ace7-4475-94c3-9e013654d595	1	16864367	16935752	54	0.5682
9d995418-ace7-4475-94c3-9e013654d595	1	16949746	34626073	10169	0.0004
9d995418-ace7-4475-94c3-9e013654d595	1	34637053	34638890	20	-0.5294
9d995418-ace7-4475-94c3-9e013654d595	1	34648667	72303233	23572	0.0042
9d995418-ace7-4475-94c3-9e013654d595	1	72303253	72345465	45	-1.2787
9d995418-ace7-4475-94c3-9e013654d595	1	72346221	109684893	23425	0.0043
9d995418-ace7-4475-94c3-9e013654d595	1	109690352	109702376	14	1.2221
9d995418-ace7-4475-94c3-9e013654d595	1	109703504	143547211	7087	-0.0002
9d995418-ace7-4475-94c3-9e013654d595	1	143547226	150002511	1061	0.0752
9d995418-ace7-4475-94c3-9e013654d595	1	150004041	152583051	1347	-0.0011
9d995418-ace7-4475-94c3-9e013654d595	1	152583230	152613762	31	-1.5923
9d995418-ace7-4475-94c3-9e013654d595	1	152613802	152790286	181	-0.0266
9d995418-ace7-4475-94c3-9e013654d595	1	152790414	152795862	20	-0.4443
9d995418-ace7-4475-94c3-9e013654d595	1	152795883	153018584	168	-0.0007
9d995418-ace7-4475-94c3-9e013654d595	1	153023248	153028502	5	-1.1423
9d995418-ace7-4475-94c3-9e013654d595	1	153028754	169247699	10992	-0.0024
9d995418-ace7-4475-94c3-9e013654d595	1	169264736	169272528	7	-3.3242
9d995418-ace7-4475-94c3-9e013654d595	1	169273163	196736037	18005	0.006
9d995418-ace7-4475-94c3-9e013654d595	1	196736126	196843377	71	0.276
9d995418-ace7-4475-94c3-9e013654d595	1	196843400	206836043	6349	-0.0027
9d995418-ace7-4475-94c3-9e013654d595	1	206837319	206837489	2	2.0318
9d995418-ace7-4475-94c3-9e013654d595	1	206838113	248930189	29144	0.0018
9d995418-ace7-4475-94c3-9e013654d595	2	12784	4158097	2971	0.0176
9d995418-ace7-4475-94c3-9e013654d595	2	4166274	4175577	36	-2.1154
9d995418-ace7-4475-94c3-9e013654d595	2	4175922	34466002	20892	0.0074
9d995418-ace7-4475-94c3-9e013654d595	2	34474248	34512489	48	0.6115
9d995418-ace7-4475-94c3-9e013654d595	2	34512965	35750907	859	0.0335
9d995418-ace7-4475-94c3-9e013654d595	2	35752724	35762850	6	-1.3498
9d995418-ace7-4475-94c3-9e013654d595	2	35762881	52527330	12006	0.0124
9d995418-ace7-4475-94c3-9e013654d595	2	52527342	52554404	39	-2.5306
9d995418-ace7-4475-94c3-9e013654d595	2	52560811	79104957	17038	0.0094
9d995418-ace7-4475-94c3-9e013654d595	2	79105429	79115685	4	1.3821
9d995418-ace7-4475-94c3-9e013654d595	2	79116692	152939554	39960	0.0073
9d995418-ace7-4475-94c3-9e013654d595	2	152940256	152940270	2	-2.1356
9d995418-ace7-4475-94c3-9e013654d595	2	152944055	183929124	18925	0.0101
9d995418-ace7-4475-94c3-9e013654d595	2	183929673	183944067	19	-0.6879
9d995418-ace7-4475-94c3-9e013654d595	2	183946220	242147305	35471	0.0088
9d995418-ace7-4475-94c3-9e013654d595	3	20930	13677949	11119	0.0149
9d995418-ace7-4475-94c3-9e013654d595	3	13678598	13678736	2	-2.3219
9d995418-ace7-4475-94c3-9e013654d595	3	13681136	65202778	33818	0.0041
9d995418-ace7-4475-94c3-9e013654d595	3	65203560	65224777	52	-0.6026
9d995418-ace7-4475-94c3-9e013654d595	3	65230674	75519398	7295	0.0011
9d995418-ace7-4475-94c3-9e013654d595	3	75523398	75537654	6	1.0883
9d995418-ace7-4475-94c3-9e013654d595	3	75546030	99218940	10886	0.0004
9d995418-ace7-4475-94c3-9e013654d595	3	99225614	99230464	36	-0.6303
9d995418-ace7-4475-94c3-9e013654d595	3	99230470	128680378	17918	0.0063
9d995418-ace7-4475-94c3-9e013654d595	3	128686328	128695318	8	1.0905
9d995418-ace7-4475-94c3-9e013654d595	3	128702323	130057833	621	-0.0106
9d995418-ace7-4475-94c3-9e013654d595	3	130062033	130087393	34	0.6768
9d995418-ace7-4475-94c3-9e013654d595	3	130088081	130133020	19	-0.0252
9d995418-ace7-4475-94c3-9e013654d595	3	130137637	130137903	2	-1.9017
9d995418-ace7-4475-94c3-9e013654d595	3	130141782	162807070	20096	0.003
9d995418-ace7-4475-94c3-9e013654d595	3	162810842	162822702	10	-0.898
9d995418-ace7-4475-94c3-9e013654d595	3	162827928	189215610	16233	0.0052
9d995418-ace7-4475-94c3-9e013654d595	3	189215879	189215999	2	-1.8239
9d995418-ace7-4475-94c3-9e013654d595	3	189218022	189642489	333	0.0369
9d995418-ace7-4475-94c3-9e013654d595	3	189642965	189646849	12	-0.6306
9d995418-ace7-4475-94c3-9e013654d595	3	189653199	193160113	2470	0.0132
9d995418-ace7-4475-94c3-9e013654d595	3	193160173	193165114	19	-1.0846
9d995418-ace7-4475-94c3-9e013654d595	3	193168646	195557541	1469	-0.0088
9d995418-ace7-4475-94c3-9e013654d595	3	195558822	195730018	36	-0.7374
9d995418-ace7-4475-94c3-9e013654d595	3	195733825	198094588	1121	-0.0072
9d995418-ace7-4475-94c3-9e013654d595	3	198106066	198107539	15	-0.9668
9d995418-ace7-4475-94c3-9e013654d595	3	198107669	198111566	12	0.1814
9d995418-ace7-4475-94c3-9e013654d595	3	198118345	198121943	8	-0.7127
9d995418-ace7-4475-94c3-9e013654d595	3	198122834	198169247	9	-0.0709
9d995418-ace7-4475-94c3-9e013654d595	4	68929	9462813	5119	0.008
9d995418-ace7-4475-94c3-9e013654d595	4	9463248	9477560	3	-1.9161
9d995418-ace7-4475-94c3-9e013654d595	4	9477699	10208766	535	0.0166
9d995418-ace7-4475-94c3-9e013654d595	4	10221792	10229874	28	1.5222
9d995418-ace7-4475-94c3-9e013654d595	4	10232590	10388498	175	0.0113
9d995418-ace7-4475-94c3-9e013654d595	4	10389091	10401094	18	-0.7317
9d995418-ace7-4475-94c3-9e013654d595	4	10401122	34777432	16646	-0.0011
9d995418-ace7-4475-94c3-9e013654d595	4	34784878	34823103	38	-0.4718
9d995418-ace7-4475-94c3-9e013654d595	4	34828250	63828222	16413	0.0098
9d995418-ace7-4475-94c3-9e013654d595	4	63831751	63851308	30	-0.4289
9d995418-ace7-4475-94c3-9e013654d595	4	63852325	68354665	2824	0.0007
9d995418-ace7-4475-94c3-9e013654d595	4	68361130	68422424	11	0.9834
9d995418-ace7-4475-94c3-9e013654d595	4	68429081	68506285	12	0.0886
9d995418-ace7-4475-94c3-9e013654d595	4	68509223	68530744	11	-2.3882
9d995418-ace7-4475-94c3-9e013654d595	4	68530748	68548222	8	-0.2596
9d995418-ace7-4475-94c3-9e013654d595	4	68548225	68623617	47	-1.7954
9d995418-ace7-4475-94c3-9e013654d595	4	68639397	69265102	315	0.0608
9d995418-ace7-4475-94c3-9e013654d595	4	69265191	69361181	45	-0.5005
9d995418-ace7-4475-94c3-9e013654d595	4	69362906	86055426	10344	0.0039
