GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	62920	787937	25	0.2122
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	793228	4733520	1738	-0.2459
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	4734054	4737438	3	-2.03
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	4737961	15827002	6579	-0.2308
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	15827041	15844541	15	0.4865
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	15850269	16721984	334	-0.2038
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	16766762	16785682	11	-0.9186
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	16787932	16884157	9	-0.3223
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	16886219	16935302	46	0.1853
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	16935393	25269390	5271	-0.2226
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	25269456	25320455	22	0.3868
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	25336819	30251780	2378	-0.229
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	30253727	30261189	9	-1.1793
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	30264526	34626073	2566	-0.2154
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	34637053	34638890	20	-0.7958
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	34648667	45898208	6254	-0.212
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	45903822	46006312	57	0.0628
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	46009478	48248041	1377	-0.2093
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	48249523	48249536	2	-1.7014
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	48249981	50535260	1204	-0.1955
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	50541555	50551613	3	-1.5122
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	50551797	53022778	1077	-0.2145
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	53023372	53024068	10	-0.9764
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	53026932	65308735	9212	-0.2199
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	65310592	72280884	4570	-0.1796
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	72280898	72351338	64	0.1636
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	72352916	102245193	19318	-0.1724
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	102252480	102346607	66	0.1062
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	102350442	102364451	24	-0.531
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	102364466	103616762	630	-0.1695
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	103620877	103717410	5	-1.8132
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	103717617	105476861	924	-0.1519
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	105478582	105486052	18	-0.66
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	105486456	110823480	3471	-0.1721
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	110827750	110859267	71	0.1582
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	110860873	113112025	1699	-0.1524
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	113112096	113112609	2	-1.5111
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	113114916	115765414	1656	-0.1658
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	115768316	115768577	2	1.8849
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	115770371	116651953	608	-0.1743
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	116657749	116657782	2	-2.2071
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	116663714	121705338	2274	-0.1842
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	143459641	143890323	122	0.4559
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	143893019	152583051	2322	-0.1771
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	152583230	152613762	31	4.0833
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	152613802	152614118	4	1.2944
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	152618018	152787202	167	-0.1661
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	152789447	152795487	31	0.8051
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	152795783	155210675	1349	-0.1591
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	155219369	155231273	11	1.4858
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	155241876	155687178	202	-0.2194
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	155691436	155693566	3	-1.1799
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	155697170	156001901	125	-0.2354
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	156002986	156003573	2	-1.4385
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	156009242	158324152	1414	-0.1707
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	158326364	159085932	646	-0.0939
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	159086330	169247699	7544	-0.1802
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	169264736	169272528	7	1.0529
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	169273163	178689602	6048	-0.1725
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	178689682	178705053	55	-1.0282
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	178707731	189115773	6968	-0.1739
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	189116196	189577974	293	-0.0455
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	189578371	189679027	82	-0.2534
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	189679353	189679397	2	-2.2776
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	189682917	196758720	4741	-0.1564
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	196761905	196832525	56	-0.6323
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	196832720	209897717	8795	-0.1826
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	209908268	209910639	3	-2.3948
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	209913207	248525284	26863	-0.1887
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	248525299	248645563	39	-0.9451
98ca161d-04cf-4b2a-97e6-4714c63d767f	1	248645808	248930189	140	-0.2122
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	12784	4009479	2865	-0.1593
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	4013265	25280074	15554	-0.1184
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	25284768	29844691	2610	-0.1562
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	29845250	29845422	2	-1.8023
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	29846487	34437911	3064	-0.1422
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	34438291	34515690	60	0.2678
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	34515732	35356085	533	-0.1503
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	35356441	35357402	5	-1.4939
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	35358251	35385276	39	-0.8692
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	35385396	35390609	9	-1.5958
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	35396850	35742319	279	-0.0696
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	35742970	35762881	9	0.8721
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	35772407	35784548	15	-0.0533
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	35784875	35785159	2	-2.3399
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	35785199	41010045	3900	-0.1362
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	41010246	41016199	30	0.245
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	41016287	49292515	5905	-0.1343
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	49295746	49311506	7	0.2462
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	49314051	50662958	998	-0.1018
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	50663455	51110458	316	0.0134
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	51110914	52035986	637	-0.1198
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	52036024	52090091	36	0.2095
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	52090745	52263353	97	-0.0768
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	52264596	52368493	66	0.1426
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	52369393	52425469	34	-0.1229
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	52426453	52430806	8	-0.6614
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	52432498	52527590	86	-0.1255
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	52527727	52563002	37	0.2951
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	52563355	86710564	21931	-0.1183
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	86725947	86726731	2	-2.1544
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	86743283	87074984	75	-0.089
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	87079825	87082140	2	-2.6054
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	87082711	97359885	1853	-0.1072
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	97524284	97545726	9	-1.4321
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	97550415	107332851	6272	-0.1474
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	107336160	107396237	39	0.1933
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	107397825	107604257	120	-0.1138
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	107607266	107617868	6	0.5514
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	107618305	107824280	138	-0.0891
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	107830513	107864451	2	2.6257
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	107875632	124891206	10026	-0.1128
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	124894355	124900785	6	-1.5693
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	124902115	127460866	1554	-0.1135
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	127462853	127469535	8	-1.0416
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	127469976	128880353	808	-0.1286
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	128880504	128888874	18	0.3917
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	128888929	130036283	874	-0.0943
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	130036310	130059766	3	-1.6126
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	130059787	134035365	2019	-0.1245
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	134035703	134035716	2	-1.6798
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	134036685	137708915	2355	-0.1126
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	137710813	138297141	351	-0.0102
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	138299535	179548644	25348	-0.1232
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	179553484	179555026	12	-1.1032
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	179555716	179556770	10	-2.6672
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	179556785	179564437	11	-0.3968
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	179565342	196228520	9678	-0.094
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	196228697	202428368	3597	-0.1546
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	202431052	202447478	41	-0.706
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	202448759	212520793	6350	-0.1355
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	212520898	212521351	2	-2.6741
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	212522839	233241056	13191	-0.1305
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	233245582	237451309	3051	-0.1756
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	237454491	239273774	1116	-0.1503
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	239275654	239281692	6	-1.237
98ca161d-04cf-4b2a-97e6-4714c63d767f	2	239286785	242147305	1528	-0.1591
98ca161d-04cf-4b2a-97e6-4714c63d767f	3	20930	243633	202	0.2319
98ca161d-04cf-4b2a-97e6-4714c63d767f	3	243886	243897	2	-1.5107
98ca161d-04cf-4b2a-97e6-4714c63d767f	3	244100	6604856	5617	0.3579
98ca161d-04cf-4b2a-97e6-4714c63d767f	3	6609441	6611645	23	-0.7501
98ca161d-04cf-4b2a-97e6-4714c63d767f	3	6613391	68697013	41976	0.3222
98ca161d-04cf-4b2a-97e6-4714c63d767f	3	68697108	68698262	14	1.9646
98ca161d-04cf-4b2a-97e6-4714c63d767f	3	68699607	84053071	9617	0.3392
98ca161d-04cf-4b2a-97e6-4714c63d767f	3	84056282	84057015	2	-1.2703
98ca161d-04cf-4b2a-97e6-4714c63d767f	3	84061816	89356604	3028	0.361
98ca161d-04cf-4b2a-97e6-4714c63d767f	3	89357795	89360673	13	0.8648
98ca161d-04cf-4b2a-97e6-4714c63d767f	3	89360696	96339765	1712	0.3423
98ca161d-04cf-4b2a-97e6-4714c63d767f	3	96340389	97780170	706	0.7053
98ca161d-04cf-4b2a-97e6-4714c63d767f	3	97781475	99218119	838	0.341
98ca161d-04cf-4b2a-97e6-4714c63d767f	3	99218940	99230264	31	0.7352
98ca161d-04cf-4b2a-97e6-4714c63d767f	3	99230312	114936935	9477	0.3402
98ca161d-04cf-4b2a-97e6-4714c63d767f	3	114941745	114950103	7	-1.1645
98ca161d-04cf-4b2a-97e6-4714c63d767f	3	114950171	130044016	9241	0.3274
98ca161d-04cf-4b2a-97e6-4714c63d767f	3	130044855	130087393	38	-0.2711
98ca161d-04cf-4b2a-97e6-4714c63d767f	3	130088081	130129574	18	0.3313
98ca161d-04cf-4b2a-97e6-4714c63d767f	3	130133020	130137637	2	-1.9047
98ca161d-04cf-4b2a-97e6-4714c63d767f	3	130137903	133297060	2069	0.3534
