GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	62920	16863509	8664	-0.2254
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	16864367	16935302	51	-0.7467
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	16935393	25278567	5255	-0.2216
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	25284629	25284961	2	-2.4937
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	25289805	55134552	16395	-0.1924
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	55141488	55337738	141	-0.0959
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	55339949	65459433	7663	-0.1677
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	65459666	72305835	4483	-0.1314
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	72305851	72351072	44	0.2539
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	72351338	102192618	19222	-0.1343
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	102194292	102350784	104	0.1105
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	102350985	105476583	1570	-0.1115
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	105476614	105479753	16	1.172
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	105481433	112147704	4588	-0.144
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	112153343	112163576	35	0.2144
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	112163583	143681659	5207	-0.1577
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	143686084	144442342	65	0.133
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	144445555	149845205	890	-0.1512
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	149845239	152583230	1408	-0.1824
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	152583291	152613762	30	-1.8972
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	152613802	152787202	171	-0.1795
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	152789447	152796224	37	-1.7807
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	152801429	158989785	3672	-0.1724
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	158992249	158993006	2	-3.8988
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	158997074	186370873	18873	-0.1559
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	186371948	196761905	6850	-0.1128
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	196762480	196762956	2	-1.9576
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	196769493	196859649	65	0.1491
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	196859672	199113428	1323	-0.1062
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	199114593	199142298	38	0.1597
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	199142393	199143883	6	-1.072
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	199144712	200170167	710	-0.1191
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	200172673	201403351	880	-0.1462
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	201403516	206778859	3368	-0.2031
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	206779589	248525299	29226	-0.1522
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	248525314	248633912	37	-0.9659
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	1	248645563	248930189	141	-0.1658
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	2	12784	3176122	2210	-0.1891
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	2	3179183	3192955	12	-1.0066
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	2	3193106	4158097	760	-0.1716
e5e11117-a8b0-4d37-94db-9c17ad00c3f6	2	4166274	4175977	38	-0.814
