GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	62920	266187	17	0.2693
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	462795	462894	2	2.461
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	599171	1068249	63	-0.0908
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	1081836	3558155	773	-0.279
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	3558213	16863509	7821	-0.1901
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	16864367	16935752	54	0.0776
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	16949746	25273831	5252	-0.1984
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	25275368	25320455	18	-0.8449
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	25336819	34622883	4940	-0.1854
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	34625857	34638890	24	-0.784
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	34648667	72302815	23726	-0.186
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	72303233	72351338	50	0.3328
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	72352916	105470754	20902	-0.186
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	105476583	105479753	17	0.6087
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	105481433	109684893	2630	-0.1833
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	109690352	109697556	12	2.4232
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	109702376	112147626	1944	-0.1788
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	112147704	112154768	26	0.3108
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	112163334	143545399	5157	-0.1846
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	143546558	143942271	124	0.0131
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	144432083	152583230	2306	-0.1883
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	152583291	152614100	33	0.9447
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	152614118	152790191	181	-0.2173
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	152790286	152796224	24	0.3416
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	152801429	169247699	11265	-0.1871
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	169264736	169272528	7	-4.0129
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	169273163	174827418	3516	-0.1844
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	174827561	174832702	15	-0.8802
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	174832716	196737142	14601	-0.19
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	196737547	197014101	173	-0.0337
4406c3fd-d35a-45cc-8064-4caf5bc6a126	1	197018951	248930189	35658	-0.1905
4406c3fd-d35a-45cc-8064-4caf5bc6a126	2	12784	3159967	2194	-0.1046
4406c3fd-d35a-45cc-8064-4caf5bc6a126	2	3163471	3184269	24	-0.5449
4406c3fd-d35a-45cc-8064-4caf5bc6a126	2	3184340	52527423	34865	-0.0861
4406c3fd-d35a-45cc-8064-4caf5bc6a126	2	52527590	52527743	3	-2.1451
4406c3fd-d35a-45cc-8064-4caf5bc6a126	2	52531615	65144914	8073	-0.0932
