GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	62920	2858617	545	0.0874
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	2866475	15823420	7790	-0.0015
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	15827002	15841285	12	0.4793
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	15841304	16488499	286	-0.014
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	16489035	16909713	88	0.224
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	16909725	17425213	390	0.0225
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	17427976	17428319	3	-0.8342
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	17428919	29745789	6886	0.0057
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	29746577	29758289	16	-1.0615
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	29758957	61648334	19462	-0.0003
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	61648509	61654137	4	-0.8766
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	61654306	72284670	7282	0.0041
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	72290430	72297687	9	-0.879
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	72302735	103616762	20074	0.0012
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	103620877	103764636	11	0.6922
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	103765074	121601998	10714	0.0065
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	121705338	149990380	1081	0.0728
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	149991322	152583051	1361	0.0083
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	152583230	152614118	35	1.5102
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	152618018	152787202	166	-0.0109
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	152789447	152796224	37	0.5869
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	152801429	196745743	29456	0.0013
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	196758720	196762956	4	0.9142
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	196769493	196829534	47	0.2889
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	196829693	228667018	21120	0.0017
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	228671781	228671795	2	-1.4656
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	228672619	230315666	1189	-0.0047
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	230316577	230316706	2	0.984
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	230317851	231062282	607	-0.0192
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	231062586	231064103	2	-2.0132
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	231064121	241958718	8389	0.005
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	241964690	242013693	22	0.5906
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	1	242023312	248930189	4469	0.0163
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	12784	14563570	11038	0.0182
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	14564825	14569968	12	-0.9764
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	14570240	49305903	23805	0.007
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	49308629	49314051	5	-0.835
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	49317902	52527330	2270	0.0112
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	52527342	52554404	39	-0.6388
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	52560811	86901078	21973	0.0067
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	86902080	87228594	49	0.2712
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	87229739	89069263	688	0.0161
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	89069842	94675825	252	0.1278
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	94675975	97168345	840	0.0164
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	97168383	97211436	24	0.408
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	97310327	130022403	19865	0.0098
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	130022580	130283631	61	0.2179
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	130284619	132002227	591	0.0244
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	132002751	132577488	258	0.1101
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	132580531	137224578	3166	0.0106
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	137226077	137226691	5	-1.0454
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	137227715	146104517	5464	0.007
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	146106836	146109366	24	-1.437
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	146120238	231039477	52187	0.0061
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	231039697	231045896	5	-1.4111
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	231049380	241568740	6670	0.0034
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	2	241568992	242147305	170	0.1486
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	3	20930	61141148	41860	0.0078
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	3	61141532	61142344	3	-1.2474
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	3	61145227	75345284	10782	0.0044
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	3	75348062	75793727	120	0.2274
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	3	75794356	84650642	4928	-0.0016
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	3	84650720	84652985	11	-0.5086
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	3	84653010	128667759	24080	0.0032
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	3	128672783	128702752	17	0.458
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	3	128705515	130044016	617	0.0014
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	3	130044855	130088155	40	0.482
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	3	130089433	162795361	20262	0.0046
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	3	162795671	162906093	63	0.2907
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	3	162906109	193160113	19167	0.0048
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	3	193160173	193165114	19	0.875
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	3	193168646	195733825	1518	0.0118
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	3	195735445	195751823	10	-0.531
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	3	195751990	197322591	743	0.0184
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	3	197327674	197330101	3	-1.1596
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	3	197331531	198169247	417	0.0668
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	68929	10166147	5628	-0.0003
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	10167911	10202969	52	0.2041
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	10203097	10227493	30	-0.0206
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	10227562	10248402	40	0.247
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	10248679	34777432	16955	-0.0012
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	34784878	34823103	38	-0.3446
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	34828250	44168648	6117	0.0056
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	44171456	44171575	2	-1.457
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	44171722	48198567	2399	0.0027
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	48199284	48204302	19	0.3529
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	48204348	61071220	6504	0.0025
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	61075217	61076234	2	1.2172
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	61079968	62802116	938	0.0053
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	62804218	62805944	8	-1.5027
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	62813912	63831891	560	-0.0057
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	63832015	63842540	24	0.3282
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	63850713	68354665	2849	0.0001
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	68361130	68391041	4	1.4493
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	68394355	68422424	8	-0.6147
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	68429081	69123355	326	-0.0048
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	69128975	69456094	173	0.1529
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	69459100	114252500	27252	0.0017
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	114252544	114263073	25	0.6426
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	114263096	160952773	27942	-0.0007
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	160952788	160963448	22	-0.4723
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	160963756	171455823	6669	0.0056
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	171456106	171456573	7	0.8741
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	171456625	172501371	640	0.0124
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	172503796	172542320	13	0.5403
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	4	172544816	190106768	11827	0.0118
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	5	15532	449528	200	0.0001
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	5	452515	731776	120	0.1168
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	5	732788	825538	32	0.3574
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	5	833513	1936939	605	0.0653
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	5	1937749	21451168	14750	0.003
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	5	21451855	21451889	2	-2.4582
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	5	21452329	27942881	3759	0.0049
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	5	27945622	27949384	2	-1.2923
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	5	27949720	46271006	11183	0.004
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	5	46271828	46273400	6	-2.217
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	5	46278110	70959079	12412	0.0015
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	5	71010832	71011717	5	-0.8874
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	5	71053366	180951888	69550	0.0035
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	5	180953203	181006225	18	-0.4725
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	5	181006264	181363319	169	0.093
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	149661	303017	126	0.0543
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	303121	366333	67	-0.3248
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	373453	23742789	18007	0.0058
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	23744444	23745202	2	-2.6506
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	23747504	29869411	3438	0.0014
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	29869537	29869681	2	-1.8544
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	29869700	29875657	5	0.099
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	29876257	29881490	7	-0.7267
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	29882419	31318528	666	0.0419
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	31318754	31328176	6	-1.247
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	31328210	32463775	500	0.0618
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	32481273	32568621	27	-0.6016
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	32570802	32633540	25	0.1921
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	32634330	32658841	13	-0.4573
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	32682835	54066353	13696	0.0015
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	54066432	54067057	6	-0.7148
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	54070550	58383472	2198	-0.0048
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	58384355	61539254	368	0.0907
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	61539765	61783960	163	0.0094
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	61784470	61784652	2	-1.3774
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	61785958	64627049	1495	0.0131
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	64637651	64640883	3	1.0914
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	64640920	65689589	699	-0.0062
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	65689644	65693959	21	-1.5333
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	65697234	78253172	8213	0.0059
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	78259348	78332056	117	-0.4411
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	78332092	103286954	15461	0.0034
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	103290101	103314186	46	0.6573
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	103317795	154639748	32972	0.0015
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	154642532	154644703	3	-1.291
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	6	154645133	170741917	11170	0.0094
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	7	43355	38251092	27353	0.0018
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	7	38251113	38317181	94	-0.3292
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	7	38317207	56645958	12554	-0.002
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	7	56646419	65721325	1706	0.0645
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	7	65727888	70955452	2891	0.0095
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	7	70958264	70961155	2	-2.0744
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	7	70963257	104579890	18902	0.0029
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	7	104580256	104580473	2	-1.9898
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	7	104581547	111420729	4517	-0.0041
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	7	111425236	111426603	6	-0.7605
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	7	111429358	134093899	13637	-0.0019
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	7	134100424	134114444	36	0.5231
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	7	134121491	144207186	6421	0.0005
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	7	144249785	144264193	7	-0.643
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	7	144295437	159334314	9648	0.006
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	8	81254	643041	322	0.0521
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	8	644944	645908	10	0.8417
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	8	656117	5716537	5636	0.0157
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	8	5716836	5721206	9	-0.6968
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	8	5721259	5741213	25	0.0226
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	8	5741242	5746973	25	-0.6976
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	8	5749566	7082704	1673	0.0116
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	8	7084593	7397588	51	0.3824
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	8	7414835	25116961	13716	0.0099
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	8	25117007	25126708	23	-0.484
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	8	25126735	25552690	318	0.0374
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	8	25557688	25557753	2	-1.2397
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	8	25557934	40914477	9824	0.0027
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	8	40920333	40920952	2	-1.2917
e6a6973a-5e0e-45ef-b9c7-3a4bc0779e83	8	40926161	88753673	27148	0.0074
