GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a8a31828-aa58-40f5-b043-087352d1b937	1	62920	1956754	323	0.0325
a8a31828-aa58-40f5-b043-087352d1b937	1	1956930	7675320	3458	-0.0722
a8a31828-aa58-40f5-b043-087352d1b937	1	7676563	10809674	1665	-0.0103
a8a31828-aa58-40f5-b043-087352d1b937	1	10809865	16410856	3152	-0.0517
a8a31828-aa58-40f5-b043-087352d1b937	1	16413458	19095102	1734	-0.0879
a8a31828-aa58-40f5-b043-087352d1b937	1	19101688	25256850	3685	-0.0366
a8a31828-aa58-40f5-b043-087352d1b937	1	25266637	25336819	25	-0.3668
a8a31828-aa58-40f5-b043-087352d1b937	1	25336853	38588885	7114	-0.0387
a8a31828-aa58-40f5-b043-087352d1b937	1	38593331	58468246	12062	-0.0133
a8a31828-aa58-40f5-b043-087352d1b937	1	58468570	59232245	595	0.0394
a8a31828-aa58-40f5-b043-087352d1b937	1	59232390	64385862	3592	0.0113
a8a31828-aa58-40f5-b043-087352d1b937	1	64388922	72303233	5358	0.0453
a8a31828-aa58-40f5-b043-087352d1b937	1	72303253	72345465	45	-1.3574
a8a31828-aa58-40f5-b043-087352d1b937	1	72346221	81422771	5773	0.0461
a8a31828-aa58-40f5-b043-087352d1b937	1	81422917	81423039	6	0.8729
a8a31828-aa58-40f5-b043-087352d1b937	1	81423183	90075036	5792	0.0611
a8a31828-aa58-40f5-b043-087352d1b937	1	90076147	95567571	3525	0.0237
a8a31828-aa58-40f5-b043-087352d1b937	1	95570356	103614539	4918	0.0591
a8a31828-aa58-40f5-b043-087352d1b937	1	103614695	103697067	8	-0.8766
a8a31828-aa58-40f5-b043-087352d1b937	1	103697364	109679105	3569	0.0502
a8a31828-aa58-40f5-b043-087352d1b937	1	109684695	109697556	15	-0.8421
a8a31828-aa58-40f5-b043-087352d1b937	1	109702376	110484902	523	-0.0086
a8a31828-aa58-40f5-b043-087352d1b937	1	110486303	111722186	1034	0.0758
a8a31828-aa58-40f5-b043-087352d1b937	1	111723744	112147704	387	-0.009
a8a31828-aa58-40f5-b043-087352d1b937	1	112153343	112163438	27	0.4274
a8a31828-aa58-40f5-b043-087352d1b937	1	112163440	152583051	7597	0.0196
a8a31828-aa58-40f5-b043-087352d1b937	1	152583230	152613762	31	-1.9042
a8a31828-aa58-40f5-b043-087352d1b937	1	152613802	158146518	3191	-0.012
a8a31828-aa58-40f5-b043-087352d1b937	1	158148997	158814469	573	0.0592
a8a31828-aa58-40f5-b043-087352d1b937	1	158814480	158896783	53	-0.0684
a8a31828-aa58-40f5-b043-087352d1b937	1	158898711	158899969	2	-1.5299
a8a31828-aa58-40f5-b043-087352d1b937	1	158905028	166491280	5544	0.008
a8a31828-aa58-40f5-b043-087352d1b937	1	166493012	175499875	6110	0.0417
a8a31828-aa58-40f5-b043-087352d1b937	1	175499896	178690798	2048	0.011
a8a31828-aa58-40f5-b043-087352d1b937	1	178690874	178697158	26	0.3989
a8a31828-aa58-40f5-b043-087352d1b937	1	178699520	183714324	3507	0.0121
a8a31828-aa58-40f5-b043-087352d1b937	1	183714614	187746723	2624	0.0692
a8a31828-aa58-40f5-b043-087352d1b937	1	187748429	187752238	2	-2.4274
a8a31828-aa58-40f5-b043-087352d1b937	1	187755479	196745692	5963	0.0812
a8a31828-aa58-40f5-b043-087352d1b937	1	196745743	196832720	59	0.4206
a8a31828-aa58-40f5-b043-087352d1b937	1	196843377	199850273	1835	0.0991
a8a31828-aa58-40f5-b043-087352d1b937	1	199850306	200944808	751	0.0252
a8a31828-aa58-40f5-b043-087352d1b937	1	200947253	205716224	3305	-0.0134
a8a31828-aa58-40f5-b043-087352d1b937	1	205716512	222193326	11498	0.0342
a8a31828-aa58-40f5-b043-087352d1b937	1	222201492	222203662	2	-1.405
a8a31828-aa58-40f5-b043-087352d1b937	1	222208792	229675422	4429	0.0205
a8a31828-aa58-40f5-b043-087352d1b937	1	229681109	229684449	3	-3.6801
a8a31828-aa58-40f5-b043-087352d1b937	1	229684709	248424525	13762	0.0237
a8a31828-aa58-40f5-b043-087352d1b937	1	248429571	248473963	16	-0.4396
a8a31828-aa58-40f5-b043-087352d1b937	1	248475325	248673020	60	0.2145
a8a31828-aa58-40f5-b043-087352d1b937	1	248681521	248930189	130	-0.0855
a8a31828-aa58-40f5-b043-087352d1b937	2	12784	4158097	2986	-0.017
a8a31828-aa58-40f5-b043-087352d1b937	2	4166274	4175577	36	-2.2051
a8a31828-aa58-40f5-b043-087352d1b937	2	4175922	14563570	8019	0.0247
a8a31828-aa58-40f5-b043-087352d1b937	2	14564825	14569968	12	-0.8361
a8a31828-aa58-40f5-b043-087352d1b937	2	14570240	34466002	13032	0.023
a8a31828-aa58-40f5-b043-087352d1b937	2	34474248	34511446	45	-0.3522
a8a31828-aa58-40f5-b043-087352d1b937	2	34511990	41665031	5316	0.0519
a8a31828-aa58-40f5-b043-087352d1b937	2	41666854	48997710	5178	0.0216
a8a31828-aa58-40f5-b043-087352d1b937	2	48997864	60128455	7902	0.0534
a8a31828-aa58-40f5-b043-087352d1b937	2	60128543	75617304	9486	0.0225
a8a31828-aa58-40f5-b043-087352d1b937	2	75618322	87211079	7166	0.0423
a8a31828-aa58-40f5-b043-087352d1b937	2	87218694	87218834	2	-1.3486
a8a31828-aa58-40f5-b043-087352d1b937	2	87221597	97359885	1821	0.0251
a8a31828-aa58-40f5-b043-087352d1b937	2	97524284	97545726	9	-1.2153
a8a31828-aa58-40f5-b043-087352d1b937	2	97550415	139141747	25079	0.0212
a8a31828-aa58-40f5-b043-087352d1b937	2	139145497	146104517	4308	0.0791
a8a31828-aa58-40f5-b043-087352d1b937	2	146106836	146120842	27	0.5482
a8a31828-aa58-40f5-b043-087352d1b937	2	146120874	152939554	4196	0.0577
a8a31828-aa58-40f5-b043-087352d1b937	2	152940256	152940270	2	-2.2132
