GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	62920	21362410	11723	0.0052
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	21365404	21394753	17	-0.9638
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	21395778	72284670	30968	-0.0007
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	72290430	72297687	9	-0.7808
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	72302735	72345465	48	0.4987
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	72346221	98127074	16557	-0.0049
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	98135691	98150293	12	-0.5871
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	98150544	103616762	3427	-0.0004
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	103620877	103717617	6	-1.2176
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	103760781	105470754	917	-0.0375
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	105476583	105479753	17	0.9772
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	105481433	112147704	4588	0.0021
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	112153343	112163460	29	0.4368
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	112163496	147770492	5988	0.002
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	147772142	147772337	2	-1.6676
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	147774791	152582700	1598	-0.003
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	152583051	152614118	36	1.2057
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	152618018	152789447	168	-0.022
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	152789463	152796224	36	0.4644
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	152801429	153625804	587	0.0037
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	153626020	153629765	2	-1.6045
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	153630385	158896783	3014	-0.0025
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	158898711	158899969	2	2.7152
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	158905028	196745743	25807	0.0008
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	196758720	196762956	4	-2.3731
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	196769493	199142235	1430	-0.0114
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	199142298	199143396	6	-1.1282
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	199143883	209897717	7388	0.0049
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	209908268	209908720	2	-2.2182
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	209910639	220771948	7539	0.0076
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	220772047	220777793	4	-1.0329
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	220779968	231790208	6994	-0.0006
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	231791154	231806916	10	-0.7193
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	231807819	248550567	12251	0.003
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	248572774	248633821	33	-0.7098
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	1	248633912	248930189	142	0.0272
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	2	12784	3684956	2566	0.014
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	2	3684997	3688948	4	-2.9916
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	2	3694481	24384085	15348	0.0072
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	2	24384113	24388259	14	-0.6904
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	2	24388858	34458223	6125	0.008
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	2	34460213	34512489	49	-0.38
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	2	34512965	52531615	12995	0.0026
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	2	52531630	52554384	31	-0.3948
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	2	52554404	116831010	35126	0.0006
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	2	116832191	116832277	2	-1.9645
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	2	116833669	122724137	3751	0.0004
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	2	122724152	122724665	6	-0.9658
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	2	122726077	127094445	2856	0.002
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	2	127099470	127100370	3	-1.5022
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	2	127101070	207490231	48390	-0.0021
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	2	207490454	207494612	16	-0.9074
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	2	207494752	212299318	3011	-0.0057
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	2	212299741	212316597	26	-0.3876
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	2	212321824	220582422	5306	-0.0004
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	2	220582835	220582869	2	-1.772
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	2	220583739	242147305	13716	0.0039
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	20930	16199049	12887	-0.0015
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	16199122	16199672	5	-2.5713
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	16199818	26570158	7094	-0.0046
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	26570176	26570394	4	-2.5105
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	26570407	37935926	7605	-0.0054
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	37940617	37945437	18	-0.9017
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	37945615	75372019	24982	0.004
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	75377956	75519398	60	-0.7571
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	75523398	75537654	6	0.1735
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	75546030	75606920	11	-0.6878
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	75620279	99218940	10952	-0.0054
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	99225614	99232990	41	-0.7593
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	99233548	125717394	16212	0.004
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	125724765	125739919	10	0.7294
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	125743486	130067366	2462	0.0003
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	130067443	130088081	32	0.4828
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	130088155	162405578	19967	0.0043
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	162419812	162424917	14	-0.8508
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	162426460	162501397	70	-0.0313
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	162501424	162524023	27	0.232
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	162524271	162773360	144	-0.0424
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	162774085	162777465	6	-0.744
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	162777833	162790480	10	0.0116
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	162794869	162908207	70	-1.4582
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	162908784	165322776	1313	-0.0216
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	165323075	165361821	63	-0.8406
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	165363857	193156958	17766	0.0051
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	193160113	193165114	20	-1.3596
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	193168646	195549253	1477	0.0271
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	195552392	195730018	38	0.5139
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	3	195733825	198169247	1176	0.0285
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	4	68929	9455251	5152	0.0001
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	4	9459504	9463248	3	1.5532
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	4	9469529	10389091	747	0.0306
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	4	10390730	10398887	15	-0.5777
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	4	10399044	14471010	3267	0.0002
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	4	14471052	14471463	2	-1.7739
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	4	14474829	34777340	13500	-0.0034
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	4	34777353	34819718	41	0.3259
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	4	34822561	62802116	15984	0.0017
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	4	62804218	62805944	8	-0.8514
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	4	62813912	63828222	556	-0.0181
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	4	63831751	63840033	20	-1.4087
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	4	63841863	63842540	8	-3.2187
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	4	63850713	65732515	1210	0.0069
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	4	65734438	65764047	39	0.6098
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	4	65764267	68354665	1596	-0.007
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	4	68361130	68663241	92	-0.3733
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	4	68671434	103824414	21355	-0.0032
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	4	103830473	103830480	5	-1.0199
44e329a4-e06a-4a1b-969d-b34ecc6b1d5a	4	103830487	115244712	6921	0.0032
