GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	62920	16855942	8691	0.0039
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	16863509	16934716	48	0.4774
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	16934753	72332927	34008	-0.0028
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	72336821	72343689	10	0.9177
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	72343748	72345465	6	0.2058
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	72346221	72542484	116	-0.0143
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	72546237	72620518	48	-0.3154
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	72622475	72696075	88	0.0386
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	72696548	72721923	21	-0.3361
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	72723206	73112233	196	-0.0074
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	73113314	73113959	4	-0.8727
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	73114116	73303097	95	-0.02
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	73303490	73310246	4	-0.8528
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	73310692	74226309	541	-0.0033
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	74233415	74249656	11	-0.626
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	74249782	94661145	13239	-0.0052
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	94665122	94665962	8	-0.8059
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	94666052	94669803	12	-1.4793
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	94669875	94687294	39	-0.9347
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	94689829	98126964	2118	-0.0009
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	98127074	98140176	9	-1.1242
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	98143810	102182382	2670	-0.0031
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	102182445	102375218	151	-0.2202
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	102376371	105506711	1577	-0.0239
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	105506766	105511711	6	-1.2623
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	105515824	109690949	2601	0.0015
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	109691609	109691788	2	-2.8549
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	109691933	109702376	6	-0.7016
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	109703504	110836951	849	-0.0217
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	110837128	110841332	19	-1.059
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	110841350	121148007	6163	0.0028
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	121154942	121451744	24	-0.363
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	121452740	143459641	63	-0.0057
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	143494500	144442098	131	-0.8115
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	144442342	152789447	2509	-0.0036
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	152789463	152796224	36	0.414
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	152801429	189117215	24308	0.0009
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	189117724	189123361	18	-0.5771
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	189127329	190065361	699	-0.0837
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	190065730	194479104	2932	-0.0029
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	194482281	194485888	2	-2.0546
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	194487886	195365991	539	-0.0362
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	195371103	195372597	5	-0.8867
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	195374152	196762956	910	-0.0255
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	196769493	196846661	57	-0.8349
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	196847600	199142298	1373	-0.0154
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	199142393	199143396	5	-1.4128
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	199143883	203196253	2689	-0.0145
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	203196983	203197823	2	-1.6971
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	203198554	204022145	520	0.0061
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	204027859	204028394	3	-1.0823
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	204028798	204407080	316	0.006
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	204413461	204414328	2	-2.5727
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	204417745	209897717	3858	-0.009
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	209908268	209910639	3	-2.2502
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	209913207	229675422	13014	0.0077
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	229681109	229684449	3	-3.429
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	229684709	243139864	10242	0.0044
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	243143622	243144364	2	-1.7753
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	1	243145889	248930189	3703	-0.004
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	12784	41011095	28890	-0.001
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	41011303	41011683	8	-1.5023
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	41011848	41024584	18	-0.5774
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	41024614	41388929	267	-0.0679
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	41389024	41394342	8	-0.8835
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	41395107	50098168	6148	-0.0032
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	50100924	51160353	809	-0.0824
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	51161000	52531803	942	-0.0115
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	52531878	52563002	30	-0.4813
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	52563355	53421312	722	-0.0522
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	53425578	56628177	2259	0.0146
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	56629696	57181856	386	-0.0714
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	57182221	57182700	7	-1.4735
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	57186947	57200292	14	-0.5588
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	57200704	57433773	135	0.0195
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	57433863	57442224	11	-0.4107
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	57444556	57615911	105	0.0151
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	57616214	57684620	57	-0.2596
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	57684732	59128368	883	0.0148
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	59128386	59128865	2	-1.5543
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	59129208	73627796	8923	0.0014
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	73628640	73684396	31	0.5272
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	73692070	76961580	2218	-0.0038
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	76961773	76970451	13	-0.751
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	76970793	89305244	6968	-0.0131
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	89896149	90309328	135	0.5694
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	91670923	97192190	910	-0.0083
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	97199600	97211436	14	-0.8953
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	97310327	113604438	9369	0.0045
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	113604837	113604839	2	-2.1606
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	113623244	114619777	612	0.0221
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	114622806	114643422	22	-0.759
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	114645637	125200136	6715	-0.0121
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	125201156	125242411	27	-0.4123
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	125242793	127084661	1173	0.0111
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	127084748	127101070	13	-0.5741
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	127103254	131458124	2348	-0.0028
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	131464435	131468795	3	-1.7533
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	131472229	146106861	9085	-0.0036
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	146106875	146120827	24	0.4794
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	146120842	155525107	5691	0.0001
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	155525447	155534378	9	-0.8915
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	155542112	183944067	17567	-0.0007
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	183946220	184286588	240	-0.0891
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	184290169	184306640	15	-0.5752
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	184309201	185255084	580	-0.073
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	185260011	185436134	90	0.0472
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	185437194	185870749	193	-0.2965
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	185876600	187272855	743	-0.0162
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	187273124	187275757	3	-1.734
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	187276963	192323721	2974	-0.0004
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	192325754	192340637	12	-0.6168
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	192342264	192865356	267	-0.0375
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	192865867	192873004	8	-0.7172
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	192876535	194764267	921	-0.0458
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	194770740	195326661	347	-0.2149
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	195341050	212299318	10271	0.0033
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	212299741	212316590	25	-0.5877
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	2	212316597	242147305	19018	0.0002
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	20930	2702004	2327	-0.071
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	2702206	7045070	3857	-0.021
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	7045315	7063876	20	-0.5373
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	7064683	20471276	9157	0.0003
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	20471956	22678735	1754	-0.0582
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	22678829	28538297	4135	-0.0106
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	28540581	28547383	4	-1.5959
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	28547838	31442209	2239	-0.0056
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	31443689	31443910	3	-1.8492
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	31446153	77513618	30273	0.0033
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	77514655	77547206	22	-0.6166
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	77547309	89826440	6796	-0.0229
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	89830775	89830994	2	-2.0031
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	89838281	104825564	6318	-0.011
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	104825635	104830046	6	-0.8909
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	104830124	105544264	468	-0.0605
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	105544780	105551377	12	-1.05
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	105551706	114936935	5699	-0.0055
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	114941745	114942097	6	-1.0347
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	114950103	130047743	9217	-0.0052
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	130057015	130087393	36	-0.3782
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	130088081	162773237	20209	-0.0071
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	162773276	162777833	9	-0.8451
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	162778121	162790480	9	0.0641
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	162794869	162916527	90	-1.475
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	162927179	163169139	159	-0.0229
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	163177451	163189111	18	-0.446
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	163189819	163254043	49	0.0311
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	163258345	163265408	6	-0.6418
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	163273076	163809435	247	0.0091
6f6e4c29-e7d5-4f6d-9f65-9c03da9532c7	3	163809988	163835966	12	-0.3757
