GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ad2e1eda-65f7-4895-9743-003de188cf0d	1	62920	462894	19	0.2493
ad2e1eda-65f7-4895-9743-003de188cf0d	1	599171	16863509	8659	-0.7718
ad2e1eda-65f7-4895-9743-003de188cf0d	1	16864367	16935752	54	0.1034
ad2e1eda-65f7-4895-9743-003de188cf0d	1	16949746	25256800	5246	-0.7713
ad2e1eda-65f7-4895-9743-003de188cf0d	1	25256850	25373504	43	-0.3551
ad2e1eda-65f7-4895-9743-003de188cf0d	1	25376228	39557105	7609	-0.7631
ad2e1eda-65f7-4895-9743-003de188cf0d	1	39559408	39560301	2	-3.4184
ad2e1eda-65f7-4895-9743-003de188cf0d	1	39561792	53083243	7358	-0.7545
ad2e1eda-65f7-4895-9743-003de188cf0d	1	53084515	119816579	44204	-0.7935
ad2e1eda-65f7-4895-9743-003de188cf0d	1	119817520	143927887	351	-0.6679
ad2e1eda-65f7-4895-9743-003de188cf0d	1	143928045	152583051	2315	0.0905
ad2e1eda-65f7-4895-9743-003de188cf0d	1	152583230	152613762	31	-1.6763
ad2e1eda-65f7-4895-9743-003de188cf0d	1	152613802	152614118	4	-0.6921
ad2e1eda-65f7-4895-9743-003de188cf0d	1	152618018	152787202	166	0.1277
ad2e1eda-65f7-4895-9743-003de188cf0d	1	152789447	152796224	37	-0.3928
ad2e1eda-65f7-4895-9743-003de188cf0d	1	152801429	161539085	5259	0.0977
ad2e1eda-65f7-4895-9743-003de188cf0d	1	161553345	161678447	12	0.6025
ad2e1eda-65f7-4895-9743-003de188cf0d	1	161678831	162391455	636	0.0892
ad2e1eda-65f7-4895-9743-003de188cf0d	1	162393314	174827267	8890	0.0619
ad2e1eda-65f7-4895-9743-003de188cf0d	1	174827418	174832702	16	-0.6507
ad2e1eda-65f7-4895-9743-003de188cf0d	1	174832716	196762956	14641	0.0588
ad2e1eda-65f7-4895-9743-003de188cf0d	1	196769493	196843377	55	-0.3353
ad2e1eda-65f7-4895-9743-003de188cf0d	1	196843400	196846661	2	-2.6646
ad2e1eda-65f7-4895-9743-003de188cf0d	1	196847600	197007448	103	0.1405
ad2e1eda-65f7-4895-9743-003de188cf0d	1	197014101	200815006	2418	0.0483
ad2e1eda-65f7-4895-9743-003de188cf0d	1	200815678	203322607	1657	0.0926
ad2e1eda-65f7-4895-9743-003de188cf0d	1	203323866	203373491	47	0.6355
ad2e1eda-65f7-4895-9743-003de188cf0d	1	203379543	209897717	4563	0.0897
ad2e1eda-65f7-4895-9743-003de188cf0d	1	209908268	209908720	2	-1.5296
ad2e1eda-65f7-4895-9743-003de188cf0d	1	209910639	227237600	11662	0.056
ad2e1eda-65f7-4895-9743-003de188cf0d	1	227238371	227238705	3	-1.1566
ad2e1eda-65f7-4895-9743-003de188cf0d	1	227241477	248586259	15178	0.0711
ad2e1eda-65f7-4895-9743-003de188cf0d	1	248589915	248633821	28	-0.5041
ad2e1eda-65f7-4895-9743-003de188cf0d	1	248633912	248930189	142	0.1313
ad2e1eda-65f7-4895-9743-003de188cf0d	2	12784	4158097	2987	0.0672
ad2e1eda-65f7-4895-9743-003de188cf0d	2	4166274	4175577	36	-2.3014
ad2e1eda-65f7-4895-9743-003de188cf0d	2	4175922	4176429	6	-0.7754
ad2e1eda-65f7-4895-9743-003de188cf0d	2	4182472	34466002	21057	0.0671
ad2e1eda-65f7-4895-9743-003de188cf0d	2	34474248	34502800	43	0.7853
ad2e1eda-65f7-4895-9743-003de188cf0d	2	34511446	40102263	4032	0.0708
ad2e1eda-65f7-4895-9743-003de188cf0d	2	40103135	40114558	13	-0.4322
ad2e1eda-65f7-4895-9743-003de188cf0d	2	40116643	52527743	8968	0.0706
ad2e1eda-65f7-4895-9743-003de188cf0d	2	52531615	52560811	34	-0.3946
ad2e1eda-65f7-4895-9743-003de188cf0d	2	52563002	97359885	23831	0.0589
ad2e1eda-65f7-4895-9743-003de188cf0d	2	97524284	97545726	9	-1.0244
ad2e1eda-65f7-4895-9743-003de188cf0d	2	97550415	106258266	5567	0.068
ad2e1eda-65f7-4895-9743-003de188cf0d	2	106263639	106268901	12	0.7483
ad2e1eda-65f7-4895-9743-003de188cf0d	2	106270799	113604438	3782	0.0745
ad2e1eda-65f7-4895-9743-003de188cf0d	2	113604837	113604839	2	-1.5385
ad2e1eda-65f7-4895-9743-003de188cf0d	2	113623244	116828073	1944	0.0577
ad2e1eda-65f7-4895-9743-003de188cf0d	2	116831010	116832277	3	-1.3442
ad2e1eda-65f7-4895-9743-003de188cf0d	2	116833669	117164729	193	0.1287
ad2e1eda-65f7-4895-9743-003de188cf0d	2	117165215	124288541	4681	0.0526
ad2e1eda-65f7-4895-9743-003de188cf0d	2	124292413	125684646	838	0.1087
ad2e1eda-65f7-4895-9743-003de188cf0d	2	125694074	125694336	2	1.3792
ad2e1eda-65f7-4895-9743-003de188cf0d	2	125694355	129977148	2808	0.0666
ad2e1eda-65f7-4895-9743-003de188cf0d	2	129979730	129979747	2	-1.4502
ad2e1eda-65f7-4895-9743-003de188cf0d	2	129987388	137655415	4358	0.0498
ad2e1eda-65f7-4895-9743-003de188cf0d	2	137655583	138326611	411	0.137
ad2e1eda-65f7-4895-9743-003de188cf0d	2	138330733	140340877	1247	0.057
ad2e1eda-65f7-4895-9743-003de188cf0d	2	140341259	158337510	10863	0.0381
ad2e1eda-65f7-4895-9743-003de188cf0d	2	158339622	158340259	2	-1.3877
ad2e1eda-65f7-4895-9743-003de188cf0d	2	158340376	183929673	15979	0.0451
ad2e1eda-65f7-4895-9743-003de188cf0d	2	183929787	183937714	16	-0.6987
ad2e1eda-65f7-4895-9743-003de188cf0d	2	183943862	207485315	13658	0.0506
ad2e1eda-65f7-4895-9743-003de188cf0d	2	207485467	207485538	3	-1.3779
ad2e1eda-65f7-4895-9743-003de188cf0d	2	207485595	216268297	5635	0.0403
ad2e1eda-65f7-4895-9743-003de188cf0d	2	216272406	218163166	1347	0.0827
ad2e1eda-65f7-4895-9743-003de188cf0d	2	218164187	232132796	8778	0.0546
ad2e1eda-65f7-4895-9743-003de188cf0d	2	232135680	242147305	6338	0.0946
ad2e1eda-65f7-4895-9743-003de188cf0d	3	20930	2727096	2356	0.1188
ad2e1eda-65f7-4895-9743-003de188cf0d	3	2727136	45738113	30146	0.0658
ad2e1eda-65f7-4895-9743-003de188cf0d	3	45738451	46751887	677	0.1285
ad2e1eda-65f7-4895-9743-003de188cf0d	3	46760327	46808099	40	-0.6284
ad2e1eda-65f7-4895-9743-003de188cf0d	3	46817989	54615352	3651	0.0957
ad2e1eda-65f7-4895-9743-003de188cf0d	3	54620500	60021971	3794	0.064
ad2e1eda-65f7-4895-9743-003de188cf0d	3	60021993	61142344	1212	0.1133
ad2e1eda-65f7-4895-9743-003de188cf0d	3	61145227	71465490	8026	0.0547
ad2e1eda-65f7-4895-9743-003de188cf0d	3	71466972	72375626	731	0.1101
ad2e1eda-65f7-4895-9743-003de188cf0d	3	72377861	75251919	1978	0.0479
ad2e1eda-65f7-4895-9743-003de188cf0d	3	75255933	75519398	117	0.0988
ad2e1eda-65f7-4895-9743-003de188cf0d	3	75523398	75547095	8	0.7307
ad2e1eda-65f7-4895-9743-003de188cf0d	3	75559488	76267190	290	0.0737
ad2e1eda-65f7-4895-9743-003de188cf0d	3	76279831	76791105	357	-0.9858
ad2e1eda-65f7-4895-9743-003de188cf0d	3	76800296	84649706	4323	0.034
ad2e1eda-65f7-4895-9743-003de188cf0d	3	84649839	84652985	16	-0.4157
ad2e1eda-65f7-4895-9743-003de188cf0d	3	84653010	95978170	4243	0.0492
ad2e1eda-65f7-4895-9743-003de188cf0d	3	95980237	95992162	10	-0.5988
ad2e1eda-65f7-4895-9743-003de188cf0d	3	95992193	124925477	17529	0.0523
ad2e1eda-65f7-4895-9743-003de188cf0d	3	124928839	125716589	469	0.0755
ad2e1eda-65f7-4895-9743-003de188cf0d	3	125717394	125739919	11	0.5409
ad2e1eda-65f7-4895-9743-003de188cf0d	3	125743486	129633593	2270	0.091
ad2e1eda-65f7-4895-9743-003de188cf0d	3	129634490	130044855	191	0.0408
ad2e1eda-65f7-4895-9743-003de188cf0d	3	130047743	130087393	37	-1.4606
ad2e1eda-65f7-4895-9743-003de188cf0d	3	130088081	143566923	8365	0.0653
ad2e1eda-65f7-4895-9743-003de188cf0d	3	143566958	143567132	4	1.4744
ad2e1eda-65f7-4895-9743-003de188cf0d	3	143567959	147176131	2295	0.0544
ad2e1eda-65f7-4895-9743-003de188cf0d	3	147177354	147306591	77	0.2167
ad2e1eda-65f7-4895-9743-003de188cf0d	3	147308093	147436251	48	0.0147
ad2e1eda-65f7-4895-9743-003de188cf0d	3	147437811	147623885	97	0.1909
ad2e1eda-65f7-4895-9743-003de188cf0d	3	147624495	156573543	5572	0.0567
ad2e1eda-65f7-4895-9743-003de188cf0d	3	156577552	156657736	64	0.5697
