GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	62920	1575421	210	-0.0327
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	1696479	1741164	15	-0.9298
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	1756148	16863509	8447	-0.0964
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	16864367	16898730	13	0.509
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	16898872	16909203	5	-0.4737
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	16909357	16935752	36	0.508
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	16949746	25256850	5240	-0.1053
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	25266637	25320455	24	-2.091
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	25336819	72297687	28622	-0.0985
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	72302735	72345465	48	1.0639
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	72346221	72354344	8	-0.1096
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	72356822	72357153	4	-0.8823
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	72362295	73113314	458	-0.0781
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	73113554	73113572	2	-1.7852
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	73113959	103616762	19473	-0.0888
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	103620877	103621165	2	2.2243
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	103697067	105470754	920	-0.0691
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	105476583	105479753	17	-1.7186
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	105481433	105756923	205	-0.0404
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	105763866	105773232	8	-1.2214
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	105778334	108951525	2072	-0.0862
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	108954232	108962290	16	-0.9823
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	108966266	109684695	327	-0.1352
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	109684893	109702376	15	-1.5876
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	109703504	110834953	833	-0.1019
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	110836273	110845604	34	-0.8601
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	110849445	112449193	1334	-0.0967
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	112449240	112449259	2	-1.5275
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	112452243	112600702	89	-0.1048
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	112602145	112615638	8	-1.1403
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	112620816	121450637	4727	-0.0996
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	121451744	148317150	1006	-0.0214
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	148318886	152583051	1488	-0.0989
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	152583230	152613762	31	-2.0716
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	152613802	152787202	169	-0.0624
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	152789447	152796224	37	-1.91
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	152801429	166206806	8912	-0.099
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	166215244	166225133	10	0.8425
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	166226465	196769493	20410	-0.0858
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	196769506	196846661	56	-0.6244
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	196847600	238584663	28509	-0.0956
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	238586809	238588637	6	-1.438
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	238589096	240203212	1257	-0.0872
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	240204207	240204222	2	-1.7241
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	240204475	240228440	33	-0.1076
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	240230715	240230824	5	-2.3414
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	240230839	248572774	5653	-0.0839
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	248574146	248661836	37	0.3065
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	248661962	248703602	32	-0.1468
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	248703943	248713007	5	-1.3429
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	1	248713850	248930189	99	0.006
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	2	12784	89305244	59698	-0.0798
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	2	89896149	89981062	12	-1.2152
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	2	89981175	90033606	25	-0.546
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	2	90033934	90224032	88	-0.9854
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	2	90228220	97359885	944	-0.0698
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	2	97524284	97560849	15	0.5949
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	2	97562741	106257550	5528	-0.0853
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	2	106258041	106268901	15	0.5404
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	2	106270799	132520967	15059	-0.0795
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	2	132521118	132545002	49	0.5654
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	2	132556272	183732349	31729	-0.0852
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	2	183738008	183738977	7	-1.1761
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	2	183743192	242147305	35746	-0.0826
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	20930	1875292	1663	0.4053
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	1876465	1879548	5	-1.0534
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	1881281	16197556	11168	0.3472
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	16199049	16199672	6	-0.9102
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	16199818	17499108	848	0.3262
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	17501710	17502521	2	-0.9967
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	17504946	17675775	58	0.2957
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	17680732	17682847	3	-0.9664
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	17683721	26384700	6051	0.3404
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	26392633	26397852	5	-0.8755
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	26404482	37935926	7720	0.3302
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	37940617	37945437	18	-0.853
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	37945615	46760327	5520	0.3264
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	46760374	46808099	39	-0.8396
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	46817989	59706817	7041	0.3197
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	59707671	61001899	1458	0.4031
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	61007946	75519398	10949	0.3282
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	75523398	75537654	6	-1.4289
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	75546030	95737262	9106	0.3406
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	95748036	95749266	2	-2.6081
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	95749836	114941745	11312	0.3268
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	114941761	114942097	5	-2.4901
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	114950103	143566923	17587	0.33
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	143566958	143567132	4	1.602
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	143567959	162760118	11827	0.3407
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	162761828	163008827	179	0.4953
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	163008889	173443991	6199	0.3409
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	173444122	173669590	158	0.51
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	173676425	175378757	1228	0.3236
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	175379493	175952648	357	0.4361
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	175956396	193156958	11088	0.3345
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	193160113	193165114	20	-1.0906
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	3	193168646	198169247	2686	0.3399
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	68929	10208766	5683	-0.0922
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	10221792	10232642	30	-2.1734
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	10232984	34784878	16932	-0.0874
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	34785333	34828250	38	0.3021
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	34828291	41403149	4339	-0.0948
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	41404113	41405550	17	-0.9284
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	41407153	68509237	15026	-0.0851
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	68509442	68686026	71	0.5447
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	68725894	69211220	284	-0.031
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	69217151	69366406	77	0.1697
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	69370433	142873236	44223	-0.0884
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	142873252	142879804	30	-0.9421
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	142879820	150963146	4518	-0.0924
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	150963148	150963158	3	-1.2861
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	150964975	155966937	3183	-0.0943
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	155967088	155967367	4	-1.4227
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	155969109	156000579	31	-0.1397
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	156006283	156029226	17	0.073
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	156030597	156052053	20	-0.9007
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	156053545	160952788	3050	-0.0847
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	160952848	160963448	21	0.4677
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	160963756	171466542	6666	-0.0843
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	171467330	171467577	2	-1.6047
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	171467670	172501371	629	-0.081
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	172503796	172507492	7	1.1799
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	4	172519981	190106768	11790	-0.0677
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	15532	698390	309	-0.0247
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	717264	773453	24	0.7043
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	779766	24777997	17207	-0.0778
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	24778267	24781719	15	-1.0379
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	24786817	25378853	334	-0.002
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	25384764	33942580	5530	-0.0914
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	33943487	34848721	518	-0.0221
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	34852416	34853906	2	-2.6962
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	34857340	58033703	11685	-0.0888
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	58033756	58037706	27	-0.5435
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	58042530	69550476	7260	-0.0858
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	69571467	71095358	24	0.4985
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	71095426	104515520	19439	-0.0848
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	104524672	104524903	4	2.6826
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	104525348	156318017	33476	-0.0933
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	156318895	156318929	2	-2.3744
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	156321894	175946505	13837	-0.0905
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	175960543	175966609	3	1.6807
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	175966747	179678022	1804	-0.0935
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	179678136	179678327	4	0.995
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	179681196	180706426	566	-0.0908
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	180708579	180789249	76	0.0927
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	180789266	180947523	74	-0.11
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	180951710	180991103	19	0.4131
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	5	181006225	181363319	169	-0.0993
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	6	149661	265113	106	-0.0307
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	6	265143	381149	96	0.439
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	6	382559	6025978	4621	-0.0926
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	6	6033698	6034203	3	-3.671
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	6	6036812	29882589	16758	-0.0951
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	6	29882603	29931120	12	-1.3136
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	6	29931900	31395153	717	-0.0946
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	6	31398092	31483699	81	-1.0838
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	6	31488057	103286954	42720	-0.0854
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	6	103290101	103314186	46	0.8459
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	6	103317795	170741917	43974	-0.0919
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	43355	3683635	1731	0.3472
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	3683730	3688126	3	-1.0782
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	3688254	5895161	1318	0.3376
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	5897269	5999094	17	-0.2576
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	5999270	22395161	12943	0.3468
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	22395853	22396868	2	-2.3678
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	22399135	72842566	29638	0.3391
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	72853922	76532105	988	0.2681
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	76550397	77080295	161	1.0242
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	77082598	88455724	7362	0.3648
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	88455825	89273543	578	0.4235
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	89273946	89277217	4	-0.7935
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	89277793	90184679	573	0.4544
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	90184849	91578827	987	0.3415
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	91589569	91589648	2	-1.2635
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	91589817	91728539	95	0.2601
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	91728554	91729225	4	-0.8529
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	91729456	97610688	3633	0.3529
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	97622926	97628857	5	-0.5318
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	97631663	97766148	103	0.3335
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	97766150	97766159	5	1.3821
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	97766194	122093330	14008	0.3546
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	122094880	122160338	31	-0.302
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	122163643	126404920	2589	0.3677
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	126405428	126406823	14	-0.9971
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	126406824	142040521	9887	0.3481
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	142049550	142092108	49	0.7128
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	142092307	142345098	188	0.4215
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	142347278	142356375	8	-0.3294
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	142356827	144176859	1003	0.393
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	144199159	144336758	14	1.1624
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	7	144343967	159334314	9618	0.3708
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	8	81254	2844412	2025	-0.0672
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	8	2846011	2846377	7	-1.4156
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	8	2849649	4140085	1638	-0.0561
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	8	4141366	4146769	28	-0.8949
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	8	4146976	7329124	3986	-0.0623
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	8	7336299	7775900	38	0.448
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	8	7788805	7890177	8	-0.5798
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	8	7919608	13754665	4333	-0.0703
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	8	13757208	13794213	46	-1.054
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	8	13795675	25116928	9251	-0.0837
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	8	25116961	25126818	26	-2.5372
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	8	25133589	39349476	8947	-0.091
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	8	39349835	39505427	64	0.2934
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	8	39511389	43558812	2529	-0.1017
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	8	43559012	46524713	201	0.1242
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	8	46524995	71300130	15119	-0.0799
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	8	71303076	71304364	8	-1.184
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	8	71307628	145072769	46811	-0.0841
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	9	46587	5384069	5461	-0.0747
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	9	5385783	5398011	20	-1.0341
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	9	5406118	41473331	25636	-0.0825
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	9	41473518	42037471	33	0.4741
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	9	42042339	42179276	19	-0.3406
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	9	42202227	60889708	62	0.1457
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	9	60893611	61405110	10	-0.7536
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	9	61520021	61633080	29	0.6659
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	9	61647899	63580418	39	-0.1225
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	9	63590317	63592813	7	1.188
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	9	63614182	69413658	991	-0.0966
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	9	69420283	69434112	16	1.114
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	9	69434688	133307114	44529	-0.0943
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	9	133307129	133316305	6	0.9787
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	9	133316321	136161669	1566	-0.0941
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	9	136164933	136166877	3	-2.4172
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	9	136167429	136532614	105	-0.1003
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	9	136536903	136537300	3	-2.7012
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	9	136539349	138177075	586	-0.0703
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	9	138177488	138200944	6	0.9713
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	10	45792	33671910	25938	-0.1005
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	10	33674094	33674225	2	-4.2947
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	10	33677193	50132160	7341	-0.091
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	10	50144008	50178219	3	1.6416
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	10	50210870	53904245	2847	-0.083
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	10	53904266	53905230	2	-2.6123
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	10	53914357	87216840	22490	-0.088
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	10	87269486	87286741	3	1.8426
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	10	87310039	87321646	6	-0.8496
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	10	87325208	88613353	900	-0.1078
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	10	88614088	88614881	3	-1.5542
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	10	88617220	122574497	22849	-0.0982
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	10	122584593	122591497	6	1.4528
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	10	122597296	133654968	7862	-0.085
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	11	198510	3465494	1289	-0.1065
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	11	3466435	3467311	3	-3.6331
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	11	3485296	4949047	1120	-0.0715
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	11	4949064	4955042	27	0.4049
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	11	4955781	5500921	530	-0.0732
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	11	5500945	5503234	7	-0.863
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	11	5503922	5762693	236	-0.0976
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	11	5766175	5788108	34	-0.6514
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	11	5788231	18919323	9371	-0.0929
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	11	18927525	18939734	36	0.471
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	11	18939749	48351028	20408	-0.0912
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	11	48352939	49002025	226	0.0709
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	11	49007426	55606556	1045	-0.0575
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	11	55606572	55693207	60	-0.6883
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	11	55693312	73766000	9217	-0.0985
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	11	73781428	73788869	4	-1.8351
fd3512b6-6c61-44d4-9cd3-a2f080c11c6d	11	73791715	80251512	3965	-0.0944
