GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	62920	72303233	42397	-0.0027
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	72303253	72345465	45	-1.1277
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	72346221	103616762	19842	0.0031
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	103620877	103761017	9	1.0333
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	103764621	112154251	5491	0.0011
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	112154341	112163334	11	0.7826
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	112163438	147531237	5782	0.0006
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	147531740	147536565	2	2.2162
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	147536979	148982724	310	0.0324
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	148986777	148986798	2	2.0695
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	148986936	152583291	1434	-0.0058
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	152583319	152600940	20	-1.4685
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	152602773	152606992	4	1.1095
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	152607145	152613762	5	-1.7527
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	152613802	169247699	11356	0.0015
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	169264736	169272528	7	-2.4468
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	169273163	196737547	17992	0.0016
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	196737736	196832312	64	0.6194
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	196832525	202598425	3646	0.0014
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	202598585	202598658	2	2.4363
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	202599414	227238371	16580	0.0002
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	227238504	227238705	2	-4.2064
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	227241477	243143622	11524	-0.0068
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	243144364	243189078	15	0.7399
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	1	243190549	248930189	3660	0.0158
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	2	12784	34466002	23862	-0.0042
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	2	34474248	34511990	46	-1.4436
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	2	34512096	52514599	12852	0.005
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	2	52516787	52563002	43	0.5265
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	2	52563355	75650686	14739	0.0053
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	2	75654013	75654151	3	1.9571
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	2	75654702	127099470	26649	0.007
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	2	127100187	127100370	2	2.4322
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	2	127101070	179548644	31666	0.005
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	2	179553484	179556770	22	-1.0941
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	2	179556785	228668779	29926	0.009
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	2	228669911	228671135	2	-4.1064
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	2	228673045	242147305	8250	-0.0132
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	3	20930	52994359	35384	-0.0018
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	3	52997720	53005439	40	-0.639
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	3	53005473	89357875	24447	0.003
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	3	89357888	89370231	36	-0.5973
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	3	89370771	95737262	1367	-0.0026
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	3	95748036	95749266	2	-2.7488
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	3	95749836	99218940	1832	0.0087
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	3	99225614	99230470	37	0.4164
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	3	99230577	132270503	19973	-0.0028
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	3	132273893	132276840	4	-1.9384
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	3	132281633	162790404	18652	-0.0018
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	3	162790480	162898127	65	0.5583
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	3	162906054	162996729	77	-0.1119
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	3	162999939	163001774	2	-3.2817
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	3	163008371	198169247	21593	-0.0047
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	68929	10208670	5644	-0.0101
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	10208766	10229173	23	-1.1892
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	10229188	10239089	19	-0.0967
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	10242989	10243331	2	1.9246
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	10244274	34764075	16787	-0.0015
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	34764149	34839742	59	0.4344
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	34839764	63823000	16377	-0.0002
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	63825160	63851308	35	0.5125
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	63852325	68472744	2842	0.0021
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	68472846	68655691	74	0.4912
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	68663241	69278088	322	-0.0033
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	69283159	69366081	40	-0.4999
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	69366304	94924355	15450	-0.0052
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	94924481	94925319	2	1.9599
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	94926863	103824414	5345	-0.0056
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	103830473	103830480	5	1.6422
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	103830487	114252544	6248	-0.004
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	114254167	114261019	23	-1.4348
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	114263073	154881396	23801	0.0006
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	154881853	154881926	3	-2.9642
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	154882047	160952848	3873	0.0076
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	160958866	160963756	21	-2.0876
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	4	160963767	190106768	18965	-0.0011
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	5	15532	12819201	10086	-0.0118
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	5	12819263	12826538	8	-1.338
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	5	12833745	113602964	57905	0.0026
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	5	113607668	113608386	2	-2.7491
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	5	113610269	165561846	33286	-0.0067
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	5	165565854	165569225	3	-1.85
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	5	165569460	176033084	7761	-0.0075
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	5	176038686	176042504	2	-2.1017
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	5	176043321	181363319	2692	-0.0246
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	6	149661	73882142	46541	-0.002
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	6	73882741	73887625	8	-2.4859
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	6	73891694	76318064	1491	0.0056
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	6	76323236	76323472	2	1.7348
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	6	76323492	76719514	256	-0.0196
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	6	76719978	76742924	22	0.6068
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	6	76742956	78261995	974	-0.0008
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	6	78262064	78315948	86	0.484
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	6	78316204	113900791	21988	-0.0031
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	6	113903677	113903852	2	-2.3777
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	6	113904647	166258230	34306	-0.0025
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	6	166258275	170279219	2592	-0.0614
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	6	170279382	170741917	214	0.0321
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	7	43355	7524293	3936	-0.0249
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	7	7525049	19666948	9916	0.017
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	7	19667349	38239007	13241	-0.0131
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	7	38239282	38338324	118	-0.4886
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	7	38338544	91728554	28822	-0.003
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	7	91728979	91729225	3	2.1001
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	7	91729456	126405597	20275	-0.0017
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	7	126405632	126406824	12	1.127
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	7	126406825	155608201	18285	-0.0069
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	7	155608214	155610474	2	-2.3948
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	7	155610555	159334314	2346	-0.042
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	8	81254	4218866	3825	-0.0165
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	8	4219153	4219236	2	2.6205
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	8	4219668	16412585	10611	-0.0023
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	8	16412600	16416322	7	-1.3054
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	8	16416463	19676584	2913	-0.0072
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	8	19676746	19702104	15	-0.6215
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	8	19703631	25116961	3870	-0.0102
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	8	25117007	25126735	24	-0.5865
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	8	25126818	39368369	8921	-0.0031
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	8	39368422	39529446	65	0.717
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	8	39530780	71300130	17744	-0.0011
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	8	71303076	71304364	8	-1.5941
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	8	71307628	111282417	23864	0.0032
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	8	111282441	111283031	6	-1.5772
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	8	111288052	114622424	1807	0.0063
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	8	114622438	114623472	10	-0.9336
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	8	114626121	140727624	18958	-0.0028
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	8	140728488	142445166	1001	-0.1119
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	8	142447039	145072769	930	-0.0262
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	9	46587	22492890	19596	0.0111
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	9	22501914	22502700	2	-2.5336
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	9	22509341	23363117	576	0.0178
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	9	23363935	23372401	6	-2.3244
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	9	23373486	40018947	10643	0.0094
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	9	40099591	41639988	85	0.409
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	9	41644133	42046831	17	-0.0767
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	9	42073850	42501791	30	0.9962
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	9	42524983	61405110	59	0.0178
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	9	61520021	61598577	23	-0.8067
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	9	61600648	61629689	5	-2.3829
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	9	61633080	137358495	47188	0.0008
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	9	137361190	137361266	2	-2.2613
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	9	137361381	138200944	406	0.0132
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	10	45792	16754920	13894	-0.0109
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	10	16755034	16758119	3	-2.1695
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	10	16761948	46522514	17443	-0.0015
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	10	46522571	46526280	15	0.7214
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	10	46526920	65546518	12582	0.005
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	10	65548165	65554672	26	-1.8951
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	10	65554688	87310039	14308	-0.0098
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	10	87310988	87357543	12	-0.829
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	10	87371433	126544662	26389	0.001
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	10	126544961	126545432	2	-2.3559
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	10	126545998	133654968	5070	-0.0275
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	11	198510	4946166	2390	0.0049
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	11	4946420	4952799	26	-1.5215
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	11	4953934	55552358	31643	0.0044
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	11	55552372	55835764	203	0.2267
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	11	55835993	92097323	20972	0.0023
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	11	92097492	92097877	2	2.144
9d0adcfd-dc29-4591-84ce-9ba9b1f7bd3a	11	92099538	97999638	4255	-0.0133
