GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	1	62920	72284670	42767	-0.1372
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	1	72290430	72302815	11	-0.8193
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	1	72303233	72345465	46	0.4702
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	1	72346221	112147704	25558	-0.139
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	1	112153343	112154754	24	-0.5628
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	1	112154768	115347888	2022	-0.1385
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	1	115351964	115352679	2	1.7334
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	1	115352756	152787202	5781	-0.1306
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	1	152789447	152804279	39	0.2505
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	1	152805967	196769638	29450	-0.1384
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	1	196769652	196789019	29	-0.7302
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	1	196789029	196873141	45	-0.2902
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	1	196874041	196878845	16	-0.9905
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	1	196884220	199142298	1341	-0.137
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	1	199142393	199143883	6	-1.1003
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	1	199144712	241028720	29170	-0.139
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	1	241031375	241051973	19	-1.0042
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	1	241054463	248471839	5038	-0.124
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	1	248473963	248626391	43	0.2381
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	1	248626572	248930189	148	-0.1129
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	12784	8348481	6575	0.2758
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	8349008	24376380	11353	0.2472
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	24378642	24388259	19	-0.6771
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	24388858	27216883	1405	0.244
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	27218434	27218632	3	-0.9235
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	27219036	32826462	3439	0.2528
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	32827119	32827696	3	-0.919
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	32828621	34295406	1190	0.2616
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	34298911	34300513	2	-1.7647
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	34300900	35612669	897	0.2593
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	35618352	35867092	218	0.4025
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	35869827	50634312	10730	0.2512
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	50636075	50705683	59	0.4514
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	50710390	50990776	183	0.2911
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	50994438	51108797	91	0.4221
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	51108891	52527330	964	0.2643
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	52527342	52554404	39	-2.5762
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	52560811	86710564	21907	0.2495
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	86725947	86743283	3	-1.1909
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	86744622	87286164	128	0.1743
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	87287256	87295819	3	-1.235
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	87299357	87328495	11	0.0451
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	87328818	87476789	17	0.4636
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	87487629	87516162	8	0.0697
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	87519870	87546272	8	-0.485
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	87551361	113694307	11152	0.2474
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	113695369	113696303	3	-1.2817
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	113696452	133062302	11754	0.2548
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	133066269	133081215	15	-0.9528
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	133081800	146103818	8226	0.2441
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	146103836	146121420	38	0.5834
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	146122686	179546276	20470	0.2414
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	179546414	179554912	14	-0.1604
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	179554927	179555716	3	-0.9746
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	179555909	179557394	16	-0.2192
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	2	179557410	242147305	38538	0.2435
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	20930	4046103	3619	-0.106
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	4047125	4055218	24	-1.1129
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	4056262	84650033	54057	-0.1357
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	84650533	84652985	14	-0.7038
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	84653010	99225667	5980	-0.1434
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	99225703	99230470	34	-0.5699
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	99230577	130067097	18715	-0.1446
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	130067366	130079892	26	0.5841
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	130079938	162794951	20271	-0.1377
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	162795304	162810842	11	0.5049
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	162812527	162815162	3	-0.5623
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	162816942	162822702	6	-1.6014
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	162827928	162906109	46	0.2982
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	162908192	162908815	4	-1.454
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	162910826	162996729	70	-0.0324
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	162999939	163001774	2	-2.7095
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	163008371	189642965	16588	-0.1426
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	189645889	189646849	11	-0.8529
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	189653199	191052713	1010	-0.1397
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	191067963	191071523	7	-1.159
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	191071937	193160113	1470	-0.1525
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	193160173	193165114	19	0.8741
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	3	193168646	198169247	2692	-0.1278
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	68929	9858273	5324	0.2744
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	9858277	9862603	3	-1.1924
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	9863418	10208670	377	0.3047
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	10208766	10233644	37	0.7333
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	10234518	10390730	172	0.3084
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	10391530	10399044	15	-0.5811
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	10401094	34777432	16784	0.269
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	34784878	34801128	19	-0.4324
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	34802444	49214614	8992	0.2677
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	49289175	51819827	23	-0.2519
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	51819878	63827261	7560	0.2614
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	63828222	63850713	30	-0.4017
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	63851308	68394355	2853	0.2598
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	68394833	68418873	4	-0.6496
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	68422420	68639397	82	0.6306
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	68640616	103702737	21292	0.261
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	103703506	103707001	3	-0.9551
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	103713362	126108933	13496	0.2567
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	126109429	126109450	2	-1.6995
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	126110085	137168393	6147	0.2731
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	137170949	137173818	18	-0.6202
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	137173967	171448195	21393	0.2591
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	171453733	171456573	11	-0.6947
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	171456625	188003825	11148	0.2784
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	188007288	188017080	13	-1.0924
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	188017236	188300104	180	0.3185
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	188300206	188300270	3	1.9931
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	4	188300285	190106768	1140	0.3004
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	5	15532	27521042	19239	-0.1313
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	5	27524345	27525913	11	-0.7563
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	5	27527372	39808530	8106	-0.1476
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	5	39808852	39808867	2	-2.0514
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	5	39808883	99136916	32144	-0.1456
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	5	99136958	100364227	712	-0.0718
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	5	100367918	152134610	33155	-0.1473
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	5	152135825	152140710	15	-0.7801
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	5	152140861	180947484	19272	-0.1375
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	5	180947523	181006264	22	0.5513
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	5	181015400	181363319	168	-0.1101
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	6	149661	6025978	4843	-0.1365
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	6	6033698	6036812	4	-1.272
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	6	6039980	29869295	16795	-0.1436
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	6	29869410	29881490	16	-1.0447
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	6	29882419	31313046	663	-0.1327
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	6	31318499	31328674	11	-1.4711
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	6	31342147	32722250	607	-0.0988
94fca3b8-b1f4-4136-b59c-f40dd8a3eacb	6	32723020	32723035	2	1.9605
