GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	62920	86341	11	-0.8007
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	98588	16864367	8687	0.0045
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	16868660	16935752	53	-0.5035
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	16949746	34626073	10233	0.0024
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	34637053	34638878	19	-0.5242
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	34638890	72303233	23741	0.0015
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	72303253	72345465	45	-1.6432
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	72346221	109677464	23548	-0.0011
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	109677968	109697556	18	-0.5559
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	109702376	112153651	1951	0.0061
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	112153686	112154768	21	-0.5284
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	112163334	114138722	1185	-0.0044
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	114139310	114139458	3	-0.9531
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	114141797	118548353	2861	0.0059
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	118550453	118551612	2	1.37
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	118553180	144442342	1233	0.0196
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	144445555	144503849	9	-0.7849
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	144503864	152602773	2318	0.0028
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	152602985	152614100	11	0.5965
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	152614118	152795027	190	0.0171
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	152795141	152796094	13	0.5664
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	152796224	163816395	7001	-0.0007
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	163820064	163826893	2	1.296
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	163832307	169247699	4270	0.0019
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	169264736	169273163	8	0.8194
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	169285639	179361393	6598	0.008
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	179362247	179364180	3	-1.9751
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	179370071	187746723	5586	-0.0051
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	187748429	187752238	2	-2.114
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	187755479	195673786	5234	-0.0018
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	195675499	195677918	2	-1.8855
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	1	195680112	248930189	36535	-0.0021
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	2	12784	4158097	2984	-0.0119
b1b1ac3a-cfc1-42d8-a5ed-f4b562722aa1	2	4166274	4172353	27	-0.8014
