GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c7003700-aadc-4610-9e3c-66957cdf36dc	1	62920	1055037	79	-0.3232
c7003700-aadc-4610-9e3c-66957cdf36dc	1	1055137	1083324	5	-2.2539
c7003700-aadc-4610-9e3c-66957cdf36dc	1	1093675	2422250	374	-0.2226
c7003700-aadc-4610-9e3c-66957cdf36dc	1	2424341	2438059	4	-1.3914
c7003700-aadc-4610-9e3c-66957cdf36dc	1	2461209	16719266	8219	-0.2567
c7003700-aadc-4610-9e3c-66957cdf36dc	1	16721701	16864367	19	0.1736
c7003700-aadc-4610-9e3c-66957cdf36dc	1	16868660	16935752	53	-0.722
c7003700-aadc-4610-9e3c-66957cdf36dc	1	16949746	25256850	5258	-0.2477
c7003700-aadc-4610-9e3c-66957cdf36dc	1	25266637	25320198	22	-1.0346
c7003700-aadc-4610-9e3c-66957cdf36dc	1	25320253	54624527	16000	-0.2416
c7003700-aadc-4610-9e3c-66957cdf36dc	1	54627618	54628716	2	-1.8964
c7003700-aadc-4610-9e3c-66957cdf36dc	1	54630777	59983477	4243	-0.2443
c7003700-aadc-4610-9e3c-66957cdf36dc	1	59986043	59986190	2	-1.6072
c7003700-aadc-4610-9e3c-66957cdf36dc	1	59986245	72302815	8471	-0.2405
c7003700-aadc-4610-9e3c-66957cdf36dc	1	72303233	72345465	46	-1.3601
c7003700-aadc-4610-9e3c-66957cdf36dc	1	72346221	89009572	10935	-0.24
c7003700-aadc-4610-9e3c-66957cdf36dc	1	89012275	89012522	2	-2.0415
c7003700-aadc-4610-9e3c-66957cdf36dc	1	89015841	93646157	2723	-0.2296
c7003700-aadc-4610-9e3c-66957cdf36dc	1	93651867	93651876	2	-1.9091
c7003700-aadc-4610-9e3c-66957cdf36dc	1	93651916	95208293	1182	-0.2525
c7003700-aadc-4610-9e3c-66957cdf36dc	1	95209154	95210962	3	-1.2596
c7003700-aadc-4610-9e3c-66957cdf36dc	1	95214568	103557298	5147	-0.2316
c7003700-aadc-4610-9e3c-66957cdf36dc	1	103560166	103697364	34	0.1164
c7003700-aadc-4610-9e3c-66957cdf36dc	1	103717410	105476583	920	-0.2439
c7003700-aadc-4610-9e3c-66957cdf36dc	1	105476614	105479738	15	0.552
c7003700-aadc-4610-9e3c-66957cdf36dc	1	105479753	109690431	2639	-0.2395
c7003700-aadc-4610-9e3c-66957cdf36dc	1	109690640	109697556	10	1.4455
c7003700-aadc-4610-9e3c-66957cdf36dc	1	109702376	112153343	1950	-0.2244
c7003700-aadc-4610-9e3c-66957cdf36dc	1	112153465	112154768	24	0.2241
c7003700-aadc-4610-9e3c-66957cdf36dc	1	112163334	146150530	5469	-0.2375
c7003700-aadc-4610-9e3c-66957cdf36dc	1	146161924	146250588	3	-1.6764
c7003700-aadc-4610-9e3c-66957cdf36dc	1	146716041	152583230	2130	-0.2216
c7003700-aadc-4610-9e3c-66957cdf36dc	1	152583291	152613762	30	-1.6981
c7003700-aadc-4610-9e3c-66957cdf36dc	1	152613802	152789447	171	-0.2704
c7003700-aadc-4610-9e3c-66957cdf36dc	1	152789463	152796224	36	-1.3279
c7003700-aadc-4610-9e3c-66957cdf36dc	1	152801429	165422145	8304	-0.2367
c7003700-aadc-4610-9e3c-66957cdf36dc	1	165422714	165423392	3	-2.6479
c7003700-aadc-4610-9e3c-66957cdf36dc	1	165424608	169247699	2969	-0.2433
c7003700-aadc-4610-9e3c-66957cdf36dc	1	169264736	169272528	6	-2.2853
c7003700-aadc-4610-9e3c-66957cdf36dc	1	169273163	196741937	18168	-0.2373
c7003700-aadc-4610-9e3c-66957cdf36dc	1	196742057	196832525	60	0.1871
c7003700-aadc-4610-9e3c-66957cdf36dc	1	196832720	248446755	35600	-0.2461
c7003700-aadc-4610-9e3c-66957cdf36dc	1	248447206	248473963	10	-0.7998
c7003700-aadc-4610-9e3c-66957cdf36dc	1	248475325	248572774	16	-0.1301
c7003700-aadc-4610-9e3c-66957cdf36dc	1	248574146	248631163	30	0.1263
c7003700-aadc-4610-9e3c-66957cdf36dc	1	248631988	248930189	144	-0.2566
c7003700-aadc-4610-9e3c-66957cdf36dc	2	12784	3680971	2566	0.0892
c7003700-aadc-4610-9e3c-66957cdf36dc	2	3684956	3685683	4	-1.2085
c7003700-aadc-4610-9e3c-66957cdf36dc	2	3688948	4158097	415	0.1099
c7003700-aadc-4610-9e3c-66957cdf36dc	2	4166274	4176243	41	-0.2849
c7003700-aadc-4610-9e3c-66957cdf36dc	2	4176429	9037075	4015	0.1022
c7003700-aadc-4610-9e3c-66957cdf36dc	2	9045183	9045247	2	-1.0914
c7003700-aadc-4610-9e3c-66957cdf36dc	2	9048359	27216883	12309	0.0975
c7003700-aadc-4610-9e3c-66957cdf36dc	2	27218434	27218632	3	-1.2922
c7003700-aadc-4610-9e3c-66957cdf36dc	2	27219036	40105711	8808	0.103
c7003700-aadc-4610-9e3c-66957cdf36dc	2	40108270	40108736	3	-1.2074
c7003700-aadc-4610-9e3c-66957cdf36dc	2	40109500	41011848	779	0.0778
c7003700-aadc-4610-9e3c-66957cdf36dc	2	41015457	41018747	13	-0.4399
c7003700-aadc-4610-9e3c-66957cdf36dc	2	41024093	52514599	8176	0.1032
c7003700-aadc-4610-9e3c-66957cdf36dc	2	52516787	52554404	41	-0.6517
c7003700-aadc-4610-9e3c-66957cdf36dc	2	52560811	57167767	3349	0.0975
c7003700-aadc-4610-9e3c-66957cdf36dc	2	57174909	57218336	69	1.3359
c7003700-aadc-4610-9e3c-66957cdf36dc	2	57220263	86710564	18497	0.0969
c7003700-aadc-4610-9e3c-66957cdf36dc	2	86725947	86726731	2	-1.3473
c7003700-aadc-4610-9e3c-66957cdf36dc	2	86743283	97350393	1919	0.1048
c7003700-aadc-4610-9e3c-66957cdf36dc	2	97350874	97552143	21	0.4696
c7003700-aadc-4610-9e3c-66957cdf36dc	2	97556965	113604438	9362	0.1025
c7003700-aadc-4610-9e3c-66957cdf36dc	2	113604837	113623244	3	-1.1138
c7003700-aadc-4610-9e3c-66957cdf36dc	2	113625975	130539652	10601	0.1015
c7003700-aadc-4610-9e3c-66957cdf36dc	2	130560276	130560478	2	-1.2786
c7003700-aadc-4610-9e3c-66957cdf36dc	2	130720375	146104517	9419	0.1022
c7003700-aadc-4610-9e3c-66957cdf36dc	2	146106836	146109366	24	-0.3587
c7003700-aadc-4610-9e3c-66957cdf36dc	2	146120238	207090434	36690	0.1031
c7003700-aadc-4610-9e3c-66957cdf36dc	2	207092513	207092627	2	-1.3972
c7003700-aadc-4610-9e3c-66957cdf36dc	2	207092671	207485467	270	0.0982
c7003700-aadc-4610-9e3c-66957cdf36dc	2	207485523	207485538	2	-1.1821
c7003700-aadc-4610-9e3c-66957cdf36dc	2	207485595	242147305	22099	0.0959
c7003700-aadc-4610-9e3c-66957cdf36dc	3	20930	6604856	5817	0.1286
c7003700-aadc-4610-9e3c-66957cdf36dc	3	6609441	6611645	23	-2.7165
c7003700-aadc-4610-9e3c-66957cdf36dc	3	6613391	130044016	76598	0.11
c7003700-aadc-4610-9e3c-66957cdf36dc	3	130044855	130079892	32	0.6978
c7003700-aadc-4610-9e3c-66957cdf36dc	3	130079938	162794951	20271	0.1112
c7003700-aadc-4610-9e3c-66957cdf36dc	3	162795304	162911124	75	0.5059
c7003700-aadc-4610-9e3c-66957cdf36dc	3	162911782	193160113	19155	0.1098
c7003700-aadc-4610-9e3c-66957cdf36dc	3	193160173	193165114	19	0.7397
c7003700-aadc-4610-9e3c-66957cdf36dc	3	193168646	198169247	2694	0.0883
c7003700-aadc-4610-9e3c-66957cdf36dc	4	68929	780829	266	0.0472
c7003700-aadc-4610-9e3c-66957cdf36dc	4	783123	788513	3	-1.2085
c7003700-aadc-4610-9e3c-66957cdf36dc	4	800143	9450197	4889	0.0859
c7003700-aadc-4610-9e3c-66957cdf36dc	4	9455251	9477699	7	-1.1553
c7003700-aadc-4610-9e3c-66957cdf36dc	4	9484440	10208766	540	0.0494
c7003700-aadc-4610-9e3c-66957cdf36dc	4	10212536	10232590	30	1.1491
c7003700-aadc-4610-9e3c-66957cdf36dc	4	10232642	10389091	177	0.072
c7003700-aadc-4610-9e3c-66957cdf36dc	4	10390730	10399044	16	-1.9071
c7003700-aadc-4610-9e3c-66957cdf36dc	4	10401094	34784878	16784	0.0926
c7003700-aadc-4610-9e3c-66957cdf36dc	4	34785333	34823103	37	-0.832
c7003700-aadc-4610-9e3c-66957cdf36dc	4	34828250	61071220	15050	0.0924
c7003700-aadc-4610-9e3c-66957cdf36dc	4	61075217	61076234	2	-1.2826
c7003700-aadc-4610-9e3c-66957cdf36dc	4	61079968	63801319	1482	0.1043
c7003700-aadc-4610-9e3c-66957cdf36dc	4	63802537	63861672	58	0.3048
c7003700-aadc-4610-9e3c-66957cdf36dc	4	63865087	68354665	2839	0.0891
c7003700-aadc-4610-9e3c-66957cdf36dc	4	68361130	68422424	12	0.8096
c7003700-aadc-4610-9e3c-66957cdf36dc	4	68429081	68506285	12	-0.0084
c7003700-aadc-4610-9e3c-66957cdf36dc	4	68509223	68623617	66	-0.4724
c7003700-aadc-4610-9e3c-66957cdf36dc	4	68639397	105609646	22424	0.0991
c7003700-aadc-4610-9e3c-66957cdf36dc	4	105610587	105610601	2	-1.2947
c7003700-aadc-4610-9e3c-66957cdf36dc	4	105610781	114254167	5261	0.1006
c7003700-aadc-4610-9e3c-66957cdf36dc	4	114254188	114263073	23	0.8651
c7003700-aadc-4610-9e3c-66957cdf36dc	4	114263096	154881396	24040	0.1029
c7003700-aadc-4610-9e3c-66957cdf36dc	4	154881853	154881926	3	-2.4912
c7003700-aadc-4610-9e3c-66957cdf36dc	4	154882047	156035480	838	0.1011
c7003700-aadc-4610-9e3c-66957cdf36dc	4	156046823	156052053	16	-0.5215
c7003700-aadc-4610-9e3c-66957cdf36dc	4	156053545	160952773	3060	0.0975
c7003700-aadc-4610-9e3c-66957cdf36dc	4	160952788	160963767	24	-0.2688
c7003700-aadc-4610-9e3c-66957cdf36dc	4	160963806	170346793	5974	0.1022
c7003700-aadc-4610-9e3c-66957cdf36dc	4	170346931	170352007	7	-0.8406
