GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	62920	1093675	85	0.0269
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	1094939	1100599	2	-1.5224
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	1103718	4164498	1131	0.0651
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	4164586	12513690	5111	0.0049
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	12514795	12744454	132	0.0615
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	12745344	12746836	4	-1.0158
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	12748643	13526460	131	-0.0405
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	13529113	13529140	2	-1.7132
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	13529263	16689764	2083	0.002
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	16718963	16864367	22	-0.3831
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	16868660	16955930	56	0.3086
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	16956580	25284961	5271	0.0098
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	25289805	25336853	12	0.581
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	25346663	30268649	2390	0.0017
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	30268809	30272363	3	1.3422
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	30274729	103616725	46411	0.0023
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	103616762	103717410	6	-0.9395
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	103717617	152785214	13361	0.0035
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	152787202	152806050	42	0.6225
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	152806082	196745743	29460	0
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	196758720	196832312	56	-0.5749
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	196832525	199138574	1380	-0.003
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	199142235	199145110	10	-0.6449
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	199145262	222193326	16010	-0.0015
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	222201492	222203662	2	-3.0922
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	222208792	240228440	12550	0.0022
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	240230715	240230824	5	-1.8402
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	240230839	244630048	3131	-0.0037
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	244630584	244631942	3	-1.1465
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	244633828	247999886	2270	0.0058
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	248002400	248008274	2	-1.891
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	1	248010151	248930189	454	0.0064
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	2	12784	41011095	28934	0.0024
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	2	41011303	41018747	22	-0.6584
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	2	41024093	52514599	8176	-0.0092
de66a7d8-15c6-4fdb-b11b-759df37cd2bc	2	52516787	52554404	41	0.5425
