GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	62920	787937	25	0.6221
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	793228	12777697	6458	0.0522
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	12778601	12799264	8	1.0768
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	12802105	13326062	35	0.5412
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	13338980	16689764	2151	0.0332
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	16718963	16855942	20	-0.6673
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	16863509	25256850	5316	0.0519
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	25266637	25336853	26	0.5134
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	25346663	72303233	28723	0.0325
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	72303253	72345465	45	-0.9852
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	72346221	143546558	30743	0.026
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	143546851	143796140	115	-0.5182
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	143811517	152583051	2320	0.0403
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	152583230	152614064	33	1.6119
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	152614100	152787202	168	0.0291
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	152789447	152796224	37	0.5894
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	152801429	196742057	29432	0.0269
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	196745692	196858725	70	0.3439
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	196859649	222193326	17364	0.0376
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	222201492	222203662	2	-2.8293
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	222208792	222847162	335	0.0183
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	222849581	222850262	2	-2.4185
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	222850427	242966050	14312	0.0358
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	242971405	243129825	30	0.423
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	243131680	245473108	1525	0.0242
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	245473737	245486349	12	-0.7452
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	1	245487127	248930189	2184	0.0468
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	12784	4155990	2954	-0.7816
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	4158097	4175977	39	-0.1569
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	4176105	34439683	20838	-0.792
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	34450400	34512489	53	-0.0178
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	34512965	35971893	1028	-0.8259
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	35973447	41145494	3875	0.0351
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	41153307	41320202	134	-0.1493
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	41322062	45526822	3023	0.0523
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	45531888	45531915	2	-1.6807
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	45537280	50736908	3705	0.0487
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	50743154	50743278	2	-1.9079
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	50744339	52527590	1214	0.0198
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	52527727	52554404	35	-0.5985
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	52560811	66616889	9119	0.0413
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	66616988	66618247	2	-1.5785
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	66618509	68979105	1730	0.0545
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	68979417	68982118	3	-1.13
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	68984795	79049506	6288	0.0447
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	79049909	79072151	14	0.6427
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	79073263	81719737	1873	0.05
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	81722839	81723371	2	-1.4822
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	81726408	86897011	2933	0.0421
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	86901078	87873139	142	0.2151
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	87877400	89002385	579	0.0354
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	89004069	90184808	159	0.192
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	90185476	90199051	21	-0.1066
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	90201608	94669081	87	0.3488
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	94675825	97164886	840	0.0702
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	97168345	97348052	27	0.535
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	97350393	101002859	2092	0.0589
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	101002870	101003588	2	-1.4789
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	101003603	107386236	4225	0.0579
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	107386668	107397825	5	-0.6815
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	107401544	107593539	115	0.0578
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	107598144	107614360	8	-1.1296
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	107614628	107824280	140	0.0748
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	107830513	107891596	7	0.9368
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	107903920	108085301	156	0.0432
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	108085651	108086115	3	-1.2924
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	108087090	117466188	4972	0.0533
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	117466594	117487414	12	0.7813
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	117488744	128880504	7239	0.0568
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	128880904	128882723	14	-0.717
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	128882741	132002227	1519	0.0856
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	132002751	132051740	12	0.7406
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	132055162	133353995	842	0.0661
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	133356598	134133802	577	-0.8061
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	134137542	134440453	256	0.1023
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	134445908	134461968	28	0.6518
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	134464856	135114344	380	0.0406
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	135119992	136344601	598	-0.7661
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	136348855	140981719	3039	0.0531
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	140982701	142378457	1001	-0.8515
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	142378954	142523565	73	0.0465
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	142525377	155874078	7974	-0.7806
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	155878536	159645693	2186	0.2033
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	159647538	160275585	444	-0.8028
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	160280145	160685982	242	0.1942
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	160696369	160703000	5	-0.7555
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	160704358	160786819	44	0.2015
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	160795957	161192690	284	-0.8764
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	161195270	161241806	47	0.1879
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	161244126	161392381	91	-0.6943
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	161392695	162500943	541	0.2062
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	162502027	163265324	423	0.9278
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	163267301	163880565	376	0.1452
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	163880862	163881158	2	1.1246
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	163882169	164002777	63	0.1889
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	164004520	164440004	235	1.0312
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	164444826	164845791	224	0.1597
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	164848823	167316422	1447	0.6455
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	167319338	167324930	9	-0.7258
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	167331418	167506229	96	0.678
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	167510299	167961238	292	0.0536
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	167969545	168859176	669	0.6435
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	168862392	168918312	76	-0.1122
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	168927903	170591870	1126	0.139
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	170593651	170615603	21	0.488
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	170617132	171479769	449	0.6175
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	171480898	171483454	5	1.5776
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	171483889	172037356	296	0.6017
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	172037769	172660155	416	1.1813
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	172662583	173108736	367	0.8734
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	173111013	173129661	6	0.6818
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	173130871	173265986	101	0.1394
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	173269801	173324841	26	0.7895
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	173331240	173449027	101	1.1389
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	173449414	173449433	2	-0.8025
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	173451050	174801578	870	1.2323
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	174801928	175640485	474	1.3746
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	175641821	177327832	1145	1.1204
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	177328069	178050457	464	1.3081
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	178058955	178361761	181	0.7791
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	178366602	179214417	474	1.3905
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	179218864	179440469	131	1.1705
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	179440815	179968325	430	0.8681
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	179977498	180070290	68	0.4751
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	180071473	180169709	78	0.8494
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	180175044	181167972	630	1.3872
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	181172693	181882108	450	0.88
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	181887638	182794966	555	1.3173
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	182798516	183318013	288	1.0564
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	183318247	183847869	334	0.7552
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	183848200	184267627	279	1.0907
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	184268907	185763476	846	1.3453
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	185768735	186351214	318	0.8446
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	186361212	186702489	193	0.5398
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	186702568	186971996	142	0.6803
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	186972251	187129901	81	0.5185
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	187135860	187361117	110	1.0792
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	187365606	188791950	784	1.3915
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	188792346	189127039	203	1.1805
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	189128174	189925436	467	1.4405
3ad8de16-5e2d-4792-ab6e-6c2c6c21d07f	2	189928686	189937394	9	1.0122
