GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	62920	9266599	4660	-0.0191
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	9267354	9327300	44	0.5474
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	9327385	16785682	3989	-0.0209
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	16787932	16934768	53	-0.5592
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	16935200	25256850	5268	-0.0123
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	25266637	25320455	24	0.6039
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	25336819	34626037	4946	-0.0181
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	34626073	34638890	21	-0.6655
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	34648667	72302815	23755	-0.0139
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	72303233	72345465	46	-1.0967
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	72346221	75585159	1928	-0.0051
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	75589078	75589169	2	-2.6616
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	75593824	101305158	16664	-0.0114
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	101305302	101305642	2	-1.4922
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	101305749	103560608	1391	-0.0035
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	103566616	103616762	27	0.3955
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	103620877	109679105	3574	-0.0071
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	109684695	109697556	15	-0.7741
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	109702376	112153465	1952	0.0128
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	112153571	112154768	23	0.46
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	112163334	120414592	5064	-0.012
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	120885464	120954128	3	1.1372
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	120954165	152787202	2737	0.0074
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	152789447	152801429	38	-0.369
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	152804279	158896783	3611	-0.0219
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	158898711	158899969	2	2.3861
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	158905028	193186662	23433	-0.0111
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	193187149	193187187	2	1.8569
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	193187202	196762956	2399	-0.0086
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	196769493	196788990	31	-0.4855
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	196789019	209897717	8812	-0.0135
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	209908268	209910639	3	-1.6848
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	209913207	223471064	9346	-0.0172
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	223471097	223471914	3	-1.5336
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	223472019	223652915	91	0.0609
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	223652928	247654789	16858	-0.01
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	247656685	248585893	533	0.0695
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	248585918	248626987	27	-0.4484
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	1	248631163	248930189	145	0.0447
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	2	12784	37827480	26634	-0.0085
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	2	37827591	37828000	3	-1.2188
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	2	37828401	52527330	10479	0.0003
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	2	52527342	52554404	39	0.4447
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	2	52560811	86710564	21895	-0.0035
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	2	86725947	86726731	2	-1.3795
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	2	86743283	87225631	111	-0.0079
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	2	87228594	87321424	28	-0.4151
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	2	87321927	97359885	1789	-0.0028
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	2	97524284	97545247	8	-0.9615
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	2	97545726	146106875	29390	-0.0061
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	2	146106889	146109366	21	1.0029
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	2	146120238	242147305	59041	-0.0097
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	20930	2680455	2297	0.0493
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	2680636	75519398	50415	-0.0015
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	75523398	75537654	6	-1.9247
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	75546030	99218940	10964	0.0028
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	99225614	99230577	38	-0.4167
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	99232120	130067531	18711	-0.008
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	130067896	130087393	29	0.7119
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	130088081	143566923	8363	-0.0029
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	143566958	143567132	4	1.2295
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	143567959	144447030	536	-0.0157
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	144450541	144458994	5	-0.5835
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	144459490	146658754	1479	0.0014
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	146660742	147299009	346	0.1132
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	147299199	162405578	9259	-0.002
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	162419812	162424917	14	0.4831
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	162426460	162729472	210	0.0112
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	162729842	162730030	3	-0.7063
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	162740551	162822702	66	0.0447
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	162827928	162908784	49	-0.3121
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	162908815	167442492	2528	0.0299
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	167442503	173342366	3687	-0.0157
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	173343572	173893329	394	0.084
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	173896330	175378757	1065	-0.0041
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	175379493	176236324	540	0.097
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	176236398	193133056	10913	-0.0063
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	193133076	193133115	2	-1.9662
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	193133574	194809074	1124	-0.006
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	194809615	194809712	2	-1.4452
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	194811713	195656271	404	-0.0065
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	195663809	195729177	32	0.4655
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	195730018	198142659	1173	0.0208
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	3	198169114	198169247	4	-1.0314
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	4	68929	34777432	22694	-0.0055
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	4	34784878	34823103	38	-2.0295
d161b26c-7bf8-46fb-9365-ea92ce4b36b4	4	34828250	52872244	9556	0.0018
