GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	62920	16493138	8629	-0.0083
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	16494124	16721984	49	-0.4158
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	16766762	27051821	6077	-0.0005
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	27051941	27061194	10	-0.5682
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	27061893	30189691	1570	-0.0068
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	30190003	30192228	3	1.1248
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	30192672	57763963	16223	-0.0039
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	57764350	57766389	2	-1.4645
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	57766657	72303233	10161	0.0038
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	72303253	72345465	45	-1.7022
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	72346221	74803600	1501	-0.0029
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	74805388	74808182	2	2.3057
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	74808303	105079911	19182	0.0035
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	105080318	105080931	2	1.5787
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	105084196	105470754	216	-0.0119
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	105476583	105479722	15	0.6686
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	105479738	109644606	2618	0.0061
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	109650144	109697533	25	-0.7368
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	109697556	112147704	1948	0.013
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	112153343	112154591	22	-0.4289
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	112154619	115332310	1998	-0.0047
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	115333024	115333882	3	-1.2466
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	115334901	143713930	3246	0.0018
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	143714499	143942271	35	0.487
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	144432083	152583291	2311	-0.0139
20a486e1-0bf0-449e-88cb-8fe8477575f1	1	152583319	152614100	31	-2.0573
