GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
767933af-0e1f-4781-823b-0b164c4767a6	1	62920	826738	36	0.0217
767933af-0e1f-4781-823b-0b164c4767a6	1	833413	2342007	384	-0.1162
767933af-0e1f-4781-823b-0b164c4767a6	1	2348984	2350915	3	-1.1494
767933af-0e1f-4781-823b-0b164c4767a6	1	2351678	3623660	458	-0.1577
767933af-0e1f-4781-823b-0b164c4767a6	1	3627553	16868660	7813	-0.0679
767933af-0e1f-4781-823b-0b164c4767a6	1	16877002	16935302	49	0.225
767933af-0e1f-4781-823b-0b164c4767a6	1	16935393	34637053	10227	-0.0682
767933af-0e1f-4781-823b-0b164c4767a6	1	34637069	34649941	21	-0.8002
767933af-0e1f-4781-823b-0b164c4767a6	1	34650960	72297687	23730	-0.0537
767933af-0e1f-4781-823b-0b164c4767a6	1	72302735	72345393	44	-0.6582
767933af-0e1f-4781-823b-0b164c4767a6	1	72345450	248525314	98423	-0.0526
767933af-0e1f-4781-823b-0b164c4767a6	1	248546369	248633912	36	-0.6826
767933af-0e1f-4781-823b-0b164c4767a6	1	248645563	248930189	141	-0.034
767933af-0e1f-4781-823b-0b164c4767a6	2	12784	34466002	24063	-0.0454
767933af-0e1f-4781-823b-0b164c4767a6	2	34474248	34511990	46	-2.5313
767933af-0e1f-4781-823b-0b164c4767a6	2	34512096	35742319	866	-0.019
767933af-0e1f-4781-823b-0b164c4767a6	2	35742970	35762881	9	0.9731
767933af-0e1f-4781-823b-0b164c4767a6	2	35772407	52531615	12107	-0.044
767933af-0e1f-4781-823b-0b164c4767a6	2	52531630	52538386	15	-0.5488
767933af-0e1f-4781-823b-0b164c4767a6	2	52538470	60766302	5781	-0.0372
767933af-0e1f-4781-823b-0b164c4767a6	2	60766560	60766905	2	-1.3767
767933af-0e1f-4781-823b-0b164c4767a6	2	60767303	86710564	16128	-0.0449
767933af-0e1f-4781-823b-0b164c4767a6	2	86725947	86726731	2	1.8922
767933af-0e1f-4781-823b-0b164c4767a6	2	86743283	87286164	129	-0.0665
767933af-0e1f-4781-823b-0b164c4767a6	2	87287256	87287267	2	-1.9967
767933af-0e1f-4781-823b-0b164c4767a6	2	87295819	105729824	6916	-0.0609
767933af-0e1f-4781-823b-0b164c4767a6	2	105730759	105737681	11	-0.8336
767933af-0e1f-4781-823b-0b164c4767a6	2	105738358	116831010	6177	-0.0435
767933af-0e1f-4781-823b-0b164c4767a6	2	116832191	116832277	2	-1.9456
767933af-0e1f-4781-823b-0b164c4767a6	2	116833669	179196928	38337	-0.0444
767933af-0e1f-4781-823b-0b164c4767a6	2	179202465	179214417	3	-2.9274
767933af-0e1f-4781-823b-0b164c4767a6	2	179218864	213289060	20439	-0.0381
767933af-0e1f-4781-823b-0b164c4767a6	2	213289493	213290603	2	1.4105
767933af-0e1f-4781-823b-0b164c4767a6	2	213298006	228892290	10103	-0.0508
767933af-0e1f-4781-823b-0b164c4767a6	2	228894763	228895197	8	-0.8529
767933af-0e1f-4781-823b-0b164c4767a6	2	228895367	242147305	8193	-0.0543
767933af-0e1f-4781-823b-0b164c4767a6	3	20930	2926956	2535	-0.0275
767933af-0e1f-4781-823b-0b164c4767a6	3	2927375	2931355	5	-1.7724
767933af-0e1f-4781-823b-0b164c4767a6	3	2933398	6517493	3215	-0.0492
767933af-0e1f-4781-823b-0b164c4767a6	3	6517762	6518384	3	-1.1651
767933af-0e1f-4781-823b-0b164c4767a6	3	6521412	16197556	7117	-0.0564
767933af-0e1f-4781-823b-0b164c4767a6	3	16199049	16199672	6	-0.9753
767933af-0e1f-4781-823b-0b164c4767a6	3	16199818	21703548	3344	-0.0522
767933af-0e1f-4781-823b-0b164c4767a6	3	21703854	21715842	21	-0.4493
767933af-0e1f-4781-823b-0b164c4767a6	3	21721118	52989195	19415	-0.0549
767933af-0e1f-4781-823b-0b164c4767a6	3	52994359	53005439	41	-0.5585
767933af-0e1f-4781-823b-0b164c4767a6	3	53005473	75372019	16886	-0.05
767933af-0e1f-4781-823b-0b164c4767a6	3	75377956	75511990	58	-0.8835
767933af-0e1f-4781-823b-0b164c4767a6	3	75519398	75537654	7	-0.0095
767933af-0e1f-4781-823b-0b164c4767a6	3	75546030	75600083	10	-0.9259
767933af-0e1f-4781-823b-0b164c4767a6	3	75606920	89622509	7849	-0.044
767933af-0e1f-4781-823b-0b164c4767a6	3	89622531	89624990	5	-1.2336
767933af-0e1f-4781-823b-0b164c4767a6	3	89629449	98678664	2806	-0.0542
767933af-0e1f-4781-823b-0b164c4767a6	3	98688460	98688556	4	0.8992
767933af-0e1f-4781-823b-0b164c4767a6	3	98698130	99218940	295	-0.0475
767933af-0e1f-4781-823b-0b164c4767a6	3	99225614	99232120	39	-0.5921
767933af-0e1f-4781-823b-0b164c4767a6	3	99232539	125716589	16219	-0.0484
767933af-0e1f-4781-823b-0b164c4767a6	3	125717394	125724765	2	-1.6117
767933af-0e1f-4781-823b-0b164c4767a6	3	125727821	125950205	81	-0.0683
767933af-0e1f-4781-823b-0b164c4767a6	3	125954540	125957120	3	-2.4633
767933af-0e1f-4781-823b-0b164c4767a6	3	125961657	128680378	1751	-0.0539
767933af-0e1f-4781-823b-0b164c4767a6	3	128686328	128692935	6	0.6654
767933af-0e1f-4781-823b-0b164c4767a6	3	128693488	130044855	621	-0.0673
767933af-0e1f-4781-823b-0b164c4767a6	3	130047743	130087393	37	-0.4251
767933af-0e1f-4781-823b-0b164c4767a6	3	130088081	137309116	4472	-0.0539
767933af-0e1f-4781-823b-0b164c4767a6	3	137309118	137309121	3	1.1845
767933af-0e1f-4781-823b-0b164c4767a6	3	137311987	143566923	3876	-0.057
767933af-0e1f-4781-823b-0b164c4767a6	3	143566958	143567132	4	0.8613
767933af-0e1f-4781-823b-0b164c4767a6	3	143567959	146641015	1991	-0.0427
767933af-0e1f-4781-823b-0b164c4767a6	3	146641462	147447275	431	0.0443
767933af-0e1f-4781-823b-0b164c4767a6	3	147447560	149245189	1111	-0.044
767933af-0e1f-4781-823b-0b164c4767a6	3	149245608	149250334	25	-0.9497
767933af-0e1f-4781-823b-0b164c4767a6	3	149253293	162501081	8133	-0.0517
767933af-0e1f-4781-823b-0b164c4767a6	3	162501097	162519707	27	0.2977
767933af-0e1f-4781-823b-0b164c4767a6	3	162520100	162794951	166	-0.0392
767933af-0e1f-4781-823b-0b164c4767a6	3	162795304	162908207	68	0.9891
767933af-0e1f-4781-823b-0b164c4767a6	3	162908784	162908815	2	-2.2634
767933af-0e1f-4781-823b-0b164c4767a6	3	162910826	169012392	3439	-0.0343
767933af-0e1f-4781-823b-0b164c4767a6	3	169015614	169020840	2	-3.1353
767933af-0e1f-4781-823b-0b164c4767a6	3	169022039	183601566	9123	-0.0477
767933af-0e1f-4781-823b-0b164c4767a6	3	183602075	183604313	2	-1.4768
767933af-0e1f-4781-823b-0b164c4767a6	3	183609901	189642965	4071	-0.0628
767933af-0e1f-4781-823b-0b164c4767a6	3	189645889	189653225	13	-0.9889
767933af-0e1f-4781-823b-0b164c4767a6	3	189654562	193160113	2483	-0.0388
767933af-0e1f-4781-823b-0b164c4767a6	3	193160173	193162937	9	0.6117
767933af-0e1f-4781-823b-0b164c4767a6	3	193163042	194920587	1167	-0.0669
767933af-0e1f-4781-823b-0b164c4767a6	3	194920617	194921116	4	-0.9675
