GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	62920	3109696	658	0.048
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	3118555	16488499	7980	-0.0809
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	16489035	16935752	121	-0.4644
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	16949746	72303233	34023	-0.0772
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	72303253	72345465	45	-1.0427
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	72346221	81422771	5776	-0.0697
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	81422917	81422920	2	1.7254
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	81422982	95689620	9410	-0.0711
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	95690160	95690510	2	-1.4984
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	95690660	103621165	4837	-0.073
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	103697067	103717410	3	1.2692
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	103717617	105476583	920	-0.0798
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	105476614	105479738	15	0.6819
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	105479753	108223733	1959	-0.0815
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	108226680	108274557	2	-2.7192
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	108310648	110833598	1525	-0.0786
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	110834746	110845604	39	-0.8443
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	110849445	110852244	7	-0.1999
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	110852488	110860935	17	0.3443
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	110861171	116651953	3962	-0.0774
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	116657749	116657782	2	-1.5266
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	116663714	120885464	2177	-0.073
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	120885477	120954128	2	1.9589
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	120954165	152567611	2514	-0.0405
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	152567682	152614100	55	0.3421
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	152614118	152787202	167	-0.0931
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	152789447	152796224	37	0.3998
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	152801429	196745692	29450	-0.0754
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	196745743	196832312	57	0.5346
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	196832525	222193326	17401	-0.0751
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	222201492	222203662	2	-1.6419
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	222208792	229675422	4434	-0.079
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	229681109	229684449	3	-3.1701
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	229684709	248525314	13794	-0.0711
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	248546369	248681611	49	0.3244
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	1	248681796	248930189	128	-0.0541
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	12784	34466002	24086	-0.0681
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	34474248	34511990	45	-1.5111
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	34512096	52516787	13002	-0.0671
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	52527330	52627429	84	0.2053
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	52631303	87516129	22028	-0.067
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	87516162	87528459	7	-1.0642
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	87542032	89936810	687	-0.0444
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	89956227	89960252	2	1.8843
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	89963133	97359885	1066	-0.0615
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	97524284	97545247	8	-1.0623
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	97545726	106258041	5567	-0.0695
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	106258193	106268901	14	0.5933
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	106270799	128880504	13387	-0.0638
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	128880904	128882741	15	-0.8286
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	128882755	132528129	1736	-0.0551
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	132537257	132537561	5	0.9464
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	132539524	146104517	8672	-0.0634
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	146106836	146109366	24	-1.1959
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	146120238	152939554	4200	-0.076
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	152940256	152940270	2	-1.9956
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	152944055	164853600	6956	-0.0665
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	164853632	164857162	2	1.4102
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	164860058	179554570	9329	-0.0704
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	179554808	179556770	15	-1.1082
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	179556785	183220725	2327	-0.0789
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	183221060	183223386	7	-5.8708
3ad07aeb-280b-4b8d-9efe-8803bb7e2178	2	183224417	242147305	36204	-0.0698
