GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	62920	16604834	8651	-0.004
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	16605031	16877002	55	0.232
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	16883108	30265657	7718	0.0028
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	30265687	30266949	4	-1.3638
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	30268649	72303233	26335	0.0008
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	72303253	72345465	45	-1.477
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	72346221	105470132	20948	0
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	105470754	105479753	18	0.5396
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	105481433	109684893	2633	-0.0032
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	109690352	109697556	13	-0.7727
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	109702376	112153851	1954	0.0021
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	112153880	112163440	22	-0.4514
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	112163460	152778030	7790	-0.0005
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	152778194	153230458	389	-0.0886
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	153230744	158896783	3274	0.0021
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	158898711	158899969	2	1.6872
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	158905028	179361393	14277	0.0005
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	179362247	179364180	3	-0.9899
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	179370071	189679027	6825	0.0003
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	189679353	189679397	2	-1.4218
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	189682917	196769638	4740	-0.0018
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	196769652	196846661	54	-0.3666
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	196847600	210432377	9145	0.0063
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	210432558	210432626	2	-1.7719
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	210432805	222847162	8585	0.0058
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	222849581	222850427	3	-1.3217
f1df5de7-58f9-4235-9e03-5aa52c42691f	1	222853375	248424525	17867	0.003
