GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f8768139-b192-4d91-9382-7a082cc33e2d	1	62920	1756753	233	0.1835
f8768139-b192-4d91-9382-7a082cc33e2d	1	1760882	5228499	1947	0.0945
f8768139-b192-4d91-9382-7a082cc33e2d	1	5232630	6493407	822	0.0014
f8768139-b192-4d91-9382-7a082cc33e2d	1	6507189	7756064	804	0.0808
f8768139-b192-4d91-9382-7a082cc33e2d	1	7756483	13605598	2831	0.0235
f8768139-b192-4d91-9382-7a082cc33e2d	1	13607561	16785682	2052	0.0713
f8768139-b192-4d91-9382-7a082cc33e2d	1	16787932	16935737	57	0.4362
f8768139-b192-4d91-9382-7a082cc33e2d	1	16935752	21912658	3301	0.0716
f8768139-b192-4d91-9382-7a082cc33e2d	1	21916956	21917530	2	-1.3673
f8768139-b192-4d91-9382-7a082cc33e2d	1	21920235	25256850	1957	0.1002
f8768139-b192-4d91-9382-7a082cc33e2d	1	25266637	25336853	26	0.5581
f8768139-b192-4d91-9382-7a082cc33e2d	1	25346663	29306929	1657	0.0714
f8768139-b192-4d91-9382-7a082cc33e2d	1	29307196	30689681	1086	0.1497
f8768139-b192-4d91-9382-7a082cc33e2d	1	30690609	33312089	1215	0.0785
f8768139-b192-4d91-9382-7a082cc33e2d	1	33323283	46647873	7631	0.1417
f8768139-b192-4d91-9382-7a082cc33e2d	1	46649379	50369934	2179	0.2038
f8768139-b192-4d91-9382-7a082cc33e2d	1	50373197	55280936	2717	0.1569
f8768139-b192-4d91-9382-7a082cc33e2d	1	55283297	72284670	12227	0.1992
f8768139-b192-4d91-9382-7a082cc33e2d	1	72290430	72297687	9	-0.6789
f8768139-b192-4d91-9382-7a082cc33e2d	1	72302735	89009572	10981	0.1982
f8768139-b192-4d91-9382-7a082cc33e2d	1	89012275	89012522	2	-2.3261
f8768139-b192-4d91-9382-7a082cc33e2d	1	89015841	109679105	12660	0.1873
f8768139-b192-4d91-9382-7a082cc33e2d	1	109684695	109697556	15	-0.4742
f8768139-b192-4d91-9382-7a082cc33e2d	1	109702376	149879270	8169	0.1802
f8768139-b192-4d91-9382-7a082cc33e2d	1	149879339	152583230	1409	0.1266
f8768139-b192-4d91-9382-7a082cc33e2d	1	152583291	152614100	33	-1.106
f8768139-b192-4d91-9382-7a082cc33e2d	1	152614118	152784330	165	0.1794
f8768139-b192-4d91-9382-7a082cc33e2d	1	152785214	152796224	39	0.5767
f8768139-b192-4d91-9382-7a082cc33e2d	1	152801429	153301277	392	0.2028
f8768139-b192-4d91-9382-7a082cc33e2d	1	153302849	156996223	1762	0.1129
f8768139-b192-4d91-9382-7a082cc33e2d	1	156997686	162714569	3960	0.1602
f8768139-b192-4d91-9382-7a082cc33e2d	1	162715157	164852545	1645	0.2248
f8768139-b192-4d91-9382-7a082cc33e2d	1	164853962	164855770	2	-1.3128
f8768139-b192-4d91-9382-7a082cc33e2d	1	164857517	165541053	702	0.2284
f8768139-b192-4d91-9382-7a082cc33e2d	1	165542893	177842171	8340	0.1774
f8768139-b192-4d91-9382-7a082cc33e2d	1	177842220	177842236	2	-1.0464
f8768139-b192-4d91-9382-7a082cc33e2d	1	177842364	196745743	12639	0.1827
f8768139-b192-4d91-9382-7a082cc33e2d	1	196758720	196843377	59	0.4549
f8768139-b192-4d91-9382-7a082cc33e2d	1	196843400	196846661	2	-1.3304
f8768139-b192-4d91-9382-7a082cc33e2d	1	196847600	198290550	799	0.1884
f8768139-b192-4d91-9382-7a082cc33e2d	1	198293361	207573308	6060	0.1492
f8768139-b192-4d91-9382-7a082cc33e2d	1	207573825	214647590	5148	0.1836
f8768139-b192-4d91-9382-7a082cc33e2d	1	214648072	214648113	2	-1.8378
f8768139-b192-4d91-9382-7a082cc33e2d	1	214649658	222843064	5697	0.2011
f8768139-b192-4d91-9382-7a082cc33e2d	1	222843983	222850262	5	-1.1548
f8768139-b192-4d91-9382-7a082cc33e2d	1	222850427	234393686	7795	0.175
f8768139-b192-4d91-9382-7a082cc33e2d	1	234393700	235923174	931	0.128
f8768139-b192-4d91-9382-7a082cc33e2d	1	235928641	240228440	3476	0.1923
f8768139-b192-4d91-9382-7a082cc33e2d	1	240230715	240230839	6	-1.0807
