GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	62920	259422	15	0.5226
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	259926	15823420	8300	-0.1909
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	15827002	15828515	10	0.43
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	15839166	16679483	331	-0.186
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	16685961	16868660	26	0.2279
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	16877002	25266637	5307	-0.1968
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	25269390	25320455	23	0.3906
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	25336819	34626073	4947	-0.1897
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	34637053	34648667	21	-1.0498
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	34649941	40555364	3180	-0.1974
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	40556404	40562538	4	-2.4591
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	40563254	63005821	14185	-0.193
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	63005909	63006432	2	-1.5538
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	63007197	72302735	6340	-0.1976
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	72302815	72353207	54	0.1468
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	72354344	103560608	19926	-0.1957
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	103566616	103760781	33	0.5065
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	103760879	105470754	912	-0.2007
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	105476583	105479468	14	0.4526
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	105479722	109684893	2630	-0.1851
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	109690352	109702376	14	-1.0721
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	109703504	118754180	6141	-0.1998
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	118758124	121597150	971	0.1843
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	121598439	143751380	109	0.3553
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	143751625	152583051	2329	0.1628
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	152583230	152614064	33	-2.4461
3c9b65bf-34e0-4582-9ff7-cd83516f4323	1	152614100	248930189	65413	0.1551
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	12784	1782449	1154	0.1438
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	1782750	1786188	5	-0.7737
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	1786865	4168830	1826	0.155
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	4168862	4176429	38	0.4147
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	4182472	14563570	7995	0.1501
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	14564825	14569968	12	-0.631
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	14570240	87110846	48039	0.1478
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	87117615	87747102	118	0.6396
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	87835245	97359885	1729	0.1592
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	97524284	97545726	9	1.2204
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	97550415	122719438	15051	0.1445
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	122722323	122724665	8	-0.714
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	122726077	130036283	4775	0.1498
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	130036310	130116915	13	-0.4088
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	130117303	130375733	82	0.1489
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	130377031	130539652	19	0.4887
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	130560276	131523263	345	0.1648
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	131543558	131543567	2	-1.1302
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	131547372	141132922	6043	0.1505
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	141135316	141433732	191	-0.215
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	141438187	151235642	5892	0.142
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	151244466	151288291	34	-0.8517
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	151291765	200235004	29406	0.139
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	200236026	200239037	5	-0.9363
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	200240097	207490614	4420	0.1373
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	207490972	207494612	14	-0.6652
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	207494752	212316597	3034	0.1431
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	212321824	212327088	24	-0.7486
3c9b65bf-34e0-4582-9ff7-cd83516f4323	2	212327101	242147305	18989	0.1447
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	20930	6604856	5804	-0.1629
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	6609441	6611645	23	-1.3851
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	6613391	21200164	9994	-0.1991
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	21209827	21299255	73	0.273
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	21299297	68697013	31761	-0.1927
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	68697108	68698262	14	-2.117
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	68699607	75372019	4847	-0.1924
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	75377956	75496021	49	-1.2007
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	75496671	75537120	15	-0.204
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	75537654	75606920	12	-0.7643
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	75620279	77436235	1049	-0.1742
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	77436274	77436347	2	-1.6819
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	77436506	82759677	3001	-0.1943
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	82765491	82765627	2	-1.5881
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	82768827	87303483	2425	-0.1804
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	87307155	99218940	4465	0.1592
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	99225614	99230470	37	-0.4283
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	99230577	104629865	3071	0.1466
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	104629926	104631049	2	-1.7995
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	104633616	107314617	1682	0.137
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	107316951	107317337	2	1.3587
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	107320614	128662406	13279	0.156
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	128665680	128695318	16	0.8396
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	128702323	130038990	617	0.1412
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	130039375	130087393	41	0.6073
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	130088081	130375478	147	0.2154
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	130377713	130377726	2	1.3569
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	130378038	132269794	1280	0.1493
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	132270020	132276840	8	-1.3612
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	132281633	145915619	8424	0.1636
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	145924135	145924147	2	-2.1249
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	145924578	162828441	10383	0.1675
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	162829721	162906109	44	-0.2613
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	162908192	162996729	74	0.1996
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	162999939	163001774	2	1.5471
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	163008371	176165961	8066	0.1638
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	176170271	176196691	34	-0.865
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	176198433	182644152	3780	0.1623
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	182645062	182661738	20	-1.0736
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	182673588	193160113	7146	0.1623
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	193160173	193165114	19	-1.575
3c9b65bf-34e0-4582-9ff7-cd83516f4323	3	193168646	198169247	2689	0.1667
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	68929	10208766	5694	-0.0688
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	10212536	10232642	31	-2.4214
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	10232984	34777432	16946	-0.0676
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	34784878	34822561	37	-0.7989
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	34823103	48194103	8497	-0.0657
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	48194318	49087357	450	-0.017
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	49091769	49588639	24	0.5196
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	49618868	63828222	7558	-0.0025
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	63831751	63852325	31	-0.4974
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	63856498	64954275	655	-0.0198
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	64955198	68418873	2193	-0.0529
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	68422420	68422424	3	-1.941
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	68429081	68640616	80	-0.2624
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	68655691	69421960	393	0.0464
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	69422116	79447223	6320	-0.0568
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	79449757	114252544	20909	-0.0926
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	114254167	114254223	4	0.9575
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	114254238	114257893	6	0.1642
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	114258196	114263073	14	0.9236
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	114263096	137171085	13214	-0.0913
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	137171266	137173818	15	-0.8962
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	137173967	139466500	1574	-0.0894
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	139467573	139600954	81	0.4905
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	139607410	171448195	19690	-0.0903
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	171453733	171456625	12	-1.2526
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	171459220	172066777	395	-0.0954
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	172067997	172068382	12	0.89
3c9b65bf-34e0-4582-9ff7-cd83516f4323	4	172074828	190106768	12053	-0.0871
3c9b65bf-34e0-4582-9ff7-cd83516f4323	5	15532	58025819	35669	0.1396
3c9b65bf-34e0-4582-9ff7-cd83516f4323	5	58030200	58037706	32	2.1393
3c9b65bf-34e0-4582-9ff7-cd83516f4323	5	58042530	59008327	738	0.1922
3c9b65bf-34e0-4582-9ff7-cd83516f4323	5	59008560	59008743	2	-0.8518
3c9b65bf-34e0-4582-9ff7-cd83516f4323	5	59008878	62277545	2090	0.1589
3c9b65bf-34e0-4582-9ff7-cd83516f4323	5	62279164	62280446	3	-1.2351
3c9b65bf-34e0-4582-9ff7-cd83516f4323	5	62286365	99397007	20995	0.1596
