GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
cd164222-023f-41cd-8932-295a5a0db16e	1	62920	668210	21	0.0102
cd164222-023f-41cd-8932-295a5a0db16e	1	771719	3337536	747	-0.516
cd164222-023f-41cd-8932-295a5a0db16e	1	3337716	25244339	13234	-0.6151
cd164222-023f-41cd-8932-295a5a0db16e	1	25244778	25320253	31	-0.111
cd164222-023f-41cd-8932-295a5a0db16e	1	25320455	54769918	16116	-0.6126
cd164222-023f-41cd-8932-295a5a0db16e	1	54777646	54899952	119	-0.5193
cd164222-023f-41cd-8932-295a5a0db16e	1	54904341	56029448	889	-0.6599
cd164222-023f-41cd-8932-295a5a0db16e	1	56029695	56030972	3	-2.341
cd164222-023f-41cd-8932-295a5a0db16e	1	56033778	70529157	10486	-0.6636
cd164222-023f-41cd-8932-295a5a0db16e	1	70531469	70532262	4	-2.0582
cd164222-023f-41cd-8932-295a5a0db16e	1	70533103	72284670	1089	-0.6884
cd164222-023f-41cd-8932-295a5a0db16e	1	72290430	72297687	9	-2.5766
cd164222-023f-41cd-8932-295a5a0db16e	1	72302735	72345465	48	0.4649
cd164222-023f-41cd-8932-295a5a0db16e	1	72346221	75585159	1929	-0.6801
cd164222-023f-41cd-8932-295a5a0db16e	1	75589078	75589169	2	-2.538
cd164222-023f-41cd-8932-295a5a0db16e	1	75593824	100327483	16029	-0.6795
cd164222-023f-41cd-8932-295a5a0db16e	1	100327575	100327590	2	-2.8626
cd164222-023f-41cd-8932-295a5a0db16e	1	100327713	103560608	2015	-0.6831
cd164222-023f-41cd-8932-295a5a0db16e	1	103566616	103616725	26	0.5596
cd164222-023f-41cd-8932-295a5a0db16e	1	103616762	109684893	3576	-0.6719
cd164222-023f-41cd-8932-295a5a0db16e	1	109690352	109697556	13	1.4422
cd164222-023f-41cd-8932-295a5a0db16e	1	109702376	112147704	1947	-0.6505
cd164222-023f-41cd-8932-295a5a0db16e	1	112153343	112154619	23	-1.6125
cd164222-023f-41cd-8932-295a5a0db16e	1	112154754	119551952	4714	-0.6577
cd164222-023f-41cd-8932-295a5a0db16e	1	119553299	121601998	446	-0.6072
cd164222-023f-41cd-8932-295a5a0db16e	1	121705338	152575695	2428	0.0858
cd164222-023f-41cd-8932-295a5a0db16e	1	152575948	152618089	50	0.3964
cd164222-023f-41cd-8932-295a5a0db16e	1	152618187	152668698	64	0.0341
cd164222-023f-41cd-8932-295a5a0db16e	1	152670930	152687773	13	0.491
cd164222-023f-41cd-8932-295a5a0db16e	1	152688270	152787202	87	0.0463
cd164222-023f-41cd-8932-295a5a0db16e	1	152789447	152801429	38	0.4259
cd164222-023f-41cd-8932-295a5a0db16e	1	152804279	169247699	11275	0.0769
cd164222-023f-41cd-8932-295a5a0db16e	1	169264736	169272528	7	-2.2991
cd164222-023f-41cd-8932-295a5a0db16e	1	169273163	175461075	3956	0.0576
cd164222-023f-41cd-8932-295a5a0db16e	1	175461672	175790059	297	0.1723
cd164222-023f-41cd-8932-295a5a0db16e	1	175790156	178693533	1805	0.0616
cd164222-023f-41cd-8932-295a5a0db16e	1	178696723	178701430	21	-0.2877
cd164222-023f-41cd-8932-295a5a0db16e	1	178702586	185138722	4443	0.0663
cd164222-023f-41cd-8932-295a5a0db16e	1	185139493	196745743	7642	0.0379
cd164222-023f-41cd-8932-295a5a0db16e	1	196758720	196854706	66	0.2814
cd164222-023f-41cd-8932-295a5a0db16e	1	196855470	200598068	2394	0.0394
cd164222-023f-41cd-8932-295a5a0db16e	1	200598153	209897717	6391	0.0793
cd164222-023f-41cd-8932-295a5a0db16e	1	209908268	209908720	2	-1.6525
cd164222-023f-41cd-8932-295a5a0db16e	1	209910639	214935351	3438	0.0628
cd164222-023f-41cd-8932-295a5a0db16e	1	214938235	214940042	3	-0.9494
cd164222-023f-41cd-8932-295a5a0db16e	1	214941433	216484506	1033	0.0451
cd164222-023f-41cd-8932-295a5a0db16e	1	216493016	216493379	2	-1.1746
cd164222-023f-41cd-8932-295a5a0db16e	1	216493522	217494988	879	0.0554
cd164222-023f-41cd-8932-295a5a0db16e	1	217497881	217497967	2	-1.2198
cd164222-023f-41cd-8932-295a5a0db16e	1	217498429	221575650	2756	0.0518
cd164222-023f-41cd-8932-295a5a0db16e	1	221575970	221577981	2	-1.0965
cd164222-023f-41cd-8932-295a5a0db16e	1	221578028	222843064	824	0.0664
cd164222-023f-41cd-8932-295a5a0db16e	1	222843983	222850427	6	-0.8167
cd164222-023f-41cd-8932-295a5a0db16e	1	222853375	248525264	17893	0.0662
cd164222-023f-41cd-8932-295a5a0db16e	1	248525284	248633821	38	-0.4075
cd164222-023f-41cd-8932-295a5a0db16e	1	248633912	248930189	142	0.1508
cd164222-023f-41cd-8932-295a5a0db16e	2	12784	724368	510	0.097
cd164222-023f-41cd-8932-295a5a0db16e	2	724472	1875506	703	0.1536
cd164222-023f-41cd-8932-295a5a0db16e	2	1876748	3180023	1004	0.0538
cd164222-023f-41cd-8932-295a5a0db16e	2	3184068	3201202	38	0.3396
cd164222-023f-41cd-8932-295a5a0db16e	2	3204763	13843513	8219	0.0603
cd164222-023f-41cd-8932-295a5a0db16e	2	13844177	13847748	6	-0.653
cd164222-023f-41cd-8932-295a5a0db16e	2	13848405	14562225	553	0.0399
cd164222-023f-41cd-8932-295a5a0db16e	2	14563383	14563399	2	1.5808
cd164222-023f-41cd-8932-295a5a0db16e	2	14563508	34466002	13050	0.0646
cd164222-023f-41cd-8932-295a5a0db16e	2	34474248	34485834	13	0.866
cd164222-023f-41cd-8932-295a5a0db16e	2	34486267	34492841	16	0.4359
cd164222-023f-41cd-8932-295a5a0db16e	2	34492907	34502800	14	1.1323
cd164222-023f-41cd-8932-295a5a0db16e	2	34511446	43294028	6499	0.054
cd164222-023f-41cd-8932-295a5a0db16e	2	43298700	43305385	9	-1.0657
cd164222-023f-41cd-8932-295a5a0db16e	2	43311568	45114737	1267	0.0691
cd164222-023f-41cd-8932-295a5a0db16e	2	45115065	45115076	2	-1.3867
cd164222-023f-41cd-8932-295a5a0db16e	2	45115306	47898575	2066	0.0758
cd164222-023f-41cd-8932-295a5a0db16e	2	47900524	47903253	2	-1.2435
cd164222-023f-41cd-8932-295a5a0db16e	2	47903669	52512079	3160	0.0463
cd164222-023f-41cd-8932-295a5a0db16e	2	52514599	52563002	44	0.4287
cd164222-023f-41cd-8932-295a5a0db16e	2	52563355	54251980	1265	0.066
cd164222-023f-41cd-8932-295a5a0db16e	2	54252062	54252509	4	-0.7463
cd164222-023f-41cd-8932-295a5a0db16e	2	54253232	56773024	1817	0.0657
cd164222-023f-41cd-8932-295a5a0db16e	2	56775002	56785162	5	-1.4628
cd164222-023f-41cd-8932-295a5a0db16e	2	56786046	79000149	13986	0.0564
cd164222-023f-41cd-8932-295a5a0db16e	2	79000329	79416150	347	0.1829
cd164222-023f-41cd-8932-295a5a0db16e	2	79416538	83016904	2334	0.0393
cd164222-023f-41cd-8932-295a5a0db16e	2	83017429	83023673	4	-1.0377
cd164222-023f-41cd-8932-295a5a0db16e	2	83023875	90064011	3043	0.0613
cd164222-023f-41cd-8932-295a5a0db16e	2	90067117	90077978	15	0.4959
cd164222-023f-41cd-8932-295a5a0db16e	2	90079895	90209631	59	0.0675
cd164222-023f-41cd-8932-295a5a0db16e	2	90209658	97359885	954	0.0364
cd164222-023f-41cd-8932-295a5a0db16e	2	97524284	97545247	8	-1.1433
cd164222-023f-41cd-8932-295a5a0db16e	2	97545726	106264257	5571	0.0384
cd164222-023f-41cd-8932-295a5a0db16e	2	106265083	106268901	10	-1.8688
cd164222-023f-41cd-8932-295a5a0db16e	2	106270799	108849468	1536	0.02
cd164222-023f-41cd-8932-295a5a0db16e	2	108852138	130036283	12742	0.044
cd164222-023f-41cd-8932-295a5a0db16e	2	130036310	130162876	21	0.5463
cd164222-023f-41cd-8932-295a5a0db16e	2	130165459	131678165	512	0.0416
cd164222-023f-41cd-8932-295a5a0db16e	2	131678860	132572969	364	0.1349
cd164222-023f-41cd-8932-295a5a0db16e	2	132573322	134458704	1469	0.0368
cd164222-023f-41cd-8932-295a5a0db16e	2	134460957	142591462	5157	0.0209
cd164222-023f-41cd-8932-295a5a0db16e	2	142594170	142597500	9	-0.9325
cd164222-023f-41cd-8932-295a5a0db16e	2	142597563	209240376	40090	0.0197
cd164222-023f-41cd-8932-295a5a0db16e	2	209247185	209263607	21	0.569
cd164222-023f-41cd-8932-295a5a0db16e	2	209267883	214645294	3428	0.0091
cd164222-023f-41cd-8932-295a5a0db16e	2	214645309	214681580	26	0.3528
cd164222-023f-41cd-8932-295a5a0db16e	2	214681950	226989151	8089	0.0246
cd164222-023f-41cd-8932-295a5a0db16e	2	226990488	226994392	5	-0.8691
cd164222-023f-41cd-8932-295a5a0db16e	2	226995955	229747024	1855	0.0179
cd164222-023f-41cd-8932-295a5a0db16e	2	229747735	230393900	350	0.0672
cd164222-023f-41cd-8932-295a5a0db16e	2	230400636	230401563	2	2.005
cd164222-023f-41cd-8932-295a5a0db16e	2	230402928	242147305	7210	0.0671
cd164222-023f-41cd-8932-295a5a0db16e	3	20930	30149632	22490	0.0527
cd164222-023f-41cd-8932-295a5a0db16e	3	30151053	30151074	2	-1.8912
cd164222-023f-41cd-8932-295a5a0db16e	3	30151286	42278796	7984	0.0497
cd164222-023f-41cd-8932-295a5a0db16e	3	42279264	45501733	1841	0.0821
cd164222-023f-41cd-8932-295a5a0db16e	3	45504132	45508002	5	-1.0832
cd164222-023f-41cd-8932-295a5a0db16e	3	45513873	61065916	9473	0.0764
cd164222-023f-41cd-8932-295a5a0db16e	3	61065945	75412686	10880	0.0474
cd164222-023f-41cd-8932-295a5a0db16e	3	75413478	75416244	9	0.6741
cd164222-023f-41cd-8932-295a5a0db16e	3	75416934	99218940	11010	0.0268
cd164222-023f-41cd-8932-295a5a0db16e	3	99225614	99230464	36	-0.5106
cd164222-023f-41cd-8932-295a5a0db16e	3	99230470	122632721	14250	0.0427
cd164222-023f-41cd-8932-295a5a0db16e	3	122633831	125954540	2072	0.0712
cd164222-023f-41cd-8932-295a5a0db16e	3	125954552	125957120	2	-1.2124
cd164222-023f-41cd-8932-295a5a0db16e	3	125961657	128957427	1919	0.0799
cd164222-023f-41cd-8932-295a5a0db16e	3	128958255	128958367	3	-0.7307
cd164222-023f-41cd-8932-295a5a0db16e	3	128967043	129338206	135	0.0752
cd164222-023f-41cd-8932-295a5a0db16e	3	129347710	129351102	3	0.9707
cd164222-023f-41cd-8932-295a5a0db16e	3	129354985	130044016	325	0.0668
cd164222-023f-41cd-8932-295a5a0db16e	3	130044855	130087393	38	0.5688
cd164222-023f-41cd-8932-295a5a0db16e	3	130088081	143565575	8364	0.0653
cd164222-023f-41cd-8932-295a5a0db16e	3	143566276	143567132	6	0.9547
cd164222-023f-41cd-8932-295a5a0db16e	3	143567959	158632329	9288	0.0473
cd164222-023f-41cd-8932-295a5a0db16e	3	158633095	158633756	2	-1.2521
cd164222-023f-41cd-8932-295a5a0db16e	3	158641083	159057647	270	0.0363
cd164222-023f-41cd-8932-295a5a0db16e	3	159057729	159057795	2	1.5228
cd164222-023f-41cd-8932-295a5a0db16e	3	159057809	162807070	2345	0.0477
cd164222-023f-41cd-8932-295a5a0db16e	3	162810842	162822702	10	-1.2866
cd164222-023f-41cd-8932-295a5a0db16e	3	162827928	162846267	9	0.596
cd164222-023f-41cd-8932-295a5a0db16e	3	162849883	162896180	30	0.1899
cd164222-023f-41cd-8932-295a5a0db16e	3	162897779	162908207	9	0.6399
cd164222-023f-41cd-8932-295a5a0db16e	3	162908784	183456848	12469	0.0387
cd164222-023f-41cd-8932-295a5a0db16e	3	183461145	183776667	196	0.1248
cd164222-023f-41cd-8932-295a5a0db16e	3	183777285	183793369	9	-0.4209
cd164222-023f-41cd-8932-295a5a0db16e	3	183795609	184637335	406	0.1495
cd164222-023f-41cd-8932-295a5a0db16e	3	184637514	195729177	7619	0.0548
cd164222-023f-41cd-8932-295a5a0db16e	3	195730018	195903826	70	0.2785
cd164222-023f-41cd-8932-295a5a0db16e	3	195903841	198107931	1081	0.0728
cd164222-023f-41cd-8932-295a5a0db16e	3	198108134	198111467	7	0.4664
cd164222-023f-41cd-8932-295a5a0db16e	3	198111566	198119048	5	-0.9402
cd164222-023f-41cd-8932-295a5a0db16e	3	198121231	198169247	13	-0.0191
cd164222-023f-41cd-8932-295a5a0db16e	4	68929	953186	339	0.0838
cd164222-023f-41cd-8932-295a5a0db16e	4	962259	1051535	12	0.721
cd164222-023f-41cd-8932-295a5a0db16e	4	1057724	9422531	4789	0.0878
cd164222-023f-41cd-8932-295a5a0db16e	4	9427585	9444321	13	-0.7074
cd164222-023f-41cd-8932-295a5a0db16e	4	9445117	9613467	48	0.1333
cd164222-023f-41cd-8932-295a5a0db16e	4	9617513	9625216	3	-1.1293
cd164222-023f-41cd-8932-295a5a0db16e	4	9630824	10208766	500	0.0433
cd164222-023f-41cd-8932-295a5a0db16e	4	10212536	10233383	33	-1.9064
cd164222-023f-41cd-8932-295a5a0db16e	4	10233542	28082861	12837	0.0537
cd164222-023f-41cd-8932-295a5a0db16e	4	28088313	35721719	4746	0.0228
cd164222-023f-41cd-8932-295a5a0db16e	4	35724025	43143380	4950	0.0543
cd164222-023f-41cd-8932-295a5a0db16e	4	43143414	43145497	6	-0.7655
cd164222-023f-41cd-8932-295a5a0db16e	4	43146144	63831891	11028	0.0451
cd164222-023f-41cd-8932-295a5a0db16e	4	63832015	63851308	26	-0.3778
cd164222-023f-41cd-8932-295a5a0db16e	4	63852325	64955970	664	0.0241
cd164222-023f-41cd-8932-295a5a0db16e	4	64958316	64965013	7	-0.5896
cd164222-023f-41cd-8932-295a5a0db16e	4	64965020	64969657	14	0.0201
cd164222-023f-41cd-8932-295a5a0db16e	4	64971241	64978333	10	-0.62
cd164222-023f-41cd-8932-295a5a0db16e	4	64978716	68354665	2151	0.0304
cd164222-023f-41cd-8932-295a5a0db16e	4	68361130	68395346	7	0.7603
cd164222-023f-41cd-8932-295a5a0db16e	4	68416487	68422424	5	-1.311
cd164222-023f-41cd-8932-295a5a0db16e	4	68429081	68620261	77	-0.2178
cd164222-023f-41cd-8932-295a5a0db16e	4	68623617	69257792	315	0.0617
cd164222-023f-41cd-8932-295a5a0db16e	4	69261926	69366081	54	-0.6492
cd164222-023f-41cd-8932-295a5a0db16e	4	69366304	76368633	4256	0.0399
cd164222-023f-41cd-8932-295a5a0db16e	4	76370923	76372158	6	-0.6656
cd164222-023f-41cd-8932-295a5a0db16e	4	76372805	76872059	354	0.0686
cd164222-023f-41cd-8932-295a5a0db16e	4	76872087	76872625	6	-0.7843
cd164222-023f-41cd-8932-295a5a0db16e	4	76872676	114252500	22698	0.0383
cd164222-023f-41cd-8932-295a5a0db16e	4	114252544	114261019	24	0.518
cd164222-023f-41cd-8932-295a5a0db16e	4	114263073	116943150	1641	0.0152
cd164222-023f-41cd-8932-295a5a0db16e	4	116946725	116947376	3	-1.0562
cd164222-023f-41cd-8932-295a5a0db16e	4	116947492	129141596	7075	0.0395
cd164222-023f-41cd-8932-295a5a0db16e	4	129146391	129147005	2	1.4805
cd164222-023f-41cd-8932-295a5a0db16e	4	129151408	137163953	4512	0.0264
cd164222-023f-41cd-8932-295a5a0db16e	4	137168393	137172260	17	-0.6014
cd164222-023f-41cd-8932-295a5a0db16e	4	137173804	154881396	10789	0.048
cd164222-023f-41cd-8932-295a5a0db16e	4	154881853	154881926	3	-3.2717
cd164222-023f-41cd-8932-295a5a0db16e	4	154882047	156047028	841	0.0418
cd164222-023f-41cd-8932-295a5a0db16e	4	156047131	156047146	2	-1.5484
cd164222-023f-41cd-8932-295a5a0db16e	4	156047321	160950716	3062	0.0361
cd164222-023f-41cd-8932-295a5a0db16e	4	160950731	160972738	49	-0.3845
cd164222-023f-41cd-8932-295a5a0db16e	4	160973098	172066777	7056	0.0383
cd164222-023f-41cd-8932-295a5a0db16e	4	172067997	172068382	12	-1.5161
cd164222-023f-41cd-8932-295a5a0db16e	4	172074828	172501371	231	0.0245
cd164222-023f-41cd-8932-295a5a0db16e	4	172503796	172507492	7	1.0389
cd164222-023f-41cd-8932-295a5a0db16e	4	172519981	182802632	7006	0.0395
cd164222-023f-41cd-8932-295a5a0db16e	4	182807984	189209255	4436	0.0842
cd164222-023f-41cd-8932-295a5a0db16e	4	189209637	189209853	2	-1.476
cd164222-023f-41cd-8932-295a5a0db16e	4	189210038	189872905	336	0.0784
cd164222-023f-41cd-8932-295a5a0db16e	4	189874639	190106768	56	-0.0611
cd164222-023f-41cd-8932-295a5a0db16e	5	15532	1927179	942	0.1724
cd164222-023f-41cd-8932-295a5a0db16e	5	1927239	3061778	1045	0.0768
cd164222-023f-41cd-8932-295a5a0db16e	5	3063324	3152744	132	0.1664
cd164222-023f-41cd-8932-295a5a0db16e	5	3152843	17513285	11253	0.0563
cd164222-023f-41cd-8932-295a5a0db16e	5	17513301	17625524	13	-0.6818
cd164222-023f-41cd-8932-295a5a0db16e	5	17629411	30457784	7606	0.0274
cd164222-023f-41cd-8932-295a5a0db16e	5	30460696	46251204	9671	0.0516
cd164222-023f-41cd-8932-295a5a0db16e	5	46270906	46273400	8	0.7828
cd164222-023f-41cd-8932-295a5a0db16e	5	46278110	82623242	19629	0.0505
cd164222-023f-41cd-8932-295a5a0db16e	5	82623262	104515520	12315	0.0292
cd164222-023f-41cd-8932-295a5a0db16e	5	104524672	104524903	4	-1.096
cd164222-023f-41cd-8932-295a5a0db16e	5	104525348	132318232	18212	0.0432
cd164222-023f-41cd-8932-295a5a0db16e	5	132318321	150822643	11573	0.0655
cd164222-023f-41cd-8932-295a5a0db16e	5	150825938	150839042	8	-0.6188
cd164222-023f-41cd-8932-295a5a0db16e	5	150843825	156048095	3634	0.0618
cd164222-023f-41cd-8932-295a5a0db16e	5	156049762	156068240	15	-0.6069
cd164222-023f-41cd-8932-295a5a0db16e	5	156068247	160623155	3125	0.07
cd164222-023f-41cd-8932-295a5a0db16e	5	160623279	169792995	6368	0.0433
cd164222-023f-41cd-8932-295a5a0db16e	5	169794382	169970056	165	0.1224
cd164222-023f-41cd-8932-295a5a0db16e	5	169972786	169973390	2	1.1369
cd164222-023f-41cd-8932-295a5a0db16e	5	169973633	172050342	1461	0.0806
cd164222-023f-41cd-8932-295a5a0db16e	5	172050699	172196824	124	0.2857
cd164222-023f-41cd-8932-295a5a0db16e	5	172196884	180766199	5248	0.0963
cd164222-023f-41cd-8932-295a5a0db16e	5	180766779	180769816	5	-0.7451
cd164222-023f-41cd-8932-295a5a0db16e	5	180772253	180947523	99	0.0805
cd164222-023f-41cd-8932-295a5a0db16e	5	180951710	180991103	19	-1.7543
cd164222-023f-41cd-8932-295a5a0db16e	5	181006225	181363319	170	0.1248
cd164222-023f-41cd-8932-295a5a0db16e	6	149661	724957	477	0.178
cd164222-023f-41cd-8932-295a5a0db16e	6	726515	23057409	17223	0.0625
cd164222-023f-41cd-8932-295a5a0db16e	6	23060763	23068198	8	-0.6703
cd164222-023f-41cd-8932-295a5a0db16e	6	23073927	29865090	3922	0.0624
cd164222-023f-41cd-8932-295a5a0db16e	6	29865764	29931900	47	0.2977
cd164222-023f-41cd-8932-295a5a0db16e	6	29933787	29933799	4	-1.0754
cd164222-023f-41cd-8932-295a5a0db16e	6	29940692	31189816	558	0.0905
cd164222-023f-41cd-8932-295a5a0db16e	6	31193433	31313046	85	0.2051
cd164222-023f-41cd-8932-295a5a0db16e	6	31318499	31328176	8	-1.6084
cd164222-023f-41cd-8932-295a5a0db16e	6	31328210	32627306	551	0.1249
cd164222-023f-41cd-8932-295a5a0db16e	6	32627455	32634330	3	1.9483
cd164222-023f-41cd-8932-295a5a0db16e	6	32634492	32658841	12	-0.4454
cd164222-023f-41cd-8932-295a5a0db16e	6	32682835	32718419	36	0.1758
cd164222-023f-41cd-8932-295a5a0db16e	6	32720838	32723035	10	0.7838
cd164222-023f-41cd-8932-295a5a0db16e	6	32723053	43925201	7066	0.0892
cd164222-023f-41cd-8932-295a5a0db16e	6	43929649	43937640	17	0.4916
cd164222-023f-41cd-8932-295a5a0db16e	6	43940887	46973508	2000	0.0644
cd164222-023f-41cd-8932-295a5a0db16e	6	46973827	64627049	8804	0.0383
cd164222-023f-41cd-8932-295a5a0db16e	6	64637651	64639099	2	-2.1135
cd164222-023f-41cd-8932-295a5a0db16e	6	64640883	65075622	289	0.0249
