GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1969b42e-3d78-45c1-be41-ec4837d50150	1	62920	3301765	737	0.1183
1969b42e-3d78-45c1-be41-ec4837d50150	1	3302046	16689764	7936	0.0046
1969b42e-3d78-45c1-be41-ec4837d50150	1	16718963	16898730	34	-0.7516
1969b42e-3d78-45c1-be41-ec4837d50150	1	16898872	16902211	3	0.616
1969b42e-3d78-45c1-be41-ec4837d50150	1	16909189	16935200	34	-0.3314
1969b42e-3d78-45c1-be41-ec4837d50150	1	16935302	21992508	3344	-0.0005
1969b42e-3d78-45c1-be41-ec4837d50150	1	21996664	22010750	5	-0.9495
1969b42e-3d78-45c1-be41-ec4837d50150	1	22011632	30253727	4315	-0.0017
1969b42e-3d78-45c1-be41-ec4837d50150	1	30253846	30276910	22	0.3324
1969b42e-3d78-45c1-be41-ec4837d50150	1	30277057	30595286	260	0.0077
1969b42e-3d78-45c1-be41-ec4837d50150	1	30595405	30789158	152	0.1349
1969b42e-3d78-45c1-be41-ec4837d50150	1	30789990	34625993	2135	-0.0099
1969b42e-3d78-45c1-be41-ec4837d50150	1	34626037	34638890	22	0.3975
1969b42e-3d78-45c1-be41-ec4837d50150	1	34648667	37383192	1463	0.0096
1969b42e-3d78-45c1-be41-ec4837d50150	1	37386112	37455082	45	0.24
1969b42e-3d78-45c1-be41-ec4837d50150	1	37455442	72284670	22221	0.0078
1969b42e-3d78-45c1-be41-ec4837d50150	1	72290430	72297687	9	-1.1322
1969b42e-3d78-45c1-be41-ec4837d50150	1	72302735	72345465	48	0.9859
1969b42e-3d78-45c1-be41-ec4837d50150	1	72346221	72362638	15	-0.3664
1969b42e-3d78-45c1-be41-ec4837d50150	1	72363664	75585159	1911	0.0127
1969b42e-3d78-45c1-be41-ec4837d50150	1	75589078	75589169	2	-2.5136
1969b42e-3d78-45c1-be41-ec4837d50150	1	75593824	103613180	18053	0.0124
1969b42e-3d78-45c1-be41-ec4837d50150	1	103614539	103616762	6	-0.9754
1969b42e-3d78-45c1-be41-ec4837d50150	1	103620877	105476748	923	-0.0024
1969b42e-3d78-45c1-be41-ec4837d50150	1	105476861	105481448	15	0.5477
1969b42e-3d78-45c1-be41-ec4837d50150	1	105481468	109684893	2627	0.0042
1969b42e-3d78-45c1-be41-ec4837d50150	1	109690352	109697556	13	-0.631
1969b42e-3d78-45c1-be41-ec4837d50150	1	109702376	112147704	1947	0.0198
1969b42e-3d78-45c1-be41-ec4837d50150	1	112153343	112153993	11	0.7622
1969b42e-3d78-45c1-be41-ec4837d50150	1	112154165	121705338	5165	0.0082
1969b42e-3d78-45c1-be41-ec4837d50150	1	143459641	143546851	5	-0.9929
1969b42e-3d78-45c1-be41-ec4837d50150	1	143547055	143796140	114	-2.3385
1969b42e-3d78-45c1-be41-ec4837d50150	1	143811517	143942271	8	-0.9124
1969b42e-3d78-45c1-be41-ec4837d50150	1	144432083	152583230	2310	0.0154
1969b42e-3d78-45c1-be41-ec4837d50150	1	152583291	152613762	30	-1.9237
1969b42e-3d78-45c1-be41-ec4837d50150	1	152613802	152790286	185	0.0348
1969b42e-3d78-45c1-be41-ec4837d50150	1	152790414	152796224	23	0.5082
1969b42e-3d78-45c1-be41-ec4837d50150	1	152801429	158896783	3610	-0.0005
1969b42e-3d78-45c1-be41-ec4837d50150	1	158898711	158899969	2	-1.7836
1969b42e-3d78-45c1-be41-ec4837d50150	1	158905028	158989785	62	0.0313
1969b42e-3d78-45c1-be41-ec4837d50150	1	158992249	158993006	2	-1.1401
1969b42e-3d78-45c1-be41-ec4837d50150	1	158997074	167795598	6482	0.0125
1969b42e-3d78-45c1-be41-ec4837d50150	1	167796946	167797682	4	-0.9196
1969b42e-3d78-45c1-be41-ec4837d50150	1	167799276	175442551	5045	0.0051
1969b42e-3d78-45c1-be41-ec4837d50150	1	175442627	175796478	327	0.1307
1969b42e-3d78-45c1-be41-ec4837d50150	1	175796653	187746723	7934	0.0046
1969b42e-3d78-45c1-be41-ec4837d50150	1	187748429	187752238	2	-2.4552
1969b42e-3d78-45c1-be41-ec4837d50150	1	187755479	196762480	5960	0.007
1969b42e-3d78-45c1-be41-ec4837d50150	1	196762956	196854187	60	-0.6573
1969b42e-3d78-45c1-be41-ec4837d50150	1	196854483	209897717	8772	0.0002
1969b42e-3d78-45c1-be41-ec4837d50150	1	209908268	209908720	2	-1.7936
1969b42e-3d78-45c1-be41-ec4837d50150	1	209910639	228347663	12223	0.0061
1969b42e-3d78-45c1-be41-ec4837d50150	1	228347860	228442694	34	0.2866
1969b42e-3d78-45c1-be41-ec4837d50150	1	228447108	248446755	14521	0.0083
1969b42e-3d78-45c1-be41-ec4837d50150	1	248447206	248458096	3	-1.3576
1969b42e-3d78-45c1-be41-ec4837d50150	1	248458851	248930189	197	0.0321
1969b42e-3d78-45c1-be41-ec4837d50150	2	12784	3144361	2179	0.0266
1969b42e-3d78-45c1-be41-ec4837d50150	2	3147886	3290039	147	0.1997
1969b42e-3d78-45c1-be41-ec4837d50150	2	3291044	3680514	238	-0.0171
1969b42e-3d78-45c1-be41-ec4837d50150	2	3680971	3688948	6	-0.8981
1969b42e-3d78-45c1-be41-ec4837d50150	2	3694481	34474248	21488	0.0133
1969b42e-3d78-45c1-be41-ec4837d50150	2	34476327	34511990	45	-2.2006
1969b42e-3d78-45c1-be41-ec4837d50150	2	34512096	37411758	2179	0.0009
1969b42e-3d78-45c1-be41-ec4837d50150	2	37414647	37917090	412	0.0887
1969b42e-3d78-45c1-be41-ec4837d50150	2	37917458	41011095	2203	0.0014
1969b42e-3d78-45c1-be41-ec4837d50150	2	41011303	41011463	4	-1.3131
1969b42e-3d78-45c1-be41-ec4837d50150	2	41011478	41018409	17	-0.5522
1969b42e-3d78-45c1-be41-ec4837d50150	2	41018747	76315979	23496	0.0088
1969b42e-3d78-45c1-be41-ec4837d50150	2	76317340	76359585	37	-0.9239
1969b42e-3d78-45c1-be41-ec4837d50150	2	76364718	89897956	7418	0.0181
1969b42e-3d78-45c1-be41-ec4837d50150	2	89920951	89933871	3	1.3102
1969b42e-3d78-45c1-be41-ec4837d50150	2	89936810	106258266	6641	0.0081
1969b42e-3d78-45c1-be41-ec4837d50150	2	106263639	106270799	13	0.5124
1969b42e-3d78-45c1-be41-ec4837d50150	2	106270952	111482755	2621	0.01
1969b42e-3d78-45c1-be41-ec4837d50150	2	111483498	111486107	2	1.1532
1969b42e-3d78-45c1-be41-ec4837d50150	2	111486393	113604438	1157	0.0207
1969b42e-3d78-45c1-be41-ec4837d50150	2	113604837	113623244	3	-1.5124
1969b42e-3d78-45c1-be41-ec4837d50150	2	113625975	132183993	11178	0.0186
1969b42e-3d78-45c1-be41-ec4837d50150	2	132185662	132601016	226	0.1631
1969b42e-3d78-45c1-be41-ec4837d50150	2	132603497	146104517	8611	0.0104
1969b42e-3d78-45c1-be41-ec4837d50150	2	146106836	146109366	24	-1.7109
1969b42e-3d78-45c1-be41-ec4837d50150	2	146120238	179196928	20252	0.0118
1969b42e-3d78-45c1-be41-ec4837d50150	2	179202465	179214417	3	-2.535
1969b42e-3d78-45c1-be41-ec4837d50150	2	179218864	183743680	2902	0.0238
1969b42e-3d78-45c1-be41-ec4837d50150	2	183744945	183745083	2	-1.2587
1969b42e-3d78-45c1-be41-ec4837d50150	2	183746051	193823021	5671	0.0041
1969b42e-3d78-45c1-be41-ec4837d50150	2	193825580	193829074	2	1.6618
1969b42e-3d78-45c1-be41-ec4837d50150	2	193837590	209134632	9123	0.0039
1969b42e-3d78-45c1-be41-ec4837d50150	2	209135036	209168826	28	-0.7858
1969b42e-3d78-45c1-be41-ec4837d50150	2	209170066	242147305	21008	0.0064
1969b42e-3d78-45c1-be41-ec4837d50150	3	20930	5552625	4873	0.0285
1969b42e-3d78-45c1-be41-ec4837d50150	3	5554746	5958464	343	0.1185
1969b42e-3d78-45c1-be41-ec4837d50150	3	5958567	11066468	4148	0.017
1969b42e-3d78-45c1-be41-ec4837d50150	3	11069122	11069885	2	-1.2176
1969b42e-3d78-45c1-be41-ec4837d50150	3	11074235	26384700	10492	0.0159
1969b42e-3d78-45c1-be41-ec4837d50150	3	26392633	26397852	5	-0.9996
1969b42e-3d78-45c1-be41-ec4837d50150	3	26404482	36633435	6885	0.0209
1969b42e-3d78-45c1-be41-ec4837d50150	3	36635655	36635994	2	-1.3326
1969b42e-3d78-45c1-be41-ec4837d50150	3	36638791	59640151	13394	0.0068
1969b42e-3d78-45c1-be41-ec4837d50150	3	59640239	60692293	1222	0.072
1969b42e-3d78-45c1-be41-ec4837d50150	3	60692617	162405578	60965	0.0128
1969b42e-3d78-45c1-be41-ec4837d50150	3	162419812	162424917	14	-1.1125
1969b42e-3d78-45c1-be41-ec4837d50150	3	162426460	162790480	258	-0.0382
1969b42e-3d78-45c1-be41-ec4837d50150	3	162794869	162908207	70	-1.455
1969b42e-3d78-45c1-be41-ec4837d50150	3	162908784	189642965	16627	0.0023
1969b42e-3d78-45c1-be41-ec4837d50150	3	189645889	189653199	12	-0.831
1969b42e-3d78-45c1-be41-ec4837d50150	3	189653225	193160113	2489	0.0184
1969b42e-3d78-45c1-be41-ec4837d50150	3	193160173	193165114	19	-1.3212
1969b42e-3d78-45c1-be41-ec4837d50150	3	193168646	198142659	2685	-0.0081
1969b42e-3d78-45c1-be41-ec4837d50150	3	198169114	198169247	4	0.8955
1969b42e-3d78-45c1-be41-ec4837d50150	4	68929	9469529	5163	0.0099
1969b42e-3d78-45c1-be41-ec4837d50150	4	9477560	9477699	2	-1.6526
1969b42e-3d78-45c1-be41-ec4837d50150	4	9484440	10208670	538	0.0405
1969b42e-3d78-45c1-be41-ec4837d50150	4	10208766	10244648	47	0.6493
1969b42e-3d78-45c1-be41-ec4837d50150	4	10245888	10269512	31	0.0329
1969b42e-3d78-45c1-be41-ec4837d50150	4	10270469	10271925	5	0.5221
1969b42e-3d78-45c1-be41-ec4837d50150	4	10271955	10397113	131	0.0438
1969b42e-3d78-45c1-be41-ec4837d50150	4	10397210	10399044	10	-0.5421
1969b42e-3d78-45c1-be41-ec4837d50150	4	10401094	32453817	15464	0.0136
1969b42e-3d78-45c1-be41-ec4837d50150	4	32455285	32535441	49	-0.2159
1969b42e-3d78-45c1-be41-ec4837d50150	4	32537555	34804603	1273	0.0115
1969b42e-3d78-45c1-be41-ec4837d50150	4	34804618	34823103	15	0.4928
1969b42e-3d78-45c1-be41-ec4837d50150	4	34828250	38452416	2582	0.0181
1969b42e-3d78-45c1-be41-ec4837d50150	4	38455126	38466253	11	-1.0216
1969b42e-3d78-45c1-be41-ec4837d50150	4	38468085	38986967	377	0.0033
1969b42e-3d78-45c1-be41-ec4837d50150	4	38988060	40567950	822	-0.0495
1969b42e-3d78-45c1-be41-ec4837d50150	4	40568404	43361574	1883	0.0227
1969b42e-3d78-45c1-be41-ec4837d50150	4	43361856	43366272	5	-0.7377
1969b42e-3d78-45c1-be41-ec4837d50150	4	43372617	48253249	2901	0.0174
1969b42e-3d78-45c1-be41-ec4837d50150	4	48253264	48257808	6	0.718
1969b42e-3d78-45c1-be41-ec4837d50150	4	48257908	63821843	7940	0.0077
1969b42e-3d78-45c1-be41-ec4837d50150	4	63821857	63841887	30	-0.2884
1969b42e-3d78-45c1-be41-ec4837d50150	4	63842036	63842540	6	-1.1078
1969b42e-3d78-45c1-be41-ec4837d50150	4	63850713	63865087	11	-0.292
1969b42e-3d78-45c1-be41-ec4837d50150	4	63866325	64958440	655	0.0113
1969b42e-3d78-45c1-be41-ec4837d50150	4	64958534	64958552	2	-1.3682
1969b42e-3d78-45c1-be41-ec4837d50150	4	64958595	65075488	109	0.0239
1969b42e-3d78-45c1-be41-ec4837d50150	4	65075502	65078596	2	-1.3648
1969b42e-3d78-45c1-be41-ec4837d50150	4	65078607	68378716	2063	0.0117
1969b42e-3d78-45c1-be41-ec4837d50150	4	68389352	68394833	4	-0.7267
1969b42e-3d78-45c1-be41-ec4837d50150	4	68395346	68422424	6	-1.7072
1969b42e-3d78-45c1-be41-ec4837d50150	4	68429081	68506285	12	0.038
1969b42e-3d78-45c1-be41-ec4837d50150	4	68509223	68655691	69	0.5612
1969b42e-3d78-45c1-be41-ec4837d50150	4	68663241	69265191	316	-0.0107
1969b42e-3d78-45c1-be41-ec4837d50150	4	69265628	69405833	70	0.2498
1969b42e-3d78-45c1-be41-ec4837d50150	4	69412731	114252544	27257	0.0117
1969b42e-3d78-45c1-be41-ec4837d50150	4	114254167	114261019	23	-1.4949
1969b42e-3d78-45c1-be41-ec4837d50150	4	114263073	137171085	13224	0.0084
1969b42e-3d78-45c1-be41-ec4837d50150	4	137171266	137172260	13	-0.7438
1969b42e-3d78-45c1-be41-ec4837d50150	4	137173804	160131622	14059	0.0108
1969b42e-3d78-45c1-be41-ec4837d50150	4	160132439	160149637	38	-0.8098
1969b42e-3d78-45c1-be41-ec4837d50150	4	160162718	160952848	592	0.0105
1969b42e-3d78-45c1-be41-ec4837d50150	4	160958866	160963971	28	-0.5157
1969b42e-3d78-45c1-be41-ec4837d50150	4	160964013	190106768	19134	0.0071
1969b42e-3d78-45c1-be41-ec4837d50150	5	15532	2077242	1067	0.054
1969b42e-3d78-45c1-be41-ec4837d50150	5	2080115	2081711	2	-1.9419
1969b42e-3d78-45c1-be41-ec4837d50150	5	2085242	12815668	9104	0.0133
1969b42e-3d78-45c1-be41-ec4837d50150	5	12815753	12819964	8	-1.9608
1969b42e-3d78-45c1-be41-ec4837d50150	5	12824299	28628378	9648	0.0048
1969b42e-3d78-45c1-be41-ec4837d50150	5	28631392	28720113	69	-0.2105
1969b42e-3d78-45c1-be41-ec4837d50150	5	28720585	29018092	157	0.0188
1969b42e-3d78-45c1-be41-ec4837d50150	5	29018155	29020510	7	-0.6775
1969b42e-3d78-45c1-be41-ec4837d50150	5	29023197	45915946	10492	0.0132
1969b42e-3d78-45c1-be41-ec4837d50150	5	45921037	45922221	2	1.1971
1969b42e-3d78-45c1-be41-ec4837d50150	5	45930948	46191782	44	0.1125
1969b42e-3d78-45c1-be41-ec4837d50150	5	46195781	46199333	4	-1.2272
1969b42e-3d78-45c1-be41-ec4837d50150	5	46209197	46251204	13	0.1734
1969b42e-3d78-45c1-be41-ec4837d50150	5	46270906	46273400	8	1.2124
1969b42e-3d78-45c1-be41-ec4837d50150	5	46278110	70959071	12387	0.0119
1969b42e-3d78-45c1-be41-ec4837d50150	5	70959073	71011717	10	-0.8203
1969b42e-3d78-45c1-be41-ec4837d50150	5	71053366	86815939	9622	0.0124
1969b42e-3d78-45c1-be41-ec4837d50150	5	86819561	86825812	4	-1.1254
1969b42e-3d78-45c1-be41-ec4837d50150	5	86826950	140839137	33052	0.0087
1969b42e-3d78-45c1-be41-ec4837d50150	5	140844251	140852254	10	-1.0918
1969b42e-3d78-45c1-be41-ec4837d50150	5	140861442	150822643	6559	0.0111
1969b42e-3d78-45c1-be41-ec4837d50150	5	150825938	150839042	8	-1.0697
1969b42e-3d78-45c1-be41-ec4837d50150	5	150843825	152135825	964	0.01
1969b42e-3d78-45c1-be41-ec4837d50150	5	152135909	152138790	13	-0.7557
1969b42e-3d78-45c1-be41-ec4837d50150	5	152140710	180947523	19256	0.0141
