GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f78c342b-17d9-466c-aa27-734284924150	1	62920	1575421	209	-0.07
f78c342b-17d9-466c-aa27-734284924150	1	1696479	1741164	16	-1.1702
f78c342b-17d9-466c-aa27-734284924150	1	1756148	16868660	8467	-0.0568
f78c342b-17d9-466c-aa27-734284924150	1	16877002	16951445	54	-0.4337
f78c342b-17d9-466c-aa27-734284924150	1	16955930	22292849	3538	-0.0481
f78c342b-17d9-466c-aa27-734284924150	1	22295796	22296873	4	-1.1088
f78c342b-17d9-466c-aa27-734284924150	1	22297370	25256850	1708	-0.0591
f78c342b-17d9-466c-aa27-734284924150	1	25266637	25319693	21	-2.3892
f78c342b-17d9-466c-aa27-734284924150	1	25320198	46435874	11455	-0.0491
f78c342b-17d9-466c-aa27-734284924150	1	46436727	46439395	3	-1.1292
f78c342b-17d9-466c-aa27-734284924150	1	46440130	53226993	3652	-0.0348
f78c342b-17d9-466c-aa27-734284924150	1	53230379	53230749	2	-1.5484
f78c342b-17d9-466c-aa27-734284924150	1	53233457	63001637	7237	-0.0262
f78c342b-17d9-466c-aa27-734284924150	1	63001924	63006432	7	-0.81
f78c342b-17d9-466c-aa27-734284924150	1	63007197	72284670	6333	-0.0306
f78c342b-17d9-466c-aa27-734284924150	1	72290430	72297687	9	-0.8268
f78c342b-17d9-466c-aa27-734284924150	1	72302735	72343036	39	0.1654
f78c342b-17d9-466c-aa27-734284924150	1	72343068	109684893	23548	-0.0262
f78c342b-17d9-466c-aa27-734284924150	1	109690352	109697533	12	-0.6136
f78c342b-17d9-466c-aa27-734284924150	1	109697556	112147704	1948	-0.0323
f78c342b-17d9-466c-aa27-734284924150	1	112153343	112154591	22	0.3799
f78c342b-17d9-466c-aa27-734284924150	1	112154619	143547226	5160	-0.0292
f78c342b-17d9-466c-aa27-734284924150	1	143547578	144442092	120	0.1385
f78c342b-17d9-466c-aa27-734284924150	1	144442098	144932423	13	-0.7642
f78c342b-17d9-466c-aa27-734284924150	1	145642976	152583051	2290	-0.0317
f78c342b-17d9-466c-aa27-734284924150	1	152583230	152614100	34	-2.1294
f78c342b-17d9-466c-aa27-734284924150	1	152614118	152787202	167	-0.0246
f78c342b-17d9-466c-aa27-734284924150	1	152789447	152801429	38	-0.4227
f78c342b-17d9-466c-aa27-734284924150	1	152804279	161553345	5255	-0.0491
f78c342b-17d9-466c-aa27-734284924150	1	161647612	161649268	10	-0.6036
f78c342b-17d9-466c-aa27-734284924150	1	161678447	196745743	24146	-0.0285
f78c342b-17d9-466c-aa27-734284924150	1	196758720	196843377	59	0.2454
f78c342b-17d9-466c-aa27-734284924150	1	196843400	196846661	2	-2.218
f78c342b-17d9-466c-aa27-734284924150	1	196847600	199142235	1366	-0.0275
f78c342b-17d9-466c-aa27-734284924150	1	199142298	199144712	8	-0.7549
f78c342b-17d9-466c-aa27-734284924150	1	199145110	209897717	7388	-0.0371
f78c342b-17d9-466c-aa27-734284924150	1	209908268	209910639	3	-2.6445
f78c342b-17d9-466c-aa27-734284924150	1	209913207	246425116	25492	-0.0316
f78c342b-17d9-466c-aa27-734284924150	1	246425245	246425320	2	-2.5741
f78c342b-17d9-466c-aa27-734284924150	1	246425428	248046743	1035	-0.0241
f78c342b-17d9-466c-aa27-734284924150	1	248053139	248056087	2	-1.3158
f78c342b-17d9-466c-aa27-734284924150	1	248059122	248424525	220	0.0182
f78c342b-17d9-466c-aa27-734284924150	1	248429571	248477891	18	0.3987
f78c342b-17d9-466c-aa27-734284924150	1	248520099	248574146	15	-0.1052
f78c342b-17d9-466c-aa27-734284924150	1	248585893	248645808	34	-0.8714
f78c342b-17d9-466c-aa27-734284924150	1	248646068	248930189	139	0.0227
f78c342b-17d9-466c-aa27-734284924150	2	12784	34466002	24039	-0.0261
f78c342b-17d9-466c-aa27-734284924150	2	34474248	34515690	50	0.2946
f78c342b-17d9-466c-aa27-734284924150	2	34515732	35750907	862	-0.0059
f78c342b-17d9-466c-aa27-734284924150	2	35752724	35762850	6	-2.2501
f78c342b-17d9-466c-aa27-734284924150	2	35762881	49295759	9836	-0.0204
f78c342b-17d9-466c-aa27-734284924150	2	49305903	49314051	6	-0.8923
f78c342b-17d9-466c-aa27-734284924150	2	49317902	52527330	2266	-0.0023
f78c342b-17d9-466c-aa27-734284924150	2	52527342	52554404	39	0.8227
f78c342b-17d9-466c-aa27-734284924150	2	52560811	86710564	21865	-0.0281
f78c342b-17d9-466c-aa27-734284924150	2	86725947	86726731	2	-1.6771
f78c342b-17d9-466c-aa27-734284924150	2	86743283	97359885	1930	-0.0179
f78c342b-17d9-466c-aa27-734284924150	2	97524284	97545726	9	-1.1128
f78c342b-17d9-466c-aa27-734284924150	2	97550415	106265177	5566	-0.0389
f78c342b-17d9-466c-aa27-734284924150	2	106266773	106270799	9	-0.7784
f78c342b-17d9-466c-aa27-734284924150	2	106270952	113604438	3780	-0.0248
f78c342b-17d9-466c-aa27-734284924150	2	113604837	113623244	3	-1.5339
f78c342b-17d9-466c-aa27-734284924150	2	113625975	122719438	5693	-0.0267
f78c342b-17d9-466c-aa27-734284924150	2	122722323	122724665	8	-0.936
f78c342b-17d9-466c-aa27-734284924150	2	122726077	163780342	24890	-0.0233
f78c342b-17d9-466c-aa27-734284924150	2	163786978	163788616	5	-1.0771
f78c342b-17d9-466c-aa27-734284924150	2	163790132	183220725	12222	-0.0262
f78c342b-17d9-466c-aa27-734284924150	2	183221060	183224996	9	-1.2923
f78c342b-17d9-466c-aa27-734284924150	2	183229270	188259504	2866	-0.0104
f78c342b-17d9-466c-aa27-734284924150	2	188262203	188264331	2	-1.3484
f78c342b-17d9-466c-aa27-734284924150	2	188264452	193823021	3135	-0.0266
f78c342b-17d9-466c-aa27-734284924150	2	193825580	193829074	2	1.4876
f78c342b-17d9-466c-aa27-734284924150	2	193837590	232146578	23821	-0.0255
f78c342b-17d9-466c-aa27-734284924150	2	232148445	232158299	2	1.1512
f78c342b-17d9-466c-aa27-734284924150	2	232158362	232507240	185	-0.0007
f78c342b-17d9-466c-aa27-734284924150	2	232507645	242147305	6130	-0.0507
f78c342b-17d9-466c-aa27-734284924150	3	20930	2908179	2514	0.0372
f78c342b-17d9-466c-aa27-734284924150	3	2908852	68697013	45153	-0.0334
f78c342b-17d9-466c-aa27-734284924150	3	68697108	68698262	14	-1.3226
f78c342b-17d9-466c-aa27-734284924150	3	68699607	75344579	4847	-0.0297
f78c342b-17d9-466c-aa27-734284924150	3	75345284	75519398	65	0.1599
f78c342b-17d9-466c-aa27-734284924150	3	75523398	75537654	5	-1.303
f78c342b-17d9-466c-aa27-734284924150	3	75546030	95737262	9104	-0.026
f78c342b-17d9-466c-aa27-734284924150	3	95748036	95749266	2	-1.7895
f78c342b-17d9-466c-aa27-734284924150	3	95749836	130067097	20555	-0.0331
f78c342b-17d9-466c-aa27-734284924150	3	130067366	130087393	32	-1.8309
f78c342b-17d9-466c-aa27-734284924150	3	130088081	143566923	8339	-0.0347
f78c342b-17d9-466c-aa27-734284924150	3	143566958	143567132	4	1.3917
f78c342b-17d9-466c-aa27-734284924150	3	143567959	148213598	2855	-0.0181
f78c342b-17d9-466c-aa27-734284924150	3	148215550	148215687	2	-1.6156
f78c342b-17d9-466c-aa27-734284924150	3	148217206	162790480	9014	-0.0277
f78c342b-17d9-466c-aa27-734284924150	3	162794869	162908207	70	-1.3837
f78c342b-17d9-466c-aa27-734284924150	3	162908784	173444687	6278	-0.0279
f78c342b-17d9-466c-aa27-734284924150	3	173445369	173841741	286	0.0693
f78c342b-17d9-466c-aa27-734284924150	3	173841761	175362822	1071	-0.0422
f78c342b-17d9-466c-aa27-734284924150	3	175362958	175363437	4	-2.8293
f78c342b-17d9-466c-aa27-734284924150	3	175363536	175379493	24	-0.1631
f78c342b-17d9-466c-aa27-734284924150	3	175382103	176032059	392	0.0472
f78c342b-17d9-466c-aa27-734284924150	3	176038415	193160113	11054	-0.0345
f78c342b-17d9-466c-aa27-734284924150	3	193160173	193165114	19	1.311
f78c342b-17d9-466c-aa27-734284924150	3	193168646	195558822	1475	-0.0421
f78c342b-17d9-466c-aa27-734284924150	3	195559056	195747892	45	-0.7142
f78c342b-17d9-466c-aa27-734284924150	3	195751823	195934679	80	-0.0443
f78c342b-17d9-466c-aa27-734284924150	3	195963975	195974292	4	-1.1691
f78c342b-17d9-466c-aa27-734284924150	3	195974457	196058126	39	0.0128
f78c342b-17d9-466c-aa27-734284924150	3	196059428	196285991	117	-0.1674
f78c342b-17d9-466c-aa27-734284924150	3	196287202	198169247	926	-0.0299
f78c342b-17d9-466c-aa27-734284924150	4	68929	9450197	5153	-0.041
f78c342b-17d9-466c-aa27-734284924150	4	9455251	9477699	7	0.8718
f78c342b-17d9-466c-aa27-734284924150	4	9484440	10208766	539	0.008
f78c342b-17d9-466c-aa27-734284924150	4	10212536	10227668	14	0.821
f78c342b-17d9-466c-aa27-734284924150	4	10227684	10389091	192	0.0108
f78c342b-17d9-466c-aa27-734284924150	4	10390730	10399044	16	-0.6041
f78c342b-17d9-466c-aa27-734284924150	4	10401094	12594569	1781	-0.0292
f78c342b-17d9-466c-aa27-734284924150	4	12600918	12603754	2	-1.4381
f78c342b-17d9-466c-aa27-734284924150	4	12605299	18684180	4491	-0.0348
f78c342b-17d9-466c-aa27-734284924150	4	18687917	18748159	38	0.5537
f78c342b-17d9-466c-aa27-734284924150	4	18748594	34777432	10441	-0.0231
f78c342b-17d9-466c-aa27-734284924150	4	34784878	34822561	37	-0.6024
f78c342b-17d9-466c-aa27-734284924150	4	34823103	37628953	1929	-0.0155
f78c342b-17d9-466c-aa27-734284924150	4	37629269	41520215	2514	-0.0524
f78c342b-17d9-466c-aa27-734284924150	4	41522909	49214614	4517	-0.0119
f78c342b-17d9-466c-aa27-734284924150	4	49289175	49289338	2	1.3014
f78c342b-17d9-466c-aa27-734284924150	4	49295203	60457099	5666	-0.0318
f78c342b-17d9-466c-aa27-734284924150	4	60461461	60465899	4	0.8014
f78c342b-17d9-466c-aa27-734284924150	4	60469846	63828222	1897	-0.0109
f78c342b-17d9-466c-aa27-734284924150	4	63831751	63841887	22	-1.3281
f78c342b-17d9-466c-aa27-734284924150	4	63842036	63842540	6	-3.3942
f78c342b-17d9-466c-aa27-734284924150	4	63850713	68354665	2842	-0.0208
f78c342b-17d9-466c-aa27-734284924150	4	68361130	68620122	88	0.4627
f78c342b-17d9-466c-aa27-734284924150	4	68620261	69272239	326	0.0766
f78c342b-17d9-466c-aa27-734284924150	4	69272320	69366406	46	-0.6203
f78c342b-17d9-466c-aa27-734284924150	4	69370433	69523998	108	-0.0169
f78c342b-17d9-466c-aa27-734284924150	4	69524143	69525061	2	-2.4721
f78c342b-17d9-466c-aa27-734284924150	4	69526170	114252544	27143	-0.0282
f78c342b-17d9-466c-aa27-734284924150	4	114254167	114261019	23	-1.6682
f78c342b-17d9-466c-aa27-734284924150	4	114263073	137033231	13130	-0.0243
f78c342b-17d9-466c-aa27-734284924150	4	137033441	137040260	5	-1.5765
f78c342b-17d9-466c-aa27-734284924150	4	137042363	137171085	80	0.0267
f78c342b-17d9-466c-aa27-734284924150	4	137171266	137173967	16	-0.7755
f78c342b-17d9-466c-aa27-734284924150	4	137187209	157639971	12612	-0.0273
f78c342b-17d9-466c-aa27-734284924150	4	157639988	157640571	5	-0.958
f78c342b-17d9-466c-aa27-734284924150	4	157640707	160952694	2056	-0.0204
f78c342b-17d9-466c-aa27-734284924150	4	160952754	160963767	27	0.3642
f78c342b-17d9-466c-aa27-734284924150	4	160963806	172066777	7060	-0.0204
f78c342b-17d9-466c-aa27-734284924150	4	172067997	172068382	12	0.94
f78c342b-17d9-466c-aa27-734284924150	4	172074828	172501371	230	-0.0083
f78c342b-17d9-466c-aa27-734284924150	4	172503796	172507492	7	0.7656
f78c342b-17d9-466c-aa27-734284924150	4	172519981	188515761	10888	-0.0194
f78c342b-17d9-466c-aa27-734284924150	4	188515932	188516256	8	-1.0708
f78c342b-17d9-466c-aa27-734284924150	4	188518718	190106768	923	0.012
f78c342b-17d9-466c-aa27-734284924150	5	15532	12785150	10161	-0.0275
f78c342b-17d9-466c-aa27-734284924150	5	12790757	12826538	15	-0.4974
f78c342b-17d9-466c-aa27-734284924150	5	12833745	62277545	28358	-0.0217
f78c342b-17d9-466c-aa27-734284924150	5	62279164	62280446	3	-1.5075
f78c342b-17d9-466c-aa27-734284924150	5	62286365	69571467	4446	-0.0249
f78c342b-17d9-466c-aa27-734284924150	5	69779150	69822308	4	1.1352
f78c342b-17d9-466c-aa27-734284924150	5	69937600	99141104	16402	-0.0256
f78c342b-17d9-466c-aa27-734284924150	5	99143476	100328823	698	0.0523
f78c342b-17d9-466c-aa27-734284924150	5	100328936	115914575	10068	-0.0222
f78c342b-17d9-466c-aa27-734284924150	5	115917073	116985869	968	0.0302
f78c342b-17d9-466c-aa27-734284924150	5	116989202	118050922	733	-0.0266
f78c342b-17d9-466c-aa27-734284924150	5	118052727	118068645	12	-0.7489
f78c342b-17d9-466c-aa27-734284924150	5	118071110	119508143	937	-0.0165
f78c342b-17d9-466c-aa27-734284924150	5	119508585	119508868	3	-1.0988
f78c342b-17d9-466c-aa27-734284924150	5	119514980	140838209	12859	-0.0277
f78c342b-17d9-466c-aa27-734284924150	5	140838745	140861442	13	-0.8502
f78c342b-17d9-466c-aa27-734284924150	5	140862894	177800550	24987	-0.0249
f78c342b-17d9-466c-aa27-734284924150	5	177801578	177805604	2	1.7482
f78c342b-17d9-466c-aa27-734284924150	5	177827964	181363319	1984	-0.0448
f78c342b-17d9-466c-aa27-734284924150	6	149661	294837	124	-0.0253
f78c342b-17d9-466c-aa27-734284924150	6	302306	378703	75	-0.3575
f78c342b-17d9-466c-aa27-734284924150	6	379015	4698433	3565	-0.0249
f78c342b-17d9-466c-aa27-734284924150	6	4700450	4700910	3	1.0306
f78c342b-17d9-466c-aa27-734284924150	6	4701267	18767978	10751	-0.0325
f78c342b-17d9-466c-aa27-734284924150	6	18772636	18772867	2	1.6082
f78c342b-17d9-466c-aa27-734284924150	6	18773597	31313046	7773	-0.0306
f78c342b-17d9-466c-aa27-734284924150	6	31318499	31319445	5	0.7851
f78c342b-17d9-466c-aa27-734284924150	6	31319724	32502142	511	-0.0218
f78c342b-17d9-466c-aa27-734284924150	6	32502190	32634330	45	-0.6521
f78c342b-17d9-466c-aa27-734284924150	6	32634492	53641009	13332	-0.039
f78c342b-17d9-466c-aa27-734284924150	6	53642568	53642829	2	-2.0773
f78c342b-17d9-466c-aa27-734284924150	6	53642976	54066269	347	-0.0065
f78c342b-17d9-466c-aa27-734284924150	6	54066286	54067057	8	-1.0885
f78c342b-17d9-466c-aa27-734284924150	6	54070550	58125982	2080	-0.0228
f78c342b-17d9-466c-aa27-734284924150	6	58126216	60980860	317	0.0749
f78c342b-17d9-466c-aa27-734284924150	6	60989374	72098900	6839	-0.0169
f78c342b-17d9-466c-aa27-734284924150	6	72099253	72099268	2	-1.3839
f78c342b-17d9-466c-aa27-734284924150	6	72099280	76305231	2600	-0.0266
f78c342b-17d9-466c-aa27-734284924150	6	76307183	76307360	8	0.6802
f78c342b-17d9-466c-aa27-734284924150	6	76312261	76726442	290	-0.0416
f78c342b-17d9-466c-aa27-734284924150	6	76726815	76742972	21	0.3895
f78c342b-17d9-466c-aa27-734284924150	6	76743040	78252909	975	-0.0181
f78c342b-17d9-466c-aa27-734284924150	6	78253157	78325457	113	-0.5326
f78c342b-17d9-466c-aa27-734284924150	6	78325468	81681480	2215	-0.0197
f78c342b-17d9-466c-aa27-734284924150	6	81682092	81736333	59	0.1712
f78c342b-17d9-466c-aa27-734284924150	6	81736632	93921912	7708	-0.0258
f78c342b-17d9-466c-aa27-734284924150	6	93923332	94919986	668	0.0561
f78c342b-17d9-466c-aa27-734284924150	6	94920300	103286954	4803	-0.0216
f78c342b-17d9-466c-aa27-734284924150	6	103290101	103314186	46	-1.7235
f78c342b-17d9-466c-aa27-734284924150	6	103317795	170741917	44071	-0.0321
f78c342b-17d9-466c-aa27-734284924150	7	43355	8176306	4539	0.431
f78c342b-17d9-466c-aa27-734284924150	7	8181214	10590443	1952	0.4948
f78c342b-17d9-466c-aa27-734284924150	7	10591146	19205551	7092	0.4518
f78c342b-17d9-466c-aa27-734284924150	7	19205594	19718482	402	0.5503
f78c342b-17d9-466c-aa27-734284924150	7	19718739	23995508	3108	0.4367
f78c342b-17d9-466c-aa27-734284924150	7	24000259	24000764	2	1.6051
f78c342b-17d9-466c-aa27-734284924150	7	24001198	26088062	1684	0.4425
f78c342b-17d9-466c-aa27-734284924150	7	26088762	26089138	2	-0.876
f78c342b-17d9-466c-aa27-734284924150	7	26090896	38244598	8532	0.4392
f78c342b-17d9-466c-aa27-734284924150	7	38246926	38370835	137	0.7269
f78c342b-17d9-466c-aa27-734284924150	7	38373446	54305455	10959	0.437
f78c342b-17d9-466c-aa27-734284924150	7	54318812	54318824	6	4.4218
f78c342b-17d9-466c-aa27-734284924150	7	54325795	65108474	3016	0.4341
f78c342b-17d9-466c-aa27-734284924150	7	65133963	65176750	2	-1.524
f78c342b-17d9-466c-aa27-734284924150	7	65177779	73312738	4300	0.4267
f78c342b-17d9-466c-aa27-734284924150	7	73317954	78066941	1697	0.3937
f78c342b-17d9-466c-aa27-734284924150	7	78068039	88571697	6871	0.4452
f78c342b-17d9-466c-aa27-734284924150	7	88571715	90245730	1124	0.537
f78c342b-17d9-466c-aa27-734284924150	7	90252497	91728554	1040	0.447
f78c342b-17d9-466c-aa27-734284924150	7	91728979	91729639	6	-0.2056
f78c342b-17d9-466c-aa27-734284924150	7	91729718	97756658	3732	0.431
f78c342b-17d9-466c-aa27-734284924150	7	97766148	97773163	16	-0.8273
f78c342b-17d9-466c-aa27-734284924150	7	97774928	100727566	1278	0.4094
f78c342b-17d9-466c-aa27-734284924150	7	100731621	100735219	3	-0.688
f78c342b-17d9-466c-aa27-734284924150	7	100753382	109801155	5324	0.4235
f78c342b-17d9-466c-aa27-734284924150	7	109801187	109813925	12	1.2999
f78c342b-17d9-466c-aa27-734284924150	7	109814172	111223837	933	0.4542
f78c342b-17d9-466c-aa27-734284924150	7	111224076	111565751	226	0.5533
f78c342b-17d9-466c-aa27-734284924150	7	111569048	111585810	7	0.0433
f78c342b-17d9-466c-aa27-734284924150	7	111587668	111638221	28	0.656
f78c342b-17d9-466c-aa27-734284924150	7	111644105	128516532	10227	0.4363
f78c342b-17d9-466c-aa27-734284924150	7	128518689	128582037	14	0.0124
f78c342b-17d9-466c-aa27-734284924150	7	128588707	134100424	3289	0.4302
f78c342b-17d9-466c-aa27-734284924150	7	134100442	134100664	6	-0.7478
f78c342b-17d9-466c-aa27-734284924150	7	134100967	134113805	27	-0.1866
f78c342b-17d9-466c-aa27-734284924150	7	134114093	142630953	5568	0.4347
f78c342b-17d9-466c-aa27-734284924150	7	142631473	142805592	104	0.6659
f78c342b-17d9-466c-aa27-734284924150	7	142807470	159334314	10395	0.4301
f78c342b-17d9-466c-aa27-734284924150	8	81254	2725657	1893	-0.0233
f78c342b-17d9-466c-aa27-734284924150	8	2732385	2733520	4	-1.3557
f78c342b-17d9-466c-aa27-734284924150	8	2737696	5736745	4090	-0.0151
f78c342b-17d9-466c-aa27-734284924150	8	5741204	5746973	27	-0.8344
f78c342b-17d9-466c-aa27-734284924150	8	5749566	6968741	1595	-0.0132
f78c342b-17d9-466c-aa27-734284924150	8	6968768	6969677	11	-0.6933
f78c342b-17d9-466c-aa27-734284924150	8	6975846	8528287	450	-0.0069
f78c342b-17d9-466c-aa27-734284924150	8	8528640	8528932	4	-2.6711
f78c342b-17d9-466c-aa27-734284924150	8	8530797	25116961	13361	-0.0226
f78c342b-17d9-466c-aa27-734284924150	8	25117007	25126818	25	-2.6571
f78c342b-17d9-466c-aa27-734284924150	8	25133589	145072769	73862	-0.027
f78c342b-17d9-466c-aa27-734284924150	9	46587	32079198	26767	-0.0119
f78c342b-17d9-466c-aa27-734284924150	9	32082228	32090402	13	0.7128
f78c342b-17d9-466c-aa27-734284924150	9	32093145	41451823	4397	-0.0383
