GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	62920	16689764	8671	-0.1614
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	16718963	16785682	17	-0.6257
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	16787932	22170210	3499	-0.1608
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	22175223	22182713	9	-1.5014
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	22187743	53968937	17427	-0.1665
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	53969370	53974555	3	-1.6981
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	53982416	61971271	6042	-0.1605
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	61973559	61984863	37	-0.9515
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	61989000	72303233	7011	-0.1642
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	72303253	72343068	35	-0.4962
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	72343085	77308743	3199	-0.1476
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	77309187	77314151	22	-1.0688
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	77315985	105470754	17706	-0.1706
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	105476583	105479753	17	1.08
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	105481433	106676768	773	-0.1427
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	106679096	106680658	5	-1.204
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	106682554	109684893	1850	-0.1664
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	109690352	109697556	13	1.0667
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	109702376	110833598	835	-0.1702
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	110834746	110845604	39	-0.832
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	110849445	111769532	707	-0.1673
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	111769589	111769929	3	0.9167
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	111770456	112147704	362	-0.1593
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	112153343	112163496	30	0.3612
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	112163506	114289343	1319	-0.1837
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	114291004	114291088	2	-1.8905
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	114291180	152789447	6464	-0.1662
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	152789463	152796224	36	0.3059
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	152801429	155691436	1550	-0.1612
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	155692180	155693566	2	-2.6018
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	155697170	196745743	27857	-0.1629
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	196758720	196846661	61	-0.7616
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	196847600	213621899	11197	-0.1711
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	213625241	213657249	8	-0.9029
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	213657385	238586809	17387	-0.1703
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	238588320	238588637	5	-1.3563
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	238589096	248546369	6974	-0.1595
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	248550567	248633912	35	-0.7171
ee83c374-dca6-4889-bc29-35fe3b04e4ca	1	248645563	248930189	141	-0.1481
