GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	62920	6379893	2975	-0.0167
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	6381144	6385218	2	-1.2748
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	6389578	12779433	3511	-0.0095
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	12792599	13012913	34	-0.7105
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	13110913	13445266	27	-0.0916
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	13449605	13450361	2	-1.3146
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	13460805	15823420	1785	-0.0057
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	15827002	15827430	6	-0.8125
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	15827706	21825156	3667	-0.0065
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	21825701	21833618	2	-1.1577
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	21833764	25256850	2008	-0.0041
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	25266637	25320455	24	-2.22
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	25336819	61647430	21441	-0.0041
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	61648334	61649279	2	-2.1021
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	61652515	72284670	7289	0.0044
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	72290430	72297687	9	-0.7652
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	72302735	109684893	23651	0.0055
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	109690352	109697556	13	-2.1391
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	109702376	110831471	833	-0.0161
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	110832944	110845604	42	0.2839
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	110849445	152787202	8907	0.0082
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	152789447	152796224	37	0.4721
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	152801429	174827418	14813	-0.0023
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	174827561	174832702	15	-0.7594
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	174832716	180779181	3956	0.002
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	180781437	180784347	4	-0.9338
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	180786525	196745743	10681	0.0052
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	196758720	196802150	43	0.4717
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	196820098	196832720	15	-0.0691
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	196843377	196936029	66	-0.8819
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	196940515	199142235	1312	0.0054
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	199142298	199144712	8	0.6744
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	199145110	248406721	34223	-0.0006
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	248409535	248473963	28	0.3528
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	248475325	248593457	25	-0.0016
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	248595957	248646068	27	-0.4057
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	1	248661836	248930189	138	-0.0024
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	2	12784	7989207	6302	-0.0029
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	2	7990754	7996487	8	-1.1421
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	2	7999793	34466002	17778	0.0065
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	2	34474248	34511990	46	-2.5641
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	2	34512096	35750907	872	0.0132
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	2	35752724	35762850	6	-1.7038
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	2	35762881	52516787	12127	0.0065
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	2	52527330	52554404	40	-0.8874
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	2	52560811	87286164	22052	0.0062
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	2	87287256	87295819	3	-1.0213
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	2	87299357	87462096	21	0.022
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	2	87463778	87465499	2	-1.9363
9b1ac39c-3aae-47c4-a6ea-6358f8db7a9f	2	87466706	97192190	1747	0.0132
