GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
02151398-fb49-4138-a538-482026a38cc3	1	62920	877938	52	0.3263
02151398-fb49-4138-a538-482026a38cc3	1	883206	3298168	684	0.6994
02151398-fb49-4138-a538-482026a38cc3	1	3301765	3400217	68	0.2172
02151398-fb49-4138-a538-482026a38cc3	1	3402150	3410232	6	1.2137
02151398-fb49-4138-a538-482026a38cc3	1	3410239	3860818	231	0.2413
02151398-fb49-4138-a538-482026a38cc3	1	3864478	3876237	7	0.9483
02151398-fb49-4138-a538-482026a38cc3	1	3876402	3944190	26	0.1811
02151398-fb49-4138-a538-482026a38cc3	1	3944804	4550190	516	-0.0546
02151398-fb49-4138-a538-482026a38cc3	1	4551239	4739106	175	0.1193
02151398-fb49-4138-a538-482026a38cc3	1	4739140	4870121	117	-0.0881
02151398-fb49-4138-a538-482026a38cc3	1	4873094	5068342	187	-0.2469
02151398-fb49-4138-a538-482026a38cc3	1	5069166	5101231	26	0.3011
02151398-fb49-4138-a538-482026a38cc3	1	5110582	5287379	163	-0.124
02151398-fb49-4138-a538-482026a38cc3	1	5292432	5313306	21	0.2583
02151398-fb49-4138-a538-482026a38cc3	1	5313598	5320461	6	0.8457
02151398-fb49-4138-a538-482026a38cc3	1	5320542	5330518	11	0.1896
02151398-fb49-4138-a538-482026a38cc3	1	5330620	5466119	70	-0.2124
02151398-fb49-4138-a538-482026a38cc3	1	5466524	5482609	11	0.2173
02151398-fb49-4138-a538-482026a38cc3	1	5484599	5493468	10	-0.2033
02151398-fb49-4138-a538-482026a38cc3	1	5495359	5510990	18	0.2982
02151398-fb49-4138-a538-482026a38cc3	1	5511296	5572435	50	-0.096
02151398-fb49-4138-a538-482026a38cc3	1	5573184	5583698	21	-0.3955
02151398-fb49-4138-a538-482026a38cc3	1	5585369	5759986	169	0.0003
02151398-fb49-4138-a538-482026a38cc3	1	5760609	6507189	362	0.2218
02151398-fb49-4138-a538-482026a38cc3	1	6508890	6711080	113	0.0068
02151398-fb49-4138-a538-482026a38cc3	1	6711463	6713779	7	0.8313
02151398-fb49-4138-a538-482026a38cc3	1	6714460	7492266	522	0.0273
02151398-fb49-4138-a538-482026a38cc3	1	7492401	7506977	14	0.5345
02151398-fb49-4138-a538-482026a38cc3	1	7511538	7629329	94	-0.0956
02151398-fb49-4138-a538-482026a38cc3	1	7630095	7681965	22	0.3332
02151398-fb49-4138-a538-482026a38cc3	1	7685744	7752338	29	-0.1012
02151398-fb49-4138-a538-482026a38cc3	1	7753579	7847944	66	0.2737
02151398-fb49-4138-a538-482026a38cc3	1	7848828	8304123	264	-0.0506
02151398-fb49-4138-a538-482026a38cc3	1	8305890	8447673	66	0.1836
02151398-fb49-4138-a538-482026a38cc3	1	8452421	8701992	113	-0.0181
02151398-fb49-4138-a538-482026a38cc3	1	8702668	8704596	3	1.118
02151398-fb49-4138-a538-482026a38cc3	1	8707252	8890987	128	-0.0847
02151398-fb49-4138-a538-482026a38cc3	1	8906275	8911966	6	0.6732
02151398-fb49-4138-a538-482026a38cc3	1	8922847	9002893	62	-0.1789
02151398-fb49-4138-a538-482026a38cc3	1	9007601	9043096	23	0.2881
02151398-fb49-4138-a538-482026a38cc3	1	9044406	9244672	115	-0.0599
02151398-fb49-4138-a538-482026a38cc3	1	9247978	9344921	61	0.4879
02151398-fb49-4138-a538-482026a38cc3	1	9346920	9529354	99	0.003
02151398-fb49-4138-a538-482026a38cc3	1	9536422	9548738	6	0.8321
02151398-fb49-4138-a538-482026a38cc3	1	9552139	9617795	28	0.1844
02151398-fb49-4138-a538-482026a38cc3	1	9619219	9682927	26	-0.1698
02151398-fb49-4138-a538-482026a38cc3	1	9690399	9713660	9	0.1127
02151398-fb49-4138-a538-482026a38cc3	1	9714660	9729792	7	0.9283
02151398-fb49-4138-a538-482026a38cc3	1	9734247	10030667	122	0.0216
02151398-fb49-4138-a538-482026a38cc3	1	10031603	10037329	3	1.629
02151398-fb49-4138-a538-482026a38cc3	1	10039847	10611363	340	0.0325
02151398-fb49-4138-a538-482026a38cc3	1	10616743	10765600	70	0.4195
02151398-fb49-4138-a538-482026a38cc3	1	10765629	15727314	2846	-0.0132
02151398-fb49-4138-a538-482026a38cc3	1	15728924	15761822	12	0.7194
02151398-fb49-4138-a538-482026a38cc3	1	15770261	15822848	46	-0.0654
02151398-fb49-4138-a538-482026a38cc3	1	15823420	15828515	11	1.1711
02151398-fb49-4138-a538-482026a38cc3	1	15839166	16212000	162	0.0546
02151398-fb49-4138-a538-482026a38cc3	1	16213082	16241695	11	0.5527
02151398-fb49-4138-a538-482026a38cc3	1	16246309	16470247	106	-0.0875
02151398-fb49-4138-a538-482026a38cc3	1	16471261	16926919	113	0.4036
02151398-fb49-4138-a538-482026a38cc3	1	16927043	16999460	40	0.8213
02151398-fb49-4138-a538-482026a38cc3	1	17003142	17018588	8	0.3001
02151398-fb49-4138-a538-482026a38cc3	1	17022352	18224160	891	-0.0822
02151398-fb49-4138-a538-482026a38cc3	1	18224189	18264827	50	-0.4203
02151398-fb49-4138-a538-482026a38cc3	1	18265258	18391811	107	-0.1373
02151398-fb49-4138-a538-482026a38cc3	1	18395252	18469306	71	-0.3732
02151398-fb49-4138-a538-482026a38cc3	1	18469888	18513314	39	-0.0001
02151398-fb49-4138-a538-482026a38cc3	1	18515142	18549192	24	-0.2897
02151398-fb49-4138-a538-482026a38cc3	1	18549851	18629415	48	-0.0264
02151398-fb49-4138-a538-482026a38cc3	1	18631983	18653905	8	0.6078
02151398-fb49-4138-a538-482026a38cc3	1	18654300	19074197	278	-0.0194
02151398-fb49-4138-a538-482026a38cc3	1	19074911	19256836	115	-0.2191
02151398-fb49-4138-a538-482026a38cc3	1	19256867	19314204	23	0.3725
02151398-fb49-4138-a538-482026a38cc3	1	19317836	19334376	12	-0.0949
02151398-fb49-4138-a538-482026a38cc3	1	19336589	19354050	13	0.3775
02151398-fb49-4138-a538-482026a38cc3	1	19354064	19637980	210	-0.0829
02151398-fb49-4138-a538-482026a38cc3	1	19638481	19676025	15	0.3721
02151398-fb49-4138-a538-482026a38cc3	1	19676420	19957450	213	-0.0673
02151398-fb49-4138-a538-482026a38cc3	1	19960001	20137141	113	-0.2216
02151398-fb49-4138-a538-482026a38cc3	1	20140938	21358952	713	-0.0102
02151398-fb49-4138-a538-482026a38cc3	1	21361264	21403654	28	0.5279
02151398-fb49-4138-a538-482026a38cc3	1	21406783	21803810	241	0.0041
02151398-fb49-4138-a538-482026a38cc3	1	21804530	22187743	210	0.2612
02151398-fb49-4138-a538-482026a38cc3	1	22188162	25223408	1790	-0.0141
02151398-fb49-4138-a538-482026a38cc3	1	25228030	25361785	54	0.6059
02151398-fb49-4138-a538-482026a38cc3	1	25371978	26477986	526	-0.0505
02151398-fb49-4138-a538-482026a38cc3	1	26479092	26543119	26	0.4781
02151398-fb49-4138-a538-482026a38cc3	1	26544846	26561101	8	0.1353
02151398-fb49-4138-a538-482026a38cc3	1	26568005	26584263	17	-0.5134
02151398-fb49-4138-a538-482026a38cc3	1	26589797	26831853	64	0.0444
02151398-fb49-4138-a538-482026a38cc3	1	26837815	26852737	13	-0.4162
02151398-fb49-4138-a538-482026a38cc3	1	26861325	27053461	65	-0.0218
02151398-fb49-4138-a538-482026a38cc3	1	27054388	27072293	9	0.6297
02151398-fb49-4138-a538-482026a38cc3	1	27074227	27150088	27	-0.229
02151398-fb49-4138-a538-482026a38cc3	1	27152751	27390732	92	0.0316
02151398-fb49-4138-a538-482026a38cc3	1	27396477	27470015	23	-0.1227
02151398-fb49-4138-a538-482026a38cc3	1	27470246	27522032	20	0.3265
02151398-fb49-4138-a538-482026a38cc3	1	27522789	28075037	260	-0.0739
02151398-fb49-4138-a538-482026a38cc3	1	28076597	28088851	2	1.1745
02151398-fb49-4138-a538-482026a38cc3	1	28090344	28503188	170	-0.039
02151398-fb49-4138-a538-482026a38cc3	1	28503390	28509875	6	0.6333
02151398-fb49-4138-a538-482026a38cc3	1	28513637	28844710	113	-0.0714
02151398-fb49-4138-a538-482026a38cc3	1	28848434	28865887	10	0.3574
02151398-fb49-4138-a538-482026a38cc3	1	28868306	29116468	98	-0.0515
02151398-fb49-4138-a538-482026a38cc3	1	29127347	29135206	5	0.8003
