GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	62920	668210	21	0.0543
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	771719	3298168	716	-0.1712
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	3301765	10611363	4621	-0.0833
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	10616743	10619664	2	-1.3808
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	10621749	15823420	2979	-0.0822
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	15827002	15827362	5	0.5948
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	15827430	16504325	298	-0.0858
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	16505368	16643505	29	0.148
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	16643683	16721984	17	-0.1939
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	16766762	16785682	11	0.4373
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	16787932	30264526	7727	-0.0865
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	30265508	30266949	7	-1.2502
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	30268649	55301640	14123	-0.0684
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	55302127	72303233	12214	-0.0383
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	72303253	72345465	45	-1.4743
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	72346221	74711600	1443	-0.0249
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	74718734	74720685	2	-1.2421
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	74721817	103616762	18583	-0.0351
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	103620877	103717410	5	-1.0426
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	103717617	105470754	918	-0.0372
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	105476583	105479738	16	0.5985
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	105479753	109690431	2640	-0.0316
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	109690640	109697556	10	-0.8793
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	109702376	112153571	1954	-0.0384
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	112153651	112154591	19	-0.3778
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	112154619	179361393	25741	-0.0503
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	179362247	179364180	3	-1.3226
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	179370071	189679027	6828	-0.043
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	189679353	189679397	2	-1.4261
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	189682917	196762956	4739	-0.0217
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	196769493	196854187	59	-0.3721
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	196854483	200474872	2328	-0.0292
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	200477757	206821510	4062	-0.0637
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	206823983	222193326	11000	-0.0379
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	222201492	222203662	2	-3.1021
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	222208792	223483195	768	-0.0648
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	223483900	223483923	2	-1.2325
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	223484461	248415321	17433	-0.0473
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	248415350	248471839	20	0.4806
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	248473963	248574146	18	-0.1676
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	248585893	248645808	34	-2.2521
62a1222b-ff46-46d7-ae5b-7b42749244c7	1	248646068	248930189	139	-0.1323
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	12784	1279810	838	-0.0716
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	1286121	1912858	398	-0.1502
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	1913832	3684956	1333	-0.0554
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	3684997	3688948	4	-1.0176
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	3694481	4158097	414	-0.0259
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	4166274	4175577	36	-0.6712
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	4175922	34466002	21063	-0.0465
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	34474248	34515732	52	0.2899
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	34515960	37531602	2265	-0.0358
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	37535081	37535754	3	-0.9954
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	37542932	38240137	600	-0.0646
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	38241893	38241991	2	-1.222
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	38242766	41888764	2706	-0.0334
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	41891076	44008165	1403	-0.0805
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	44010867	67954893	16212	-0.0412
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	67957118	67958787	2	-1.4231
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	67959490	74115410	3667	-0.0606
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	74115440	75154574	654	-0.0322
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	75154602	75154670	3	-0.9866
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	75154711	85219970	6546	-0.0281
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	85223691	87546272	1067	-0.06
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	87551361	87674944	21	-0.856
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	87695122	111252548	9895	-0.0476
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	111252609	111392018	30	0.3494
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	111395273	128880504	10780	-0.0474
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	128880904	128882741	15	-0.8191
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	128882755	130036283	875	-0.0462
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	130036310	130116915	13	-0.6661
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	130117303	146106875	9525	-0.0336
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	146106889	146109139	18	0.8686
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	146109230	150174288	2268	-0.0273
62a1222b-ff46-46d7-ae5b-7b42749244c7	2	150174937	150181218	5	-0.9194
