GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b1789c47-73c1-4726-8ea8-f2b5b7740892	1	62920	5647403	2542	-0.1346
b1789c47-73c1-4726-8ea8-f2b5b7740892	1	5647439	5647455	2	-2.812
b1789c47-73c1-4726-8ea8-f2b5b7740892	1	5647878	16569132	6071	-0.1326
b1789c47-73c1-4726-8ea8-f2b5b7740892	1	16570326	16863509	55	-0.4039
b1789c47-73c1-4726-8ea8-f2b5b7740892	1	16864367	16956580	58	0.156
b1789c47-73c1-4726-8ea8-f2b5b7740892	1	16958425	34637053	10201	-0.119
b1789c47-73c1-4726-8ea8-f2b5b7740892	1	34637069	34648667	20	-0.6972
b1789c47-73c1-4726-8ea8-f2b5b7740892	1	34649941	65365740	19172	-0.1054
b1789c47-73c1-4726-8ea8-f2b5b7740892	1	65366669	70958755	3741	-0.0723
b1789c47-73c1-4726-8ea8-f2b5b7740892	1	70960577	70964183	2	1.3812
b1789c47-73c1-4726-8ea8-f2b5b7740892	1	70967301	72303233	788	-0.0656
b1789c47-73c1-4726-8ea8-f2b5b7740892	1	72303253	72345465	45	-1.3787
b1789c47-73c1-4726-8ea8-f2b5b7740892	1	72346221	248930189	98542	-0.0844
b1789c47-73c1-4726-8ea8-f2b5b7740892	2	12784	127094445	78797	-0.0792
b1789c47-73c1-4726-8ea8-f2b5b7740892	2	127099470	127100187	2	2.3836
b1789c47-73c1-4726-8ea8-f2b5b7740892	2	127100370	163780342	22042	-0.0706
b1789c47-73c1-4726-8ea8-f2b5b7740892	2	163786978	163788616	5	-1.1292
b1789c47-73c1-4726-8ea8-f2b5b7740892	2	163790132	183929073	12666	-0.0679
b1789c47-73c1-4726-8ea8-f2b5b7740892	2	183929124	183937588	17	-0.8207
b1789c47-73c1-4726-8ea8-f2b5b7740892	2	183937714	184451949	394	-0.0022
b1789c47-73c1-4726-8ea8-f2b5b7740892	2	184452153	184455332	4	1.7255
b1789c47-73c1-4726-8ea8-f2b5b7740892	2	184460792	242147305	35285	-0.0773
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	20930	2913794	2525	0.4236
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	2915430	68697013	45215	0.3687
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	68697108	68698262	14	0.9842
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	68699607	75843802	4988	0.3729
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	75845381	81545929	3329	0.3973
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	81546953	81548156	2	-3.4822
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	81551646	84649683	1570	0.3962
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	84649706	84653449	22	-0.3478
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	84657133	103219973	8212	0.3959
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	103226498	103232318	23	-0.1663
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	103244137	120940224	11095	0.3842
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	120940800	130068178	5368	0.3542
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	130068356	130087393	26	0.9033
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	130088081	146661402	10376	0.3779
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	146665207	146665349	2	-2.0222
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	146665388	161797809	9182	0.39
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	161797839	161797861	2	2.0143
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	161798156	162790480	674	0.4269
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	162794869	162807070	12	-2.2098
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	162810842	162906065	54	-1.0134
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	162906093	164008569	650	0.398
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	164008570	164009675	2	-1.4308
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	164010791	173458622	5649	0.3903
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	173458868	176076220	1784	0.4307
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	176076394	180753918	2910	0.3812
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	180755037	180759715	4	-0.4481
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	180761369	186697731	3428	0.366
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	186697745	186729416	31	0.0581
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	186731588	193160113	4690	0.3759
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	193160173	193164983	16	-0.5135
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	193165080	195536070	1478	0.3514
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	195536361	195754940	55	-0.0101
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	195755499	196938927	540	0.335
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	196939188	196947878	2	-1.6949
b1789c47-73c1-4726-8ea8-f2b5b7740892	3	196948008	198169247	617	0.3595
b1789c47-73c1-4726-8ea8-f2b5b7740892	4	68929	10208766	5681	-0.1338
b1789c47-73c1-4726-8ea8-f2b5b7740892	4	10221792	10229874	28	-2.2317
b1789c47-73c1-4726-8ea8-f2b5b7740892	4	10232590	10232984	3	1.3321
b1789c47-73c1-4726-8ea8-f2b5b7740892	4	10233383	34784878	16943	-0.0861
