GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	62920	98588	12	1.3457
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	98602	8116566	4017	0.0025
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	8122528	8129225	9	-0.9879
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	8131732	16868660	4656	0.0048
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	16877002	16935752	52	-0.4184
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	16949746	19353930	1707	0.0001
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	19354038	19368318	12	-0.5381
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	19369538	25256850	3537	0.0019
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	25266637	25320455	24	0.9543
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	25336819	72290459	28695	0.0004
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	72290491	72356822	64	0.29
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	72357114	87584432	9913	0.0027
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	87586681	87610556	24	-1.1687
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	87611605	87904660	265	0.0104
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	87904826	87911044	5	-0.9136
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	87911578	103616762	9804	-0.0011
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	103620877	103717410	5	0.9898
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	103717617	109690415	3571	0.0008
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	109690431	109697556	11	-0.9913
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	109702376	166215616	18771	0.0022
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	166215770	166226465	8	0.8024
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	166227575	172790039	4731	-0.0059
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	172792610	172792701	2	-1.5194
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	172795442	189679027	11008	0.0022
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	189679353	189679397	2	-1.396
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	189682917	193186662	2337	-0.0001
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	193187149	193187202	3	1.2983
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	193187218	196745743	2392	0.0012
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	196758720	196846661	61	0.4986
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	196847600	237441766	27677	-0.0026
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	237442191	237443163	2	-1.9102
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	237449098	240228440	2245	0.0056
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	240230715	240230839	6	-1.8799
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	240232805	248574146	5682	0.0085
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	248585893	248631988	30	-2.1715
5a707a7e-6167-438e-a772-19b9ecafbe8a	1	248633821	248930189	143	-0.0141
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	12784	4158097	2985	0.1797
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	4166274	4175577	36	-0.3866
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	4175922	34466002	21061	0.1714
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	34474248	34512489	48	0.6089
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	34512965	34850935	239	0.1629
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	34855796	34865803	8	-0.7535
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	34868226	52531677	12761	0.1734
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	52531803	52554404	29	0.89
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	52560811	52784623	196	0.1732
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	52786182	52831056	54	-0.8206
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	52832190	79131659	16960	0.1703
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	79137248	87256891	4815	-0.0071
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	87260822	87261116	2	-3.3216
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	87262561	87295819	11	-0.4629
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	87299357	88850125	573	0.0231
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	88850280	88970247	62	-0.2892
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	88971739	97192190	1135	0.024
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	97199600	97211436	14	-0.552
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	97310327	97359885	13	0.0835
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	97524284	97545726	9	0.912
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	97550415	105437873	4824	-0.0058
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	105439214	105439227	2	-1.5955
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	105443088	105519180	90	0.0265
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	105521668	105522355	2	-1.5157
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	105522759	109524935	2685	-0.0075
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	109525639	109528189	6	-0.9113
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	109530101	109704919	74	0.0156
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	109743935	109984252	3	-1.0714
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	110044146	114629270	2292	-0.0026
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	114638844	114643422	18	-2.9388
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	114645637	139719970	15431	0.0026
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	139721414	139722387	2	-3.621
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	139724689	146107801	3953	0.0066
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	146108179	146109366	13	1.022
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	146120238	168278638	13237	-0.0047
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	168280989	168289357	7	-1.148
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	168290041	179196928	7017	-0.0026
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	179202465	179214417	3	-1.986
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	179218864	188254196	5440	0.0074
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	188255201	188264331	5	-1.8889
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	188264452	202428368	8063	0.001
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	202431052	202448759	42	-0.6058
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	202448774	242030276	25130	-0.0105
5a707a7e-6167-438e-a772-19b9ecafbe8a	2	242030314	242147305	73	0.1455
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	20930	1452268	1234	0.0581
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	1452580	1454809	4	-1.5204
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	1455137	46751887	31926	0.0026
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	46760327	46808099	40	-0.8109
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	46817989	59785867	7149	-0.001
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	59786225	60998932	1364	0.0611
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	61001899	68697013	6043	-0.0063
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	68697108	68698262	14	-1.2779
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	68699607	69124033	337	-0.0023
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	69124224	69132032	3	-1.0757
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	69132401	75519398	4587	0.0017
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	75523398	75528153	3	-2.4486
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	75529707	95737262	9118	0.0025
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	95748036	95749266	2	-2.7708
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	95749836	109045878	7818	-0.0042
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	109046868	109049241	4	-1.268
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	109051916	114936935	3518	0.0098
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	114941745	114950103	7	-0.7946
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	114950171	130133020	9288	0
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	130137637	130137903	2	-2.4296
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	130141782	137312012	4465	-0.0038
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	137312065	137314591	23	0.3936
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	137322651	162790480	15745	0.0018
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	162794869	162807070	12	-2.4954
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	162810842	162908207	58	-1.3984
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	162908784	193160113	19158	0.0043
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	193160173	193165099	18	1.4904
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	193165114	194525202	900	-0.0144
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	194532008	194532531	2	1.2389
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	194532764	196935404	1165	0.0131
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	196935650	196951464	13	-0.5898
5a707a7e-6167-438e-a772-19b9ecafbe8a	3	196955067	198169247	611	0.0479
5a707a7e-6167-438e-a772-19b9ecafbe8a	4	68929	8722817	5095	-0.0005
5a707a7e-6167-438e-a772-19b9ecafbe8a	4	9370577	9494650	67	0.5319
5a707a7e-6167-438e-a772-19b9ecafbe8a	4	9496201	21370380	8772	0.0013
5a707a7e-6167-438e-a772-19b9ecafbe8a	4	21370416	21375228	14	-0.7618
