GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	62920	98602	13	-0.7057
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	259407	7362491	3539	-0.0069
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	7365004	7369031	5	-1.6487
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	7369329	16504325	5064	0.006
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	16505368	16868660	63	-0.3664
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	16877002	72303253	34006	0.001
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	72305460	72346221	45	-1.1949
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	72346757	74803600	1504	0.0006
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	74805388	74808182	2	-1.5814
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	74808303	109642611	22052	0.0021
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	109644606	109697533	26	-0.454
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	109697556	112147704	1950	0.004
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	112153343	112154576	21	-0.4287
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	112154591	152583051	7590	0.0054
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	152583230	152614118	35	-1.0048
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	152618018	152787202	164	-0.0489
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	152789447	152796224	37	-1.3517
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	152801429	153023685	171	-0.0649
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	153028238	153028502	2	-1.7897
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	153028754	169247699	11086	-0.0022
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	169264736	169272528	7	-2.4738
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	169273163	195867556	17577	0.0063
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	195867794	195867900	2	-2.271
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	195868200	248585918	36197	0.0015
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	248586259	248633912	30	-0.5627
99d19cad-3e04-4feb-9de4-dc005c8fe518	1	248645563	248930189	141	0.1074
99d19cad-3e04-4feb-9de4-dc005c8fe518	2	12784	34427804	24037	0.0108
99d19cad-3e04-4feb-9de4-dc005c8fe518	2	34434869	34511990	57	0.5122
99d19cad-3e04-4feb-9de4-dc005c8fe518	2	34512096	41154236	4915	0.0254
99d19cad-3e04-4feb-9de4-dc005c8fe518	2	41155676	41420461	212	0.1774
99d19cad-3e04-4feb-9de4-dc005c8fe518	2	41422585	52511964	7852	0.016
99d19cad-3e04-4feb-9de4-dc005c8fe518	2	52512042	52554404	43	-0.3423
99d19cad-3e04-4feb-9de4-dc005c8fe518	2	52560811	117465774	35506	0.0113
99d19cad-3e04-4feb-9de4-dc005c8fe518	2	117466188	117468375	5	-1.3672
99d19cad-3e04-4feb-9de4-dc005c8fe518	2	117470941	183220725	40477	0.0058
99d19cad-3e04-4feb-9de4-dc005c8fe518	2	183221060	183229270	10	-0.7665
99d19cad-3e04-4feb-9de4-dc005c8fe518	2	183229534	241780390	36007	0.0142
99d19cad-3e04-4feb-9de4-dc005c8fe518	2	241789329	242103439	125	-0.6131
99d19cad-3e04-4feb-9de4-dc005c8fe518	2	242103632	242147305	16	0.03
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	20930	335566	299	0.0538
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	335873	336109	2	-1.762
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	336165	1633881	1149	0.0762
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	1633955	1650846	12	-0.8223
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	1661918	3010718	1155	0.075
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	3010995	20271633	12607	0.0039
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	20273630	20274591	2	-3.0465
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	20286589	21775789	1078	0.0318
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	21776252	21919435	168	0.2113
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	21920801	46747685	16643	0.0077
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	46750055	46808099	42	-0.4547
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	46817989	52997995	2500	0.0063
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	52998009	53004886	23	-0.65
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	53004928	59849891	4669	0.0112
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	59852882	61074940	1390	0.0666
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	61075689	75372019	10827	0.0061
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	75377956	75590356	71	-0.8506
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	75596233	130044855	29660	0.0088
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	130047743	130087393	37	-1.7111
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	130088081	158632329	17620	0.0086
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	158633095	158633756	2	-2.0204
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	158641083	162775954	2587	0.0083
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	162776329	162898127	76	0.3699
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	162906054	172285320	5519	0.0108
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	172285336	172286880	3	-2.2204
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	172287255	175369161	2137	0.0123
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	175369763	175721946	251	0.1633
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	175724965	193160113	11229	0.0061
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	193160173	193165114	19	-1.21
99d19cad-3e04-4feb-9de4-dc005c8fe518	3	193168646	198169247	2690	0.0282
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	68929	4101617	1620	0.0235
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	4108503	4151033	9	-1.6992
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	4158336	9455251	3515	0.0056
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	9459504	9484440	7	-1.1105
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	9494650	9613219	35	-0.0445
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	9613467	9624789	3	-0.7249
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	9625216	10197004	461	0.0305
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	10197200	10197343	4	-0.665
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	10198064	10222004	33	0.0664
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	10222224	10227684	12	0.6491
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	10228006	34777403	16970	0.0017
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	34777418	34823103	40	-0.3185
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	34828250	49152601	8952	0.011
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	49152752	49656595	26	-0.3847
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	51819533	68478894	10446	0.0035
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	68494770	68733813	81	-0.2609
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	68734147	91003114	13821	0.0058
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	91003221	91003964	3	-1.5909
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	91004633	114586468	14067	0.0087
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	114587010	114588837	2	-3.2767
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	114589298	171448195	34361	0.007
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	171453733	171456137	7	1.3685
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	171456293	172066777	402	-0.0196
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	172067997	172068382	12	-1.2842
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	172074828	188300104	10912	0.0079
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	188300206	188300270	3	1.5445
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	188300285	189864410	1081	0.059
99d19cad-3e04-4feb-9de4-dc005c8fe518	4	189871792	190106768	58	-0.2749
99d19cad-3e04-4feb-9de4-dc005c8fe518	5	15532	21451168	15670	0.0152
99d19cad-3e04-4feb-9de4-dc005c8fe518	5	21451855	21452329	3	-2.1806
99d19cad-3e04-4feb-9de4-dc005c8fe518	5	21452387	45448478	14675	0.0074
99d19cad-3e04-4feb-9de4-dc005c8fe518	5	45455695	45888402	185	0.1537
99d19cad-3e04-4feb-9de4-dc005c8fe518	5	45888562	46196012	58	-0.0567
99d19cad-3e04-4feb-9de4-dc005c8fe518	5	46199332	46199333	2	-2.4949
99d19cad-3e04-4feb-9de4-dc005c8fe518	5	46209197	46251204	13	-0.0005
99d19cad-3e04-4feb-9de4-dc005c8fe518	5	46270906	46278110	9	0.7183
99d19cad-3e04-4feb-9de4-dc005c8fe518	5	46313245	58025819	5065	0.0047
99d19cad-3e04-4feb-9de4-dc005c8fe518	5	58030200	58037706	32	1.1206
99d19cad-3e04-4feb-9de4-dc005c8fe518	5	58042530	82365631	14318	0.008
99d19cad-3e04-4feb-9de4-dc005c8fe518	5	82367986	82398575	16	-0.4603
99d19cad-3e04-4feb-9de4-dc005c8fe518	5	82398698	99143476	9364	0.0131
99d19cad-3e04-4feb-9de4-dc005c8fe518	5	99147616	100514696	763	0.1048
99d19cad-3e04-4feb-9de4-dc005c8fe518	5	100514698	152134539	33047	0.0078
99d19cad-3e04-4feb-9de4-dc005c8fe518	5	152134610	152140710	16	-0.6859
99d19cad-3e04-4feb-9de4-dc005c8fe518	5	152140861	177687461	17424	-0.0037
99d19cad-3e04-4feb-9de4-dc005c8fe518	5	177705442	177801578	13	-0.6178
99d19cad-3e04-4feb-9de4-dc005c8fe518	5	177805604	177959278	21	0.0997
